method,original_category2,assigned_category2,n
optimized_mf,cropland,cropland,1785029
optimized_mf,cropland,forest,348592
optimized_mf,cropland,wetland,29464
optimized_mf,cropland,grassland_meadow_steppe,292712
optimized_mf,cropland,scrub,139247
optimized_mf,cropland,alpine_vegetation,1589
optimized_mf,cropland,no_vegetation,2603
optimized_mf,cropland,desert,57252
optimized_mf,forest,cropland,217353
optimized_mf,forest,forest,1525469
optimized_mf,forest,wetland,47227
optimized_mf,forest,grassland_meadow_steppe,173515
optimized_mf,forest,scrub,164653
optimized_mf,forest,alpine_vegetation,3462
optimized_mf,forest,no_vegetation,589
optimized_mf,forest,desert,6426
optimized_mf,wetland,cropland,20227
optimized_mf,wetland,forest,42938
optimized_mf,wetland,wetland,102638
optimized_mf,wetland,grassland_meadow_steppe,28308
optimized_mf,wetland,scrub,1892
optimized_mf,wetland,alpine_vegetation,966
optimized_mf,wetland,no_vegetation,62
optimized_mf,wetland,desert,3532
optimized_mf,grassland_meadow_steppe,cropland,239568
optimized_mf,grassland_meadow_steppe,forest,255812
optimized_mf,grassland_meadow_steppe,wetland,48560
optimized_mf,grassland_meadow_steppe,grassland_meadow_steppe,2106338
optimized_mf,grassland_meadow_steppe,scrub,250827
optimized_mf,grassland_meadow_steppe,alpine_vegetation,214290
optimized_mf,grassland_meadow_steppe,no_vegetation,14223
optimized_mf,grassland_meadow_steppe,desert,245924
optimized_mf,scrub,cropland,140709
optimized_mf,scrub,forest,321734
optimized_mf,scrub,wetland,13345
optimized_mf,scrub,grassland_meadow_steppe,147437
optimized_mf,scrub,scrub,408695
optimized_mf,scrub,alpine_vegetation,5228
optimized_mf,scrub,no_vegetation,637
optimized_mf,scrub,desert,17515
optimized_mf,alpine_vegetation,cropland,1193
optimized_mf,alpine_vegetation,forest,4125
optimized_mf,alpine_vegetation,wetland,420
optimized_mf,alpine_vegetation,grassland_meadow_steppe,86273
optimized_mf,alpine_vegetation,alpine_vegetation,264062
optimized_mf,alpine_vegetation,scrub,19523
optimized_mf,alpine_vegetation,desert,47581
optimized_mf,no_vegetation,cropland,1019
optimized_mf,no_vegetation,forest,7416
optimized_mf,no_vegetation,wetland,678
optimized_mf,no_vegetation,grassland_meadow_steppe,23580
optimized_mf,no_vegetation,scrub,2277
optimized_mf,no_vegetation,alpine_vegetation,42521
optimized_mf,no_vegetation,no_vegetation,506017
optimized_mf,no_vegetation,desert,107848
optimized_mf,alpine_vegetation,no_vegetation,409
optimized_mf,desert,forest,12434
optimized_mf,desert,wetland,3123
optimized_mf,desert,grassland_meadow_steppe,107926
optimized_mf,desert,scrub,4856
optimized_mf,desert,cropland,25498
optimized_mf,desert,alpine_vegetation,17478
optimized_mf,desert,no_vegetation,39370
optimized_mf,desert,desert,1641612
optimized_rf,cropland,cropland,1861918
optimized_rf,cropland,forest,322498
optimized_rf,cropland,wetland,17896
optimized_rf,cropland,grassland_meadow_steppe,252686
optimized_rf,cropland,scrub,143307
optimized_rf,cropland,alpine_vegetation,976
optimized_rf,cropland,no_vegetation,3168
optimized_rf,cropland,desert,54039
optimized_rf,forest,cropland,217455
optimized_rf,forest,forest,1599999
optimized_rf,forest,wetland,15000
optimized_rf,forest,grassland_meadow_steppe,143065
optimized_rf,forest,scrub,153430
optimized_rf,forest,alpine_vegetation,3053
optimized_rf,forest,no_vegetation,619
optimized_rf,forest,desert,6073
optimized_rf,wetland,cropland,19915
optimized_rf,wetland,forest,36174
optimized_rf,wetland,wetland,111435
optimized_rf,wetland,grassland_meadow_steppe,26674
optimized_rf,wetland,scrub,1912
optimized_rf,wetland,alpine_vegetation,752
optimized_rf,wetland,no_vegetation,216
optimized_rf,wetland,desert,3485
optimized_rf,grassland_meadow_steppe,cropland,208289
optimized_rf,grassland_meadow_steppe,forest,231220
optimized_rf,grassland_meadow_steppe,wetland,32192
optimized_rf,grassland_meadow_steppe,grassland_meadow_steppe,2324568
optimized_rf,grassland_meadow_steppe,scrub,182708
optimized_rf,grassland_meadow_steppe,alpine_vegetation,193248
optimized_rf,grassland_meadow_steppe,no_vegetation,18591
optimized_rf,grassland_meadow_steppe,desert,184726
optimized_rf,scrub,cropland,137547
optimized_rf,scrub,forest,284312
optimized_rf,scrub,wetland,5976
optimized_rf,scrub,grassland_meadow_steppe,145050
optimized_rf,scrub,scrub,460107
optimized_rf,scrub,alpine_vegetation,5177
optimized_rf,scrub,no_vegetation,1170
optimized_rf,scrub,desert,15961
optimized_rf,alpine_vegetation,forest,4467
optimized_rf,alpine_vegetation,wetland,422
optimized_rf,alpine_vegetation,grassland_meadow_steppe,92307
