ori,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,10314,592,650,90,213,1,40,0,402,4,27,458,0,0,76,52,323,5,19,134,3,1,33,205,1,0,88,2,38,163,7,293,2,4,2,7,0,451,3,1,4,5,15,159,202,23,14,30,98,5,0,3,1
2,1124,203185,29190,1374,7420,4658,2041,6294,703,4387,2917,5403,207,5,4136,333,4738,10,358,20,23,10,112,1050,26,1065,519,12,146,468,46,146,183,13,50,53,13,46,63,90,13,2,306,24,135,14,13,8,80,28,711,10,62
3,1124,19218,344402,1994,7600,5536,39499,4859,2319,8672,20315,4709,1050,990,17,29,2186,10,11,181,356,42,1928,255,291,21612,10212,17,855,14,197,11803,391,15,6490,9333,14,964,76,19611,11,11,934,74,776,1290,13,18,10,12,8,5,14
4,501,12696,5594,37907,3870,2040,923,132,9,5932,5231,8882,1917,1089,1015,251,20,78,194,207,224,338,15,199,20,1560,5,4,97,10,35,141,6,8,8,5,5,62,11,8,8,4,5,2,4,5,49,4,53,4,7,5,6
5,1365,16779,19236,3521,61335,4857,6034,598,4279,11687,15469,9880,2773,1461,3408,471,622,8,987,794,197,87,1262,1241,1291,3446,474,52,576,96,168,1683,128,179,1994,103,10,1670,476,999,93,2,2566,222,2957,2268,6,611,16,4,6,10,6
6,66,7870,6495,2100,1102,52924,158,399,94,2285,6636,233,18,1395,44,13,67,131,8,1994,13,215,1390,648,22,2648,62,60,37,212,5,123,13,13,15,195,14,24,12,33,77,52,17,11,41,174,22,62,8,10,8,12,14
7,711,3082,27677,1079,1651,1423,91358,2576,1007,5963,5475,12976,2336,2281,269,1,1240,1146,3,449,2,2157,3253,4213,471,6971,2121,216,489,297,972,9936,288,272,5392,755,10,1326,732,14162,536,1,1950,68,458,585,5,573,33,5,2,5,7
9,1,406,4875,8,99,7,63,24111,9,310,482,6,56,9,1,0,3,1,0,3,0,0,2,1,2,20,1,2,0,0,2,1,0,1,4,0,1,0,0,0,1,1,0,1,0,0,3,1,1,0,0,4,1
10,927,12,905,9,342,3,192,151,96737,19,29,64,11,36,3847,12,7198,5,1796,93,12,13,12,17,151,12,839,14,1048,16,8,97,1908,15,1614,27,8,5707,383,45,6,240,192,364,14208,1146,16,5569,105,22,36,10,16
11,13,2616,2309,1737,6310,1870,5463,7,24,84226,7346,17073,4212,1481,697,22,65,5,247,3,21,11,461,1476,4,4145,97,2,6,52,41,4269,86,7,5,93,3,20,4,316,115,8,3,6,43,8,4,5,5,2,4,4,5
12,66,478,33417,4082,6225,3987,12498,3126,7,10888,226057,33989,4714,3243,4,4,18,445,7,8,142,561,5979,2088,189,12963,12,77,4,7,37,6024,24,10,7,8,6,10,3,2708,7,3,5,14,7,4,4,8,7,3,6,15,8
13,1542,1998,1022,5511,6847,354,15216,32,29,26652,24382,397260,14138,8246,8552,8,6702,282,1473,10,380,24,11612,39159,45,2181,106,8,21,7625,2866,31320,7,842,10,328,7,9,11,1296,728,9,7,7,28,10,8,12,6,14,5,9,15
14,0,63,21,54,27,10,545,0,0,760,624,2690,24352,765,2,0,0,550,0,0,0,821,604,23,0,535,0,11,0,0,2,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,85,98,1350,1715,955,1197,1499,129,128,4504,11052,22188,5230,110630,164,84,147,15427,110,99,95,18223,8208,6402,97,10335,98,3620,143,412,2978,4159,86,356,99,395,1097,98,69,124,497,196,96,91,92,85,101,99,86,90,119,67,87
