ori,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11606,327,470,172,146,19,75,1,334,4,8,231,3,2,44,50,202,2,18,102,0,0,3,194,2,1,31,2,4,133,3,87,1,3,1,2,3,413,28,1,33,2,18,243,68,51,4,1,108,4,1,1,1
2,2110,181881,20359,14440,14172,10862,2950,8920,914,4774,1971,3998,335,9,4784,416,4887,9,309,13,262,11,138,862,25,1755,225,13,140,298,85,84,137,10,83,101,11,57,95,171,68,4,268,19,90,7,14,16,96,43,515,12,215
3,4836,20424,289076,5824,22401,18767,42197,27308,3184,7406,18381,3803,1266,2149,45,18,1562,21,9,292,674,172,1445,265,363,20591,7741,38,645,11,355,10933,546,15,3961,11205,16,1048,273,19177,24,10,948,24,615,2113,12,120,10,18,12,14,10
4,1084,13947,3659,42524,2904,1984,849,302,9,6197,3821,6633,1857,1277,746,325,146,13,168,152,311,140,8,205,39,1431,5,3,106,13,7,111,8,14,5,3,7,71,4,5,6,6,4,5,6,7,206,6,44,4,8,4,6
5,2444,14800,16952,4252,72899,4341,4333,531,3853,9891,12790,7136,2392,1880,3293,462,655,8,715,1333,742,109,1002,1171,1176,3088,391,69,353,64,82,2575,406,113,1342,459,16,2155,759,2140,218,9,1521,362,2594,1676,21,832,29,4,10,6,9
6,177,11985,4364,2925,1216,51564,467,258,117,2790,4807,182,47,1287,51,9,79,26,19,1626,137,269,907,923,29,2185,10,57,327,195,13,161,18,14,64,250,15,15,21,14,93,75,15,19,8,239,15,147,11,11,11,20,10
7,849,3236,21983,2460,2518,1310,88926,2768,1028,4471,6831,8133,4246,3515,235,3,1124,374,187,796,23,2072,2806,3964,610,5784,2471,145,199,458,889,14632,448,371,3043,2493,11,1307,840,19151,326,6,1246,64,468,686,3,1314,121,3,4,6,9
9,1,534,3813,28,35,8,113,25326,10,243,235,29,46,3,2,1,1,2,1,3,0,1,3,3,1,22,0,2,0,2,0,1,1,1,10,1,3,0,2,0,2,2,0,5,0,0,1,0,0,1,0,1,1
10,1431,8,727,22,470,10,101,217,77118,21,32,57,7,29,2185,9,6057,4,1851,33,19,14,11,9,170,11,864,18,682,25,12,165,4644,15,1678,31,17,13436,549,19,7,214,294,848,24816,703,17,6210,298,26,31,13,9
11,10,1613,1836,4820,7519,1879,4357,40,31,89389,6805,12600,3162,1233,566,6,188,4,338,8,128,27,409,1484,5,4772,21,5,9,99,23,2726,30,3,6,129,4,6,4,573,16,3,13,19,91,10,4,6,5,6,8,5,4
