row,Accy,variable
1,,
2,,
3,,
4,0.9929924528,"PPT_sm, CMD_at, TD, Tmin_sm"
5,,
6,0.9948754717,"PPT_wt, soil_T_SAND, CMD_at, PPT_sm, TD, Tmin_sm"
7,,
8,0.9987716981,"Eref, DD_18_sp, Tmin_sm, PPT_wt, CMD_at, TD, soil_T_SAND, PPT_sm"
9,,
10,0.9996716981,"AHM, CMD_sp, Eref, PPT_wt, CMD_at, Tmin_sm, PPT_sm, DD_18_sp, TD, soil_T_SAND"
11,,
12,0.9994849057,"soil_T_GRAVEL, soil_T_SILT, AHM, soil_T_SAND, CMD_sp, PPT_wt, CMD_at, Eref, DD_18_sp, PPT_sm, Tmin_sm, TD"
13,,
14,0.9996679245,"DD5_sm, Eref_at, Tmin_sm, soil_T_GRAVEL, Eref, AHM, CMD_sp, CMD_at, DD_18_sp, PPT_wt, PPT_sm, soil_T_SAND, TD, soil_T_SILT"
15,,
16,0.9997150943,"soil_T_PH_H2O, soil_T_TEB, DD5_sm, soil_T_GRAVEL, Tmin_sm, Eref, Eref_at, CMD_at, AHM, DD_18_sp, soil_T_SILT, CMD_sp, soil_T_SAND, PPT_wt, PPT_sm, TD"
17,,
18,0.9997452830,"RH_sp, CMD, soil_T_PH_H2O, soil_T_TEB, AHM, DD5_sm, Tmin_sm, soil_T_GRAVEL, Eref, CMD_sp, Eref_at, CMD_at, soil_T_SILT, DD_18_sp, PPT_wt, soil_T_SAND, PPT_sm, TD"
19,,
20,0.9998358491,"PPT_sp, DD_18_wt, DD_18_sp, AHM, CMD, soil_T_GRAVEL, CMD_sp, Eref, DD5_sm, RH_sp, soil_T_PH_H2O, Tmin_sm, CMD_at, Eref_at, TD, soil_T_SAND, soil_T_TEB, PPT_wt, PPT_sm, soil_T_SILT"
21,,
22,0.9997716981,"soil_T_OC, soil_T_CEC_SOIL, soil_T_TEB, soil_T_GRAVEL, soil_T_PH_H2O, CMD_sp, DD_18_wt, PPT_sp, DD_18_sp, CMD, AHM, Eref, RH_sp, CMD_at, soil_T_SILT, Tmin_sm, Eref_at, DD5_sm, soil_T_SAND, PPT_wt, TD, PPT_sm"
23,,
24,0.9997641509,"PAS_wt, MAP, AHM, soil_T_PH_H2O, soil_T_CEC_SOIL, CMD, soil_T_TEB, soil_T_OC, PPT_sp, DD_18_wt, DD_18_sp, soil_T_GRAVEL, CMD_sp, DD5_sm, RH_sp, Eref, soil_T_SAND, PPT_wt, Tmin_sm, Eref_at, CMD_at, TD, soil_T_SILT, PPT_sm"
25,,
26,0.9998113208,"soil_T_CLAY, soil_T_REF_BULK_DENSITY, soil_T_PH_H2O, soil_T_CEC_SOIL, AHM, PAS_wt, soil_T_OC, MAP, CMD, CMD_sp, soil_T_GRAVEL, DD_18_sp, soil_T_SAND, DD_18_wt, PPT_sp, soil_T_SILT, soil_T_TEB, DD5_sm, Eref, CMD_at, Tmin_sm, Eref_at, RH_sp, PPT_wt, TD, PPT_sm"
27,,
28,0.9998320755,"Eref_sp, Tmax_sp, soil_T_OC, DD_18_sp, MAP, soil_T_CLAY, Eref, AHM, soil_T_CEC_SOIL, PAS_wt, soil_T_PH_H2O, CMD, soil_T_REF_BULK_DENSITY, PPT_sp, DD_18_wt, soil_T_GRAVEL, soil_T_SAND, DD5_sm, CMD_sp, soil_T_TEB, soil_T_SILT, Eref_at, Tmin_sm, CMD_at, TD, PPT_wt, PPT_sm, RH_sp"
29,,
