method,original_zone,assigned_zone,pixels,original_pixels,percent_of_original
multiclass_rf,1,45,297,15170,1.95781147000659
multiclass_rf,1,10,218,15170,1.43704680290046
multiclass_rf,1,18,99,15170,0.652603823335531
multiclass_rf,1,2,95,15170,0.626235992089651
multiclass_rf,1,25,84,15170,0.553724456163481
multiclass_rf,1,39,79,15170,0.520764667106131
multiclass_rf,1,4,75,15170,0.494396835860251
multiclass_rf,1,31,50,15170,0.3295978905735
multiclass_rf,1,50,38,15170,0.25049439683586
multiclass_rf,1,17,32,15170,0.21094264996704
multiclass_rf,1,21,31,15170,0.20435069215557
multiclass_rf,1,46,28,15170,0.18457481872116
multiclass_rf,1,3,27,15170,0.17798286090969
multiclass_rf,1,34,26,15170,0.17139090309822
multiclass_rf,1,28,23,15170,0.15161502966381
multiclass_rf,1,5,19,15170,0.12524719841793
multiclass_rf,1,16,19,15170,0.12524719841793
multiclass_rf,1,33,17,15170,0.11206328279499
multiclass_rf,1,44,8,15170,0.0527356624917601
multiclass_rf,1,20,5,15170,0.03295978905735
multiclass_rf,1,9,2,15170,0.01318391562294
multiclass_rf,1,35,2,15170,0.01318391562294
multiclass_rf,1,37,2,15170,0.01318391562294
multiclass_rf,1,6,1,15170,0.00659195781147001
multiclass_rf,1,13,1,15170,0.00659195781147001
multiclass_rf,1,47,1,15170,0.00659195781147001
multiclass_rf,2,4,18268,283513,6.44344351052685
multiclass_rf,2,6,17679,283513,6.23569289591659
multiclass_rf,2,9,16728,283513,5.90025854193635
multiclass_rf,2,5,13073,283513,4.61107603531408
multiclass_rf,2,3,9254,283513,3.26404785671204
multiclass_rf,2,18,5895,283513,2.07926973366301
multiclass_rf,2,1,5646,283513,1.99144307315714
multiclass_rf,2,11,3928,283513,1.38547438741786
multiclass_rf,2,7,2615,283513,0.922356294067644
multiclass_rf,2,12,2386,283513,0.841583983803212
multiclass_rf,2,27,1918,283513,0.67651218815363
multiclass_rf,2,16,1439,283513,0.507560499871258
multiclass_rf,2,25,1318,283513,0.464881680910576
multiclass_rf,2,17,1126,283513,0.397159918592798
multiclass_rf,2,13,1034,283513,0.364709907482197
multiclass_rf,2,34,835,283513,0.294519122579917
multiclass_rf,2,22,582,283513,0.205281592025763
multiclass_rf,2,20,515,283513,0.181649518716955
multiclass_rf,2,53,472,283513,0.166482665697869
multiclass_rf,2,55,359,283513,0.126625586833761
multiclass_rf,2,14,348,283513,0.122745694200971
multiclass_rf,2,10,339,283513,0.119571236592326
multiclass_rf,2,28,332,283513,0.117102214007823
multiclass_rf,2,41,293,283513,0.103346231037025
