ori,pred,n,method,ori_category,pred_category
1,1,13891,multiclass_rf,cropland,cropland
1,2,95,multiclass_rf,cropland,forest
1,3,27,multiclass_rf,cropland,forest
1,4,75,multiclass_rf,cropland,wetland
1,5,19,multiclass_rf,cropland,grassland_meadow_steppe
1,6,1,multiclass_rf,cropland,wetland
1,9,2,multiclass_rf,cropland,forest
1,10,218,multiclass_rf,cropland,forest
1,13,1,multiclass_rf,cropland,grassland_meadow_steppe
1,16,19,multiclass_rf,cropland,grassland_meadow_steppe
1,17,32,multiclass_rf,cropland,alpine_vegetation
1,18,99,multiclass_rf,cropland,scrub
1,20,5,multiclass_rf,cropland,alpine_vegetation
1,21,31,multiclass_rf,cropland,cropland
1,25,84,multiclass_rf,cropland,desert
1,28,23,multiclass_rf,cropland,forest
1,31,50,multiclass_rf,cropland,grassland_meadow_steppe
1,33,17,multiclass_rf,cropland,cropland
1,34,26,multiclass_rf,cropland,forest
1,35,2,multiclass_rf,cropland,desert
1,37,2,multiclass_rf,cropland,forest
1,39,79,multiclass_rf,cropland,forest
1,44,8,multiclass_rf,cropland,scrub
1,45,297,multiclass_rf,cropland,scrub
1,46,28,multiclass_rf,cropland,scrub
1,47,1,multiclass_rf,cropland,cropland
1,50,38,multiclass_rf,cropland,scrub
2,1,5646,multiclass_rf,forest,cropland
2,2,175494,multiclass_rf,forest,forest
2,3,9254,multiclass_rf,forest,forest
2,4,18268,multiclass_rf,forest,wetland
2,5,13073,multiclass_rf,forest,grassland_meadow_steppe
2,6,17679,multiclass_rf,forest,wetland
2,7,2615,multiclass_rf,forest,scrub
2,9,16728,multiclass_rf,forest,forest
2,10,339,multiclass_rf,forest,forest
2,11,3928,multiclass_rf,forest,grassland_meadow_steppe
2,12,2386,multiclass_rf,forest,cropland
2,13,1034,multiclass_rf,forest,grassland_meadow_steppe
2,14,348,multiclass_rf,forest,forest
2,15,44,multiclass_rf,forest,grassland_meadow_steppe
2,16,1439,multiclass_rf,forest,grassland_meadow_steppe
2,17,1126,multiclass_rf,forest,alpine_vegetation
2,18,5895,multiclass_rf,forest,scrub
2,20,515,multiclass_rf,forest,alpine_vegetation
2,21,14,multiclass_rf,forest,cropland
2,22,582,multiclass_rf,forest,alpine_vegetation
2,23,2,multiclass_rf,forest,desert
2,24,50,multiclass_rf,forest,desert
2,25,1318,multiclass_rf,forest,desert
2,26,47,multiclass_rf,forest,forest
2,27,1918,multiclass_rf,forest,cropland
2,28,332,multiclass_rf,forest,forest
2,30,91,multiclass_rf,forest,forest
2,31,150,multiclass_rf,forest,grassland_meadow_steppe
2,32,192,multiclass_rf,forest,desert
2,33,226,multiclass_rf,forest,cropland
2,34,835,multiclass_rf,forest,forest
2,35,17,multiclass_rf,forest,desert
2,36,75,multiclass_rf,forest,forest
2,37,158,multiclass_rf,forest,forest
2,39,50,multiclass_rf,forest,forest
2,40,14,multiclass_rf,forest,grassland_meadow_steppe
2,41,293,multiclass_rf,forest,grassland_meadow_steppe
2,42,106,multiclass_rf,forest,desert
2,43,1,multiclass_rf,forest,wetland
2,44,156,multiclass_rf,forest,scrub
2,45,5,multiclass_rf,forest,scrub
2,46,98,multiclass_rf,forest,scrub
2,47,13,multiclass_rf,forest,cropland
2,48,6,multiclass_rf,forest,wetland
2,49,3,multiclass_rf,forest,forest
2,50,108,multiclass_rf,forest,scrub
2,52,11,multiclass_rf,forest,forest
2,53,472,multiclass_rf,forest,cropland
2,55,359,multiclass_rf,forest,forest
3,1,13083,multiclass_rf,forest,cropland
3,2,19714,multiclass_rf,forest,forest
3,3,213254,multiclass_rf,forest,forest
3,4,8708,multiclass_rf,forest,wetland
3,5,25560,multiclass_rf,forest,grassland_meadow_steppe
3,6,29781,multiclass_rf,forest,wetland
3,7,38656,multiclass_rf,forest,scrub
3,9,58139,multiclass_rf,forest,forest
3,10,1905,multiclass_rf,forest,forest
3,11,8761,multiclass_rf,forest,grassland_meadow_steppe
3,12,19309,multiclass_rf,forest,cropland
3,13,1619,multiclass_rf,forest,grassland_meadow_steppe
3,14,1873,multiclass_rf,forest,forest
3,15,2301,multiclass_rf,forest,grassland_meadow_steppe
3,16,2,multiclass_rf,forest,grassland_meadow_steppe
3,17,8,multiclass_rf,forest,alpine_vegetation
3,18,1527,multiclass_rf,forest,scrub
3,21,100,multiclass_rf,forest,cropland
3,22,2038,multiclass_rf,forest,alpine_vegetation
3,23,30,multiclass_rf,forest,desert
3,24,1297,multiclass_rf,forest,desert
3,25,580,multiclass_rf,forest,desert
3,26,511,multiclass_rf,forest,forest
3,27,21753,multiclass_rf,forest,cropland
3,28,12808,multiclass_rf,forest,forest
3,29,100,multiclass_rf,forest,desert
3,30,427,multiclass_rf,forest,forest
3,31,6,multiclass_rf,forest,grassland_meadow_steppe
3,32,54,multiclass_rf,forest,desert
3,33,10505,multiclass_rf,forest,cropland
3,34,2496,multiclass_rf,forest,forest
3,35,14,multiclass_rf,forest,desert
3,36,5622,multiclass_rf,forest,forest
3,37,13709,multiclass_rf,forest,forest
3,39,1406,multiclass_rf,forest,forest
3,40,267,multiclass_rf,forest,grassland_meadow_steppe
3,41,30486,multiclass_rf,forest,grassland_meadow_steppe
3,44,464,multiclass_rf,forest,scrub
3,46,177,multiclass_rf,forest,scrub
3,47,2526,multiclass_rf,forest,cropland
3,49,141,multiclass_rf,forest,forest
3,50,18,multiclass_rf,forest,scrub
4,1,1743,multiclass_rf,wetland,cropland
4,2,8029,multiclass_rf,wetland,forest
4,3,1876,multiclass_rf,wetland,forest
4,4,58602,multiclass_rf,wetland,wetland
4,5,2470,multiclass_rf,wetland,grassland_meadow_steppe
4,6,2623,multiclass_rf,wetland,wetland
4,7,539,multiclass_rf,wetland,scrub
4,9,430,multiclass_rf,wetland,forest
4,10,1,multiclass_rf,wetland,forest
4,11,4910,multiclass_rf,wetland,grassland_meadow_steppe
4,12,1651,multiclass_rf,wetland,cropland
4,13,3152,multiclass_rf,wetland,grassland_meadow_steppe
4,14,2030,multiclass_rf,wetland,forest
4,15,660,multiclass_rf,wetland,grassland_meadow_steppe
4,16,65,multiclass_rf,wetland,grassland_meadow_steppe
4,17,299,multiclass_rf,wetland,alpine_vegetation
4,18,53,multiclass_rf,wetland,scrub
4,19,5,multiclass_rf,wetland,no_vegetation
4,20,142,multiclass_rf,wetland,alpine_vegetation
4,21,68,multiclass_rf,wetland,cropland
4,22,345,multiclass_rf,wetland,alpine_vegetation
4,23,111,multiclass_rf,wetland,desert
4,24,8,multiclass_rf,wetland,desert
4,25,254,multiclass_rf,wetland,desert
4,27,506,multiclass_rf,wetland,cropland
4,30,99,multiclass_rf,wetland,forest
4,32,22,multiclass_rf,wetland,desert
4,33,55,multiclass_rf,wetland,cropland
4,34,31,multiclass_rf,wetland,forest
4,35,5,multiclass_rf,wetland,desert
4,39,15,multiclass_rf,wetland,forest
4,45,2,multiclass_rf,wetland,scrub
4,48,233,multiclass_rf,wetland,wetland
4,50,87,multiclass_rf,wetland,scrub
5,1,5119,multiclass_rf,grassland_meadow_steppe,cropland
5,2,11735,multiclass_rf,grassland_meadow_steppe,forest
5,3,7260,multiclass_rf,grassland_meadow_steppe,forest
5,4,6208,multiclass_rf,grassland_meadow_steppe,wetland
5,5,87695,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,6,7565,multiclass_rf,grassland_meadow_steppe,wetland
5,7,3528,multiclass_rf,grassland_meadow_steppe,scrub
5,9,1724,multiclass_rf,grassland_meadow_steppe,forest
5,10,3625,multiclass_rf,grassland_meadow_steppe,forest
5,11,9473,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,12,9248,multiclass_rf,grassland_meadow_steppe,cropland
5,13,3524,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,14,2977,multiclass_rf,grassland_meadow_steppe,forest
5,15,1971,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,16,644,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
5,17,715,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,18,593,multiclass_rf,grassland_meadow_steppe,scrub
5,20,847,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,21,746,multiclass_rf,grassland_meadow_steppe,cropland
5,22,1565,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
5,23,83,multiclass_rf,grassland_meadow_steppe,desert
5,24,553,multiclass_rf,grassland_meadow_steppe,desert
5,25,1337,multiclass_rf,grassland_meadow_steppe,desert
5,26,1983,multiclass_rf,grassland_meadow_steppe,forest
5,27,2158,multiclass_rf,grassland_meadow_steppe,cropland
5,28,743,multiclass_rf,grassland_meadow_steppe,forest
5,29,179,multiclass_rf,grassland_meadow_steppe,desert
