method,assigned_zone,original_source_zone,pixels,predicted_pixels,percent_of_predicted
optimized_mf,1,3,6305,48801,12.9198172168603
optimized_mf,1,31,4485,48801,9.19038544292125
optimized_mf,1,13,4426,48801,9.06948628101883
optimized_mf,1,16,4379,48801,8.97317677916436
optimized_mf,1,18,2903,48801,5.94864859326653
optimized_mf,1,5,2577,48801,5.28062949529723
optimized_mf,1,2,2296,48801,4.70482162250774
optimized_mf,1,10,1863,48801,3.81754472244421
optimized_mf,1,33,1454,48801,2.97944714247659
optimized_mf,1,4,1135,48801,2.32577201286859
optimized_mf,1,7,1003,48801,2.05528575234114
optimized_mf,1,46,900,48801,1.84422450359624
optimized_mf,1,25,824,48801,1.68848998995922
optimized_mf,1,44,654,48801,1.34013647261327
optimized_mf,1,28,629,48801,1.28890801418004
optimized_mf,1,6,248,48801,0.50818630765763
optimized_mf,1,12,243,48801,0.497940615970984
optimized_mf,1,37,208,48801,0.426220774164464
optimized_mf,1,20,205,48801,0.420073359152476
optimized_mf,1,30,158,48801,0.323763857298006
optimized_mf,1,24,152,48801,0.311469027274031
optimized_mf,1,15,135,48801,0.276633675539436
optimized_mf,1,21,125,48801,0.256142292166144
optimized_mf,1,45,88,48801,0.180324173684965
optimized_mf,1,39,77,48801,0.157783651974345
optimized_mf,1,40,64,48801,0.131144853589066
optimized_mf,1,47,64,48801,0.131144853589066
optimized_mf,1,19,53,48801,0.108604331878445
optimized_mf,1,11,36,48801,0.0737689801438495
optimized_mf,1,27,33,48801,0.0676215651318621
optimized_mf,1,53,17,48801,0.0348353517345956
optimized_mf,1,9,12,48801,0.0245896600479498
optimized_mf,1,41,8,48801,0.0163931066986332
optimized_mf,1,49,6,48801,0.0122948300239749
optimized_mf,1,52,4,48801,0.00819655334931661
optimized_mf,1,54,4,48801,0.00819655334931661
optimized_mf,1,36,3,48801,0.00614741501198746
optimized_mf,1,34,2,48801,0.00409827667465831
optimized_mf,1,14,1,48801,0.00204913833732915
optimized_mf,1,17,1,48801,0.00204913833732915
optimized_mf,1,22,1,48801,0.00204913833732915
optimized_mf,1,26,1,48801,0.00204913833732915
optimized_mf,1,32,1,48801,0.00204913833732915
optimized_mf,1,42,1,48801,0.00204913833732915
optimized_mf,1,48,1,48801,0.00204913833732915
optimized_mf,1,50,1,48801,0.00204913833732915
optimized_mf,2,3,21566,274175,7.86577915564877
optimized_mf,2,5,18568,274175,6.77231695085256
optimized_mf,2,4,16812,274175,6.13185009574177
optimized_mf,2,6,13455,274175,4.90744962159205
optimized_mf,2,16,4632,274175,1.68943193216012
optimized_mf,2,7,3474,274175,1.26707394912009
optimized_mf,2,11,2454,274175,0.895048782711772
optimized_mf,2,13,1349,274175,0.492021519102763
optimized_mf,2,18,835,274175,0.304550013677396
optimized_mf,2,12,711,274175,0.259323424819914
optimized_mf,2,1,620,274175,0.226132944287408
optimized_mf,2,9,470,274175,0.171423360992067
optimized_mf,2,27,440,274175,0.160481444332999
optimized_mf,2,41,122,274175,0.044497127746877
optimized_mf,2,20,112,274175,0.0408498221938543
