method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
optimized_mf,1,15263,48801,11015,12340777,37786,4248,0.996608472637909,0.721679879447029,0.996947464742071,0.225712587856806,0.343874875124875,0.718627344189099
optimized_mf,2,284043,274175,187759,12023367,86416,96284,0.985258789335916,0.66102315494485,0.992863951401937,0.68481444332999,0.672708511728393,0.653887106346787
optimized_mf,3,552373,437065,261191,11665579,175874,291182,0.96231543027956,0.472852583308742,0.98514759970757,0.597602187317676,0.527958295517253,0.458000183016312
optimized_mf,4,91405,85939,34246,12250728,51693,57159,0.99121723993866,0.374662217602976,0.995798144121389,0.398491953594992,0.386209852038975,0.370460361724364
optimized_mf,5,190463,150579,58665,12111449,91914,131798,0.981949722385969,0.308012579871156,0.992468141773706,0.389596158826928,0.344033872660845,0.300480721644862
optimized_mf,6,90294,102235,45964,12247261,56271,44330,0.99188297463592,0.509048220258268,0.995426435270782,0.449591627133565,0.477476120480551,0.50447465552905
optimized_mf,7,220966,250014,79676,12002522,170338,141290,0.974856190493557,0.360580360779486,0.986006739582974,0.3186861535754,0.338341330842074,0.34658710036246
optimized_mf,9,30500,89769,24600,12298157,65169,5900,0.994265773942607,0.80655737704918,0.994728845619698,0.274036694181733,0.409082972337011,0.801286222668878
optimized_mf,10,146264,150624,70881,12167819,79743,75383,0.987483606757106,0.484610020237379,0.993489071539299,0.470582377310389,0.477493196087414,0.478099091776678
optimized_mf,11,147057,210876,83943,12119836,126933,63114,0.984665994181296,0.570819478161529,0.989635388729876,0.398068058954077,0.469043089069742,0.560454866891406
optimized_mf,12,374213,333136,214607,11901084,118529,159606,0.977558584411303,0.573488895361733,0.990138700805092,0.644202367801739,0.606792403749776,0.563627596166825
optimized_mf,13,618971,525685,351747,11600917,173938,267224,0.964404696338322,0.568277027518252,0.98522801342352,0.669121241808307,0.614589885520191,0.553505040941772
optimized_mf,14,32665,110476,25171,12275856,85305,7494,0.992512481617864,0.770580131639369,0.993098949200645,0.227841341105761,0.351695181674014,0.763679080840015
optimized_mf,15,235591,226133,112022,12044124,114111,123569,0.980822709629779,0.475493546018311,0.990614509425093,0.495381036823462,0.485233602758358,0.466108055443405
optimized_mf,16,911178,679078,500009,11303579,179069,411169,0.95237644937084,0.548750079567329,0.984405252168315,0.736305696841894,0.62884089102635,0.533155331735645
optimized_mf,17,1641,9973,1498,12383710,8475,143,0.999304653784876,0.91285801340646,0.999316101236384,0.150205554998496,0.257964525572585,0.912174114642843
optimized_mf,18,112964,168028,42742,12155576,125286,70222,0.984225371568069,0.378368329733366,0.989798273117962,0.254374270954841,0.304222184261474,0.368166602851328
optimized_mf,19,691356,563910,506017,11644577,57893,185339,0.980374744651087,0.731919589907371,0.995052924724438,0.897336454398752,0.806230711259605,0.726972514631809
optimized_mf,20,379965,439801,220810,11794870,218991,159155,0.969489163394742,0.581132472727751,0.981771805084144,0.502067980745837,0.538714706391824,0.562904277811895
optimized_mf,21,599210,491115,356891,11660392,134224,242319,0.969618501986392,0.595602543348743,0.988619892330535,0.726695376846563,0.654650677550272,0.584222435679277
optimized_mf,22,41980,99822,25621,12277645,74201,16359,0.992693136082433,0.61031443544545,0.993992719792653,0.256666867023302,0.361363027319784,0.604307155238103
optimized_mf,23,326806,355220,170222,11882022,184998,156584,0.972439341975593,0.520865589983048,0.984669122948334,0.479201621530319,0.49916572095492,0.505534712931381
