original_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,11532,674,367,226,185,138,131,140,149,152,107,93,95,80,78,98,77,76,54,46,41,43,41,38,48,36,37,36,39,31,31,26,21,30,27,22,27,35,36,21,20,11,12,8,7,10,5,5,4,0,0,5,7,3,2
2,18936,203034,17238,9212,7416,4911,3469,3268,3693,1880,1765,1341,1087,827,857,849,639,618,264,235,211,212,240,212,231,157,180,73,60,77,56,59,53,54,31,35,40,33,36,39,38,39,27,30,27,25,23,29,32,17,21,31,36,14,26
3,42452,36689,284882,25345,24562,20956,16795,10476,10615,6230,6026,5111,3603,3205,3100,3061,3068,3101,2850,3015,3016,2933,2908,2948,2850,2848,2795,1910,1429,1545,1411,1507,1506,1157,1044,1141,908,651,791,596,778,68,92,83,83,99,63,13,3,13,0,13,6,12,11
4,13953,12915,4869,38437,3435,2654,2174,1893,2024,2000,2058,1587,1093,460,287,179,144,115,113,112,110,124,95,85,61,57,58,16,17,14,12,21,12,14,13,12,14,15,16,9,11,10,17,13,14,14,11,13,7,0,0,4,7,2,5
5,24463,22429,13974,7890,66247,6883,5573,4835,4878,4840,4465,3262,1994,1536,1192,1132,948,895,859,834,743,787,721,738,692,655,639,456,429,476,465,442,447,399,369,364,337,331,342,235,225,180,155,176,138,263,61,24,15,4,0,8,4,5,9
6,10044,10105,3310,2375,1686,50864,1258,1133,1195,1154,1192,1008,447,436,431,302,354,334,327,328,320,226,193,207,160,111,132,54,36,40,39,28,29,28,29,37,37,20,23,23,24,22,6,13,15,22,19,25,18,11,0,20,13,15,16
7,17376,16512,15033,6437,5942,5570,81647,5250,5322,4825,4899,4009,3565,2919,2452,2294,2233,2378,2249,2266,2178,2187,2166,2007,1858,1738,1709,1440,1231,1252,1207,1295,1276,809,809,864,697,632,704,620,698,82,66,56,75,39,33,20,23,3,0,5,2,3,4
8,97340,86593,76532,59761,56863,53943,50962,47624,47911,44065,40790,37484,35988,30902,30226,28307,24620,24328,22882,21313,19815,18495,17717,14384,11910,9154,9132,8505,8450,7810,6837,5703,4925,4396,4475,4344,4025,3962,3669,3460,3298,3062,2809,2839,2338,1563,1044,923,841,744,561,634,1037,346,145
9,1747,1743,1461,94,98,90,81,48,24896,69,73,34,7,6,2,6,0,4,4,1,1,4,3,3,4,5,2,1,2,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
10,4072,2178,2221,2054,2086,1966,1992,1974,2003,77338,1920,1960,1940,1935,1987,1879,1725,1820,1401,1422,1253,1275,1310,1356,1348,1299,1319,1326,1290,1226,1234,1334,1247,1349,1182,1218,1071,1088,1413,796,790,758,795,783,781,1021,155,147,158,21,1,11,18,11,7
11,8190,8309,7301,6485,5134,3881,3263,2664,2667,2639,84137,2711,2055,993,566,474,434,442,392,413,409,411,417,402,446,304,351,150,159,156,172,162,178,18,22,19,14,12,14,10,24,6,1,3,5,11,7,3,6,2,0,2,3,3,5
12,24030,23493,23136,12905,10623,8870,7366,5515,5453,4802,4970,220685,3759,1973,1583,1174,1213,1101,1167,1181,1173,1195,1164,1144,1008,763,782,259,276,231,252,223,243,53,51,54,46,44,49,40,58,8,0,9,11,5,5,5,10,8,0,10,12,12,11
13,25120,20314,19822,19486,17101,15310,15604,12979,13073,12881,13177,9927,358873,6996,5702,4837,4195,4404,3973,3888,3988,3681,3908,3879,3513,1567,1572,1456,1495,1436,1443,1292,1209,124,127,72,86,81,71,83,87,29,6,11,14,7,9,12,7,2,0,18,6,11,7
14,576,571,579,588,562,530,497,479,504,465,501,395,279,25029,157,125,110,114,123,83,77,92,76,47,31,22,29,8,4,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8143,8175,8260,7942,7481,7326,6659,6395,6408,6545,6673,6097,5268,3561,111010,3044,2894,3010,3040,2166,2261,2153,2173,1512,1216,953,923,512,500,347,376,340,165,174,125,139,116,132,121,96,99,67,82,89,77,96,68,84,83,69,0,101,86,78,81
16,22744,18794,17632,17667,17406,16025,16122,15871,15783,16545,14936,14651,14705,14394,14344,528686,14335,14334,10042,10260,5877,5831,4727,4733,4807,4605,4600,4504,4427,4467,4476,2290,2329,2306,2330,2428,2320,2342,2523,2239,2285,2329,2029,1746,1750,1521,17,9,7,11,0,6,8,13,10
17,32,28,4,10,2,4,3,0,3,0,0,2,1,3,1,1,1502,0,2,2,2,0,4,0,0,3,3,1,0,1,0,0,4,1,0,2,2,3,0,2,0,1,1,2,2,2,1,0,0,0,0,0,1,1,2
18,6962,3789,3541,3437,3466,3175,3129,3186,3230,3602,2608,2614,2595,2440,2513,2494,830,42946,838,865,750,778,727,767,720,703,654,652,635,636,657,578,552,570,486,505,458,455,782,384,384,389,369,337,358,405,4,4,2,3,0,0,0,0,0
19,7811,7855,7909,7976,7785,7893,7753,8040,7837,7763,7792,7955,7608,7669,7419,6658,6307,6454,518184,6365,4376,4412,4406,2556,1290,1283,1265,1218,1148,1083,1011,837,717,688,770,720,717,738,198,179,174,197,69,72,48,35,9,8,14,17,0,18,18,13,19
20,6482,6553,6568,6455,6508,6427,6437,6470,6292,6381,6138,6173,6222,6012,6140,6104,2839,2830,2749,228139,2739,2807,2163,2231,2164,2208,2161,2187,2204,2213,2296,1350,1326,1335,1372,1334,1361,1326,1394,1343,1367,1413,404,432,425,243,19,33,37,47,0,18,31,30,33
21,6949,6871,6733,6719,6629,6626,6575,6435,6614,6447,6528,6469,6440,6443,6463,6555,6439,6465,6554,6562,362856,6518,6468,6531,6349,6507,5857,5871,5874,6057,3398,3350,3437,3310,3303,3484,3044,2927,2907,2850,2120,2097,2089,2191,1380,1392,1429,1042,917,494,516,529,460,57,83
22,1046,1002,974,781,805,739,680,705,702,734,698,671,649,617,655,582,318,341,369,333,187,26090,173,185,180,168,157,139,127,122,132,74,81,65,79,74,81,71,91,90,90,90,3,5,2,0,0,1,2,0,1,2,6,0,11
23,7511,7333,7311,7349,7380,7358,7352,7152,7213,7407,7306,7463,7268,7352,6829,5497,5428,5410,5503,3798,3878,3802,168124,4055,1424,1342,1339,1329,1453,777,740,861,601,511,585,173,184,209,44,43,42,43,6,1,2,1,5,0,3,0,0,4,3,2,0
24,13433,13328,13112,13163,13275,13223,13329,13033,13122,13079,12916,12961,13244,12259,12162,11542,11535,11544,11526,10894,10924,10888,10978,517986,7197,4600,4595,4476,4460,2658,2628,2512,1730,1601,1657,609,608,643,487,443,486,454,29,12,7,4,9,5,10,5,0,2,4,4,6
