zoneID,original_pixels,predicted_pixels,TP,FN,FP,recall,precision,F1
1,15263,511625,11532,3731,500093,0.755552643648038,0.0225399462496946,0.0437740088975266
2,284043,640308,203034,81009,437274,0.71480022390976,0.317088026387301,0.439300655270563
3,552373,663274,284882,267491,378392,0.515742080079946,0.429508770131198,0.468691980484466
4,91405,361975,38437,52968,323538,0.42051310103386,0.106186891359901,0.169557545546782
5,190463,371037,66247,124216,304790,0.347820836592934,0.178545535889952,0.235964381121995
6,90294,339166,50864,39430,288302,0.563315391941879,0.149967862344693,0.236874214129372
7,220966,352106,81647,139319,270459,0.369500285111737,0.231881876480378,0.284944998185219
8,1111786,246292,47624,1064162,198668,0.042835581667695,0.193363974469329,0.0701344105419571
9,30500,272616,24896,5604,247720,0.816262295081967,0.0913225929512574,0.164267145251323
10,146264,313291,77338,68926,235953,0.528756221626648,0.24685675617876,0.336577776327099
11,147057,307543,84137,62920,223406,0.572138694519812,0.273578003726308,0.370158380994281
12,374213,428844,220685,153528,208159,0.589730982087741,0.514604378282079,0.54961229402147
13,618971,552448,358873,260098,193575,0.579789683200021,0.649605030699722,0.61271500632993
14,32665,206782,25029,7636,181753,0.766232971069953,0.12104051609908,0.209056701483
15,235591,283749,111010,124581,172739,0.471197965966442,0.391226048373739,0.427504139869835
16,911178,680925,528686,382492,152239,0.580222525126814,0.776423247787936,0.664135423399114
17,1641,152367,1502,139,150865,0.915295551492992,0.00985777760276175,0.019505480234793
18,112964,193299,42946,70018,150353,0.380174214794094,0.222173937785503,0.280451768577987
19,691356,654208,518184,173172,136024,0.749518337875132,0.792078360399139,0.770210855819567
20,379965,362657,228139,151826,134518,0.600421091416315,0.629076510311396,0.614414870553256
21,599210,481528,362856,236354,118672,0.605557317134227,0.753551195361433,0.671496699477579
22,41980,142698,26090,15890,116608,0.621486422105765,0.182833676715861,0.282545836537108
23,326806,277423,168124,158682,109299,0.514445879206624,0.606020409266716,0.556490999273454
24,845397,613881,517986,327411,95895,0.612713316938669,0.843788942808134,0.709920933502732
25,237357,232327,141792,95565,90535,0.597378632186959,0.61031218928493,0.60377615588353
26,40896,103661,21572,19324,82089,0.527484350547731,0.208101407472434,0.298456664153241
27,859115,687675,611792,247323,75883,0.712118866507976,0.889652815646926,0.791047265627525
28,46042,93436,20261,25781,73175,0.44005473263542,0.216843614880774,0.290526104475258
29,164338,191175,122116,42222,69059,0.743078289866008,0.638765528965608,0.686984723484092
30,576557,303101,241613,334944,61488,0.419061775331841,0.797136927954708,0.549333945692531
31,841378,588763,533961,307417,54802,0.634626767041686,0.906920101976517,0.746724973271866
32,60484,86031,34502,25982,51529,0.570431849745387,0.401041485046088,0.470968842780603
33,389751,265515,217750,172001,47765,0.558690035432879,0.820104325555995,0.664615591225548
34,5159,48047,3567,1592,44480,0.691413064547393,0.074239806855787,0.134082622260647
35,32864,71168,26805,6059,44363,0.815634128529698,0.376643997302158,0.515322208551215
36,22575,57556,14488,8087,43068,0.641771871539313,0.25172006393773,0.361607867117595
37,191906,178832,140396,51510,38436,0.73158733963503,0.785072022904178,0.757386618042931
38,30032,63626,27127,2905,36499,0.903269845498135,0.426350862854808,0.579277797945717
39,21943,50512,12753,9190,37759,0.581187622476416,0.252474659486855,0.352025395072804
40,339661,138180,106965,232696,31215,0.314916931882082,0.774099001302649,0.447701222791682
41,91243,75685,46328,44915,29357,0.507743059741569,0.612116007134835,0.555065657049746
42,155019,142612,116894,38125,25718,0.75406240525355,0.819664544358119,0.78549613447524
43,5692,25834,4922,770,20912,0.864722417427969,0.190524115506697,0.312250206179027
44,566191,175231,157284,408907,17947,0.277793182865853,0.89758090748783,0.424276592817586
45,16405,27944,10985,5420,16959,0.669612922889363,0.393107643859147,0.495388847550114
46,136482,81078,65053,71429,16025,0.476641608417227,0.802350822664595,0.59802353373782
47,354447,216451,205028,149419,11423,0.578444732216664,0.94722593104213,0.718264908967977
48,1624,8330,1423,201,6907,0.876231527093596,0.170828331332533,0.285915209965843
49,157753,74748,67627,90126,7121,0.428689153296609,0.904733237009686,0.581735132322012
50,2292,5652,1830,462,3822,0.798429319371728,0.323779193205945,0.460725075528701
51,40,2964,0,40,2964,0,0,
52,23635,23725,19764,3871,3961,0.836217474085043,0.83304531085353,0.834628378378378
53,64489,56013,51843,12646,4170,0.803904541859852,0.925552996625783,0.860450448955204
54,11548,12329,10691,857,1638,0.925788015240734,0.867142509530376,0.895506135611677
55,6383,7409,5658,725,1751,0.886417045276516,0.763665811850452,0.820475638051044
