method,original_category2,assigned_category2,n
rf_var,cropland,cropland,1864908
rf_var,cropland,forest,312669
rf_var,cropland,wetland,32222
rf_var,cropland,grassland_meadow_steppe,252114
rf_var,cropland,scrub,141779
rf_var,cropland,alpine_vegetation,2115
rf_var,cropland,no_vegetation,1960
rf_var,cropland,desert,48721
rf_var,forest,cropland,209428
rf_var,forest,forest,1528216
rf_var,forest,wetland,51466
rf_var,forest,grassland_meadow_steppe,169313
rf_var,forest,scrub,169952
rf_var,forest,alpine_vegetation,3589
rf_var,forest,no_vegetation,578
rf_var,forest,desert,6152
rf_var,wetland,cropland,16377
rf_var,wetland,forest,39084
rf_var,wetland,wetland,114854
rf_var,wetland,grassland_meadow_steppe,24057
rf_var,wetland,scrub,2077
rf_var,wetland,alpine_vegetation,989
rf_var,wetland,no_vegetation,65
rf_var,wetland,desert,3060
rf_var,grassland_meadow_steppe,cropland,224133
rf_var,grassland_meadow_steppe,forest,219311
rf_var,grassland_meadow_steppe,wetland,49874
rf_var,grassland_meadow_steppe,grassland_meadow_steppe,2262249
rf_var,grassland_meadow_steppe,scrub,232730
rf_var,grassland_meadow_steppe,alpine_vegetation,180060
rf_var,grassland_meadow_steppe,no_vegetation,9117
rf_var,grassland_meadow_steppe,desert,198068
rf_var,scrub,cropland,132931
rf_var,scrub,forest,290814
rf_var,scrub,wetland,13477
rf_var,scrub,grassland_meadow_steppe,139241
rf_var,scrub,scrub,459987
rf_var,scrub,alpine_vegetation,4612
rf_var,scrub,no_vegetation,493
rf_var,scrub,desert,13745
rf_var,alpine_vegetation,forest,3905
rf_var,alpine_vegetation,wetland,445
rf_var,alpine_vegetation,grassland_meadow_steppe,87521
rf_var,alpine_vegetation,scrub,17929
rf_var,alpine_vegetation,cropland,1233
rf_var,alpine_vegetation,alpine_vegetation,272181
rf_var,alpine_vegetation,no_vegetation,908
rf_var,alpine_vegetation,desert,39464
rf_var,no_vegetation,cropland,1132
rf_var,no_vegetation,forest,4989
rf_var,no_vegetation,wetland,659
rf_var,no_vegetation,grassland_meadow_steppe,29872
rf_var,no_vegetation,scrub,2402
rf_var,no_vegetation,alpine_vegetation,42579
rf_var,no_vegetation,no_vegetation,531966
rf_var,no_vegetation,desert,77757
rf_var,desert,cropland,30687
rf_var,desert,forest,9287
rf_var,desert,wetland,3677
rf_var,desert,grassland_meadow_steppe,109976
rf_var,desert,scrub,8639
rf_var,desert,alpine_vegetation,18571
rf_var,desert,no_vegetation,37271
rf_var,desert,desert,1634189
mf_var,cropland,cropland,1859974
mf_var,cropland,forest,313022
mf_var,cropland,wetland,32811
mf_var,cropland,grassland_meadow_steppe,256554
mf_var,cropland,scrub,141068
mf_var,cropland,alpine_vegetation,2061
mf_var,cropland,no_vegetation,2020
mf_var,cropland,desert,48978
mf_var,forest,cropland,208542
mf_var,forest,forest,1528094
mf_var,forest,wetland,52209
mf_var,forest,grassland_meadow_steppe,170138
mf_var,forest,scrub,169437
mf_var,forest,alpine_vegetation,3573
mf_var,forest,no_vegetation,592
mf_var,forest,desert,6109
mf_var,wetland,cropland,16344
mf_var,wetland,forest,38792
mf_var,wetland,wetland,114857
mf_var,wetland,grassland_meadow_steppe,24373
mf_var,wetland,scrub,2079
mf_var,wetland,alpine_vegetation,1011
mf_var,wetland,no_vegetation,58
mf_var,wetland,desert,3049
mf_var,grassland_meadow_steppe,cropland,221684
mf_var,grassland_meadow_steppe,forest,219076
mf_var,grassland_meadow_steppe,wetland,50324
mf_var,grassland_meadow_steppe,grassland_meadow_steppe,2265450
mf_var,grassland_meadow_steppe,scrub,231277
mf_var,grassland_meadow_steppe,alpine_vegetation,180439
mf_var,grassland_meadow_steppe,no_vegetation,9398
mf_var,grassland_meadow_steppe,desert,197894
mf_var,scrub,cropland,131803
mf_var,scrub,forest,291340
mf_var,scrub,wetland,13492
mf_var,scrub,grassland_meadow_steppe,139503
mf_var,scrub,scrub,460356
mf_var,scrub,alpine_vegetation,4588
mf_var,scrub,no_vegetation,500
mf_var,scrub,desert,13718
mf_var,alpine_vegetation,forest,4017
mf_var,alpine_vegetation,wetland,502
mf_var,alpine_vegetation,grassland_meadow_steppe,87486
mf_var,alpine_vegetation,scrub,18051
mf_var,alpine_vegetation,cropland,1245
mf_var,alpine_vegetation,alpine_vegetation,271826
mf_var,alpine_vegetation,no_vegetation,744
mf_var,alpine_vegetation,desert,39715
mf_var,no_vegetation,cropland,1166
mf_var,no_vegetation,forest,4941
mf_var,no_vegetation,wetland,665
mf_var,no_vegetation,grassland_meadow_steppe,29363
mf_var,no_vegetation,scrub,2405
mf_var,no_vegetation,alpine_vegetation,42723
mf_var,no_vegetation,no_vegetation,532555
mf_var,no_vegetation,desert,77538
mf_var,desert,forest,9187
mf_var,desert,wetland,3765
mf_var,desert,grassland_meadow_steppe,110593
mf_var,desert,scrub,8313
mf_var,desert,cropland,30062
mf_var,desert,alpine_vegetation,18634
mf_var,desert,no_vegetation,37027
mf_var,desert,desert,1634716
