category2,category_label,niche,feature,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor
alpine_vegetation,alpine vegetation,climate,Eref_sm,Radiation and evaporative demand,Summer,3,0.0802879109328276,0.0415669373159704,0.0594602569469762,3,1,3,0.0239986824487638,1,0.333333333333333,1,1,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Eref_at,Radiation and evaporative demand,Autumn,3,0.0784031123443238,0.0100275745217004,0.0838274560605889,3,2,3,0.00578942284942273,1,0.666666666666667,1,2,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Tmax_wt,Temperature,Winter,3,0.0667179962193859,0.0367964166266734,0.0624017822646374,3,2,2,0.0212444210446235,1,0.666666666666667,0.666666666666667,3,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Eref,Radiation and evaporative demand,Annual,3,0.0665523336644758,0.0314144930679452,0.067499989304618,3,2,2,0.0181371660292338,1,0.666666666666667,0.666666666666667,4,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,TD,Temperature,Annual,3,0.0590421143057049,0.0214365623424414,0.0466953994860947,3,1,2,0.0123764050389088,1,0.333333333333333,0.666666666666667,5,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,EXT,Temperature,Annual,3,0.0480879649739446,0.0504549510067179,0.0436475166330274,2,1,1,0.029130179545678,0.666666666666667,0.333333333333333,0.333333333333333,6,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,MWMT,Temperature,Annual,3,0.0457567779754755,0.0476152752444317,0.0422353111192836,2,1,1,0.0274906919799107,0.666666666666667,0.333333333333333,0.333333333333333,7,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,DD_0_wt,Growing season and degree-days,Winter,3,0.0394208905685953,0.0365769002447695,0.0460025631912942,2,1,1,0.0211176832024398,0.666666666666667,0.333333333333333,0.333333333333333,8,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,PAS_sp,Snowfall,Spring,3,0.036387372285072,0.0345157066419421,0.0404990358941333,2,1,2,0.0199276525209954,0.666666666666667,0.333333333333333,0.666666666666667,9,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Tmax_sm,Temperature,Summer,3,0.0359462661450102,0.0622607593055508,0,1,1,1,0.0359462661450102,0.333333333333333,0.333333333333333,0.333333333333333,10,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,climate,DD_0,Growing season and degree-days,Annual,3,0.0319580921729044,0.0278239310990023,0.0450768235383626,2,0,1,0.0160641541099226,0.666666666666667,0,0.333333333333333,11,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,climate,PPT_sm,Precipitation,Summer,3,0.0310297322500058,0.0291564793872139,0.0352323449466795,2,0,2,0.0168335012228297,0.666666666666667,0,0.666666666666667,12,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,climate,PAS_wt,Snowfall,Winter,3,0.0290940766139343,0.0182595958987854,0.0272741815979564,3,0,1,0.0105421826074575,1,0,0.333333333333333,13,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,climate,MAP,Precipitation,Annual,3,0.0266352571160537,0.0240280927291678,0.03322447211866,2,0,1,0.0138726258052983,0.666666666666667,0,0.333333333333333,14,within-category pattern,FALSE
alpine_vegetation,alpine vegetation,climate,PPT_at,Precipitation,Autumn,3,0.0254125022197224,0.0237547498195417,0.0291777417990871,2,0,1,0.0137148112028446,0.666666666666667,0,0.333333333333333,15,within-category pattern,FALSE
