niche,feature,category2,category_label,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor,overall_mean_importance_share,overall_selection_frequency,overall_top5_frequency,importance_difference_from_all_zones,importance_ratio_to_all_zones,selection_frequency_difference,top5_frequency_difference
climate,Eref_sm,alpine_vegetation,alpine vegetation,Radiation and evaporative demand,Summer,3,0.0802879109328276,0.0415669373159704,0.0594602569469762,3,1,3,0.0239986824487638,1,0.333333333333333,1,1,within-category pattern,TRUE,0.0249394561661064,0.641509433962264,0.0754716981132076,0.0553484547667213,3.21931281893556,0.358490566037736,0.257861635220126
climate,Eref,alpine_vegetation,alpine vegetation,Radiation and evaporative demand,Annual,3,0.0665523336644758,0.0314144930679452,0.067499989304618,3,2,2,0.0181371660292338,1,0.666666666666667,0.666666666666667,4,within-category pattern,TRUE,0.0226927317981589,0.471698113207547,0.132075471698113,0.0438596018663169,2.93275989230505,0.528301886792453,0.534591194968554
climate,Eref_at,alpine_vegetation,alpine vegetation,Radiation and evaporative demand,Autumn,3,0.0784031123443238,0.0100275745217004,0.0838274560605889,3,2,3,0.00578942284942273,1,0.666666666666667,1,2,within-category pattern,TRUE,0.0348454003692651,0.660377358490566,0.188679245283019,0.0435577119750587,2.25002759369866,0.339622641509434,0.477987421383648
climate,Tmax_wt,alpine_vegetation,alpine vegetation,Temperature,Winter,3,0.0667179962193859,0.0367964166266734,0.0624017822646374,3,2,2,0.0212444210446235,1,0.666666666666667,0.666666666666667,3,within-category pattern,TRUE,0.0310033439258784,0.584905660377359,0.207547169811321,0.0357146522935075,2.15196129742949,0.415094339622642,0.459119496855346
climate,PAS_sp,alpine_vegetation,alpine vegetation,Snowfall,Spring,3,0.036387372285072,0.0345157066419421,0.0404990358941333,2,1,2,0.0199276525209954,0.666666666666667,0.333333333333333,0.666666666666667,9,within-category pattern,TRUE,0.00456727076753698,0.0943396226415094,0.0377358490566038,0.031820101517535,7.96698381530264,0.572327044025157,0.29559748427673
climate,MWMT,alpine_vegetation,alpine vegetation,Temperature,Annual,3,0.0457567779754755,0.0476152752444317,0.0422353111192836,2,1,1,0.0274906919799107,0.666666666666667,0.333333333333333,0.333333333333333,7,within-category pattern,TRUE,0.0141519030509203,0.339622641509434,0.0754716981132076,0.0316048749245552,3.23325971149159,0.327044025157233,0.257861635220126
climate,Tmax_sm,alpine_vegetation,alpine vegetation,Temperature,Summer,3,0.0359462661450102,0.0622607593055508,0,1,1,1,0.0359462661450102,0.333333333333333,0.333333333333333,0.333333333333333,10,within-category pattern,FALSE,0.0093879618189067,0.169811320754717,0.0754716981132076,0.0265583043261035,3.82897447160649,0.163522012578616,0.257861635220126
climate,DD_0_wt,alpine_vegetation,alpine vegetation,Growing season and degree-days,Winter,3,0.0394208905685953,0.0365769002447695,0.0460025631912942,2,1,1,0.0211176832024398,0.666666666666667,0.333333333333333,0.333333333333333,8,within-category pattern,TRUE,0.0137569345735647,0.30188679245283,0.0188679245283019,0.0256639559950306,2.86552867993909,0.364779874213836,0.314465408805031
climate,PAS_wt,alpine_vegetation,alpine vegetation,Snowfall,Winter,3,0.0290940766139343,0.0182595958987854,0.0272741815979564,3,0,1,0.0105421826074575,1,0,0.333333333333333,13,within-category pattern,FALSE,0.00897084475407237,0.339622641509434,0.0188679245283019,0.020123231859862,3.2431813738307,0.660377358490566,-0.0188679245283019
climate,Tave_wt,alpine_vegetation,alpine vegetation,Temperature,Winter,3,0.019418877169225,0.033634481883037,0,1,1,1,0.019418877169225,0.333333333333333,0.333333333333333,0.333333333333333,19,within-category pattern,FALSE,0.00109918172655991,0.0188679245283019,0.0188679245283019,0.0183196954426651,17.6666666666667,0.314465408805031,0.314465408805031
