category2,category_label,niche,feature_group,n_zones,mean_group_importance_share,sd_group_importance_share,median_group_importance_share,se_group_importance_share,group_rank,inference_scope
alpine_vegetation,alpine vegetation,climate,Temperature,3,0.314039781761978,0.142612858587568,0.382396280435081,0.0823375722954343,1,within-category pattern
alpine_vegetation,alpine vegetation,climate,Radiation and evaporative demand,3,0.225243356941627,0.0615160825362261,0.211510341450517,0.0355163268117814,2,within-category pattern
alpine_vegetation,alpine vegetation,climate,Growing season and degree-days,3,0.152142149046742,0.132653998683783,0.212829523450305,0.0765878218491622,3,within-category pattern
alpine_vegetation,alpine vegetation,climate,Precipitation,3,0.123407037411702,0.105292124507892,0.136985643737235,0.060790436428179,4,within-category pattern
alpine_vegetation,alpine vegetation,climate,Humidity,3,0.0742614139837197,0.0351695414644521,0.0547480548185843,0.0203051442317771,5,within-category pattern
alpine_vegetation,alpine vegetation,climate,Snowfall,3,0.0654814488990063,0.0264556815386452,0.0523116106789352,0.0152741948579318,6,within-category pattern
alpine_vegetation,alpine vegetation,climate,Climatic moisture balance,3,0.0454248119552252,0.0414175644907171,0.0551813508268879,0.0239124420078942,7,within-category pattern
cropland,cropland,climate,Growing season and degree-days,7,0.324978163016503,0.0852626682092728,0.29871385850272,0.0322262594570784,1,within-category pattern
cropland,cropland,climate,Precipitation,7,0.203554342525609,0.0768672716276966,0.222904035922486,0.0290530978124195,2,within-category pattern
cropland,cropland,climate,Temperature,7,0.191611052147791,0.0699730129535719,0.176817539860829,0.0264473129658646,3,within-category pattern
cropland,cropland,climate,Climatic moisture balance,7,0.127162349719855,0.0576433070792777,0.102974162474904,0.0217871221827282,4,within-category pattern
cropland,cropland,climate,Radiation and evaporative demand,7,0.110002236296616,0.0641185260805895,0.0933723524627971,0.0242345249201784,5,within-category pattern
cropland,cropland,climate,Humidity,7,0.0378317050947295,0.0302956167856808,0.0415030821070659,0.0114506668328893,6,within-category pattern
cropland,cropland,climate,Snowfall,7,0.00486015119889578,0.0128587514064507,0,0.00486015119889578,7,within-category pattern
desert,desert,climate,Growing season and degree-days,8,0.246006229667789,0.0969364831331498,0.211400134406151,0.0342722222839128,1,within-category pattern
desert,desert,climate,Precipitation,8,0.233916979583092,0.0804573886803593,0.255009635202298,0.0284459825662219,2,within-category pattern
desert,desert,climate,Temperature,8,0.20178149245293,0.0809370953750123,0.203835475935677,0.0286155844946068,3,within-category pattern
desert,desert,climate,Climatic moisture balance,8,0.147319729122297,0.0942151090037081,0.143466563023499,0.0333100712333759,4,within-category pattern
desert,desert,climate,Radiation and evaporative demand,8,0.0698773774904835,0.0418818114263549,0.0598229813373773,0.0148074564339759,5,within-category pattern
desert,desert,climate,Humidity,8,0.0637619239184149,0.0215660407842948,0.0574445782530472,0.00762474684096024,6,within-category pattern
desert,desert,climate,Snowfall,8,0.0373362677649945,0.0283415216066061,0.029731487990335,0.0100202410585881,7,within-category pattern
forest,forest,climate,Temperature,15,0.274948885250712,0.11412695834802,0.239139141851404,0.0294674539356793,1,within-category pattern
forest,forest,climate,Precipitation,15,0.245876600388615,0.079105449325837,0.245787327170615,0.0204249391888814,2,within-category pattern
forest,forest,climate,Growing season and degree-days,15,0.185967422246777,0.0956917156442251,0.168381753406463,0.02470749473734,3,within-category pattern
forest,forest,climate,Climatic moisture balance,15,0.124949400500523,0.0586703403689537,0.119715550145586,0.0151486167443519,4,within-category pattern
forest,forest,climate,Radiation and evaporative demand,15,0.11172488958455,0.0487562532627019,0.108913619588168,0.012588810460661,5,within-category pattern
forest,forest,climate,Humidity,15,0.0379996809434878,0.0388072226052249,0.0240802748332182,0.01001998179084,6,within-category pattern
forest,forest,climate,Snowfall,15,0.0185331210853365,0.0412957742253459,0,0.0106625230562338,7,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Temperature,8,0.249115023642532,0.055766735488357,0.252771814932049,0.0197165184142269,1,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Precipitation,8,0.219996291523961,0.0454124613709087,0.222287953597495,0.0160557296928708,2,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Growing season and degree-days,8,0.219521720074986,0.0815498199899962,0.19560517764855,0.0288322153597343,3,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Climatic moisture balance,8,0.147591149527672,0.0548867171651293,0.127191628941944,0.0194053849522655,4,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Radiation and evaporative demand,8,0.0848341366718254,0.0713298890724816,0.0823215137546028,0.025218924132218,5,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Humidity,8,0.0496030133968898,0.0241560418026741,0.0489782530925949,0.00854045048264829,6,within-category pattern
grassland_meadow_steppe,grassland meadow steppe,climate,Snowfall,8,0.029338665162134,0.0412604215008338,0.00726653235742052,0.0145877619189274,7,within-category pattern
scrub,scrub,climate,Temperature,6,0.366389103716819,0.0523752651233739,0.370823379840948,0.021382112449209,1,within-category pattern
scrub,scrub,climate,Precipitation,6,0.217723644854848,0.0574421482052345,0.236868382371701,0.0234506588053588,2,within-category pattern
scrub,scrub,climate,Growing season and degree-days,6,0.139757619582325,0.0653406528221101,0.15710992812448,0.0266752098124192,3,within-category pattern
scrub,scrub,climate,Climatic moisture balance,6,0.125916028825711,0.0773796952097185,0.129524799365888,0.0315901282859824,4,within-category pattern
scrub,scrub,climate,Radiation and evaporative demand,6,0.0848822874853206,0.0754067727738778,0.0552202385865264,0.0307846860743326,5,within-category pattern
scrub,scrub,climate,Humidity,6,0.0578924482466051,0.0368368760926026,0.0630697201020298,0.0150385916908341,6,within-category pattern
scrub,scrub,climate,Snowfall,6,0.00743886728837047,0.0117101107137265,0,0.00478063268002142,7,within-category pattern
wetland,wetland,climate,Precipitation,5,0.230477243949202,0.0302550141006413,0.233640208933162,0.0135304536378497,1,within-category pattern
wetland,wetland,climate,Temperature,5,0.213482976190251,0.107032600934854,0.171047964676723,0.0478664342997882,2,within-category pattern
wetland,wetland,climate,Growing season and degree-days,5,0.172376922160745,0.13821772824546,0.166768125742847,0.0618128472104882,3,within-category pattern
wetland,wetland,climate,Climatic moisture balance,5,0.171213824432135,0.0402553199392329,0.185199407104327,0.0180027263680255,4,within-category pattern
wetland,wetland,climate,Radiation and evaporative demand,5,0.101725719029889,0.0875724246892619,0.108054309333255,0.0391635789119341,5,within-category pattern
wetland,wetland,climate,Humidity,5,0.0893952603524976,0.105617736014682,0.0341921698462496,0.0472336874716915,6,within-category pattern
wetland,wetland,climate,Snowfall,5,0.02132805388528,0.0309470575542732,0,0.0138399448789907,7,within-category pattern
alpine_vegetation,alpine vegetation,soil,Nutrient retention and base status,3,0.258207595936097,0.128473026377118,0.234733670494437,0.074173936362435,1,within-category pattern
alpine_vegetation,alpine vegetation,soil,Coarse fragments,3,0.218436767494502,0.113506496917253,0.251556657813156,0.0655330065499473,2,within-category pattern
alpine_vegetation,alpine vegetation,soil,Texture,3,0.18894193396335,0.0422800509786181,0.199272769388646,0.0244103988138562,3,within-category pattern
alpine_vegetation,alpine vegetation,soil,Organic carbon,3,0.156652964700335,0.0432219290179697,0.166443541494364,0.0249541923534197,4,within-category pattern
alpine_vegetation,alpine vegetation,soil,Sodicity,3,0.0731763388175005,0.0661199990946317,0.0909025926760243,0.0381743992761034,5,within-category pattern
alpine_vegetation,alpine vegetation,soil,Bulk density,3,0.0705456443816856,0.0614034595054961,0.0996646967261115,0.0354513038746725,6,within-category pattern
alpine_vegetation,alpine vegetation,soil,Soil reaction,3,0.0283947115868105,0.0491810831346205,0,0.0283947115868105,7,within-category pattern
alpine_vegetation,alpine vegetation,soil,Salinity,3,0.00372334361551982,0.00644902031611753,0,0.00372334361551982,8,within-category pattern
alpine_vegetation,alpine vegetation,soil,Gypsum,3,0.00192069950419971,0.00332674912734625,0,0.00192069950419971,9,within-category pattern
