category2,category_label,climate_period,n_zones,mean_period_importance_share,sd_period_importance_share,median_period_importance_share,se_period_importance_share
alpine_vegetation,alpine vegetation,Winter,3,0.202777281523189,0.170059816354991,0.159618806369151,0.0981840807508923
alpine_vegetation,alpine vegetation,Autumn,3,0.166449660945523,0.0949148431763554,0.116412417129936,0.0547991102579599
alpine_vegetation,alpine vegetation,Annual,3,0.330568758593624,0.0882980728825137,0.281062385392619,0.0509789161476445
alpine_vegetation,alpine vegetation,Summer,3,0.195472166654433,0.104936930751656,0.171960106165444,0.0605853652174019
alpine_vegetation,alpine vegetation,Spring,3,0.104732132283231,0.0193553316512344,0.114376016061973,0.0111748059390947
cropland,cropland,Summer,7,0.210740015413504,0.097973796351355,0.22366110108289,0.0370306143066532
cropland,cropland,Autumn,7,0.180607562121388,0.0761301191772157,0.173847826748526,0.028774480374946
cropland,cropland,Annual,7,0.287898872287104,0.0594529910491723,0.28556323127577,0.0224711184307227
cropland,cropland,Spring,7,0.133310665384028,0.0486423002379928,0.124656344659197,0.0183850613754096
cropland,cropland,Winter,7,0.187442884793976,0.112045579999098,0.156113580554273,0.0423492485973724
desert,desert,Annual,8,0.337074571847852,0.0931223155429887,0.364031169418747,0.0329237104001204
desert,desert,Summer,8,0.23828845735166,0.105129034762077,0.186670947817236,0.0371687266899306
desert,desert,Spring,8,0.114366600590221,0.0660171606556051,0.0992934075285857,0.02334059098713
desert,desert,Winter,8,0.165093341325667,0.0595759403495793,0.187234768283809,0.0210632757083764
desert,desert,Autumn,8,0.145177028884601,0.0638209023361298,0.16580297972759,0.0225640964116609
forest,forest,Spring,15,0.168746666432957,0.0705492222549041,0.176616327499427,0.018215730858742
forest,forest,Annual,15,0.346791192440129,0.0954267227603157,0.333874089262803,0.0246390738689237
forest,forest,Autumn,15,0.13855454510131,0.0664432990486024,0.129611190013191,0.0171555860454877
forest,forest,Summer,15,0.166441160553506,0.0589760834925008,0.173836311381561,0.0152275592793996
forest,forest,Winter,15,0.179466435472098,0.0804382623719104,0.193262300905013,0.0207690700376181
grassland_meadow_steppe,grassland meadow steppe,Summer,8,0.24234865344564,0.0955672054185228,0.224819482138771,0.0337881095052426
grassland_meadow_steppe,grassland meadow steppe,Annual,8,0.362286410046483,0.0422520758396477,0.382877881610112,0.0149383646727116
grassland_meadow_steppe,grassland meadow steppe,Winter,8,0.15500872623374,0.057447972541844,0.145794657366037,0.0203109254748782
grassland_meadow_steppe,grassland meadow steppe,Autumn,8,0.130947865423442,0.0649741562058362,0.116648739300706,0.0229718332275104
grassland_meadow_steppe,grassland meadow steppe,Spring,8,0.109408344850695,0.0555160860824457,0.0951673772094756,0.0196279004669167
scrub,scrub,Annual,6,0.315589243689309,0.0398041008099382,0.327062674635621,0.0162499561091085
scrub,scrub,Autumn,6,0.141418337584725,0.0310548051544985,0.153850516444592,0.0126780711150124
scrub,scrub,Summer,6,0.164725186373509,0.0806272842836535,0.153665967611169,0.0329159509735454
scrub,scrub,Winter,6,0.250452972622842,0.0776173208766858,0.230849390198131,0.0316871385582921
scrub,scrub,Spring,6,0.127814259729615,0.0699114091394851,0.128473046937435,0.0285412132651145
wetland,wetland,Annual,5,0.291337551508818,0.0996231422285003,0.301932892792032,0.0445528236310113
wetland,wetland,Autumn,5,0.190724645892634,0.0766224547413039,0.210912003654249,0.0342666034808913
wetland,wetland,Summer,5,0.218033242132641,0.111152487296497,0.276327977454872,0.0497089034926296
wetland,wetland,Spring,5,0.149319383148838,0.123702367934841,0.0904416062586663,0.0553213807359988
wetland,wetland,Winter,5,0.15058517731707,0.0909484518328811,0.18693841254779,0.0406733841493375
