category2,niche,category_label,n_zones,inference_scope,group_rank,feature_group,mean_group_importance_share,se_group_importance_share,top_variables
alpine_vegetation,climate,alpine vegetation,3,within-category pattern,1,Temperature,0.314039781761978,0.0823375722954343,Eref_sm [8%; selected 100%]; Eref_at [7.8%; selected 100%]; Tmax_wt [6.7%; selected 100%]; Eref [6.7%; selected 100%]; TD [5.9%; selected 100%]; EXT [4.8%; selected 67%]
alpine_vegetation,climate,alpine vegetation,3,within-category pattern,2,Radiation and evaporative demand,0.225243356941627,0.0355163268117814,Eref_sm [8%; selected 100%]; Eref_at [7.8%; selected 100%]; Tmax_wt [6.7%; selected 100%]; Eref [6.7%; selected 100%]; TD [5.9%; selected 100%]; EXT [4.8%; selected 67%]
alpine_vegetation,climate,alpine vegetation,3,within-category pattern,3,Growing season and degree-days,0.152142149046742,0.0765878218491622,Eref_sm [8%; selected 100%]; Eref_at [7.8%; selected 100%]; Tmax_wt [6.7%; selected 100%]; Eref [6.7%; selected 100%]; TD [5.9%; selected 100%]; EXT [4.8%; selected 67%]
cropland,climate,cropland,7,within-category pattern,1,Growing season and degree-days,0.324978163016503,0.0322262594570784,DD_18_wt [6.5%; selected 86%]; TD [5.7%; selected 86%]; MAP [4.8%; selected 86%]; PPT_sm [4.4%; selected 100%]; PPT_at [4.3%; selected 100%]; Tmin_sm [3.8%; selected 71%]
cropland,climate,cropland,7,within-category pattern,2,Precipitation,0.203554342525609,0.0290530978124195,DD_18_wt [6.5%; selected 86%]; TD [5.7%; selected 86%]; MAP [4.8%; selected 86%]; PPT_sm [4.4%; selected 100%]; PPT_at [4.3%; selected 100%]; Tmin_sm [3.8%; selected 71%]
cropland,climate,cropland,7,within-category pattern,3,Temperature,0.191611052147791,0.0264473129658646,DD_18_wt [6.5%; selected 86%]; TD [5.7%; selected 86%]; MAP [4.8%; selected 86%]; PPT_sm [4.4%; selected 100%]; PPT_at [4.3%; selected 100%]; Tmin_sm [3.8%; selected 71%]
desert,climate,desert,8,within-category pattern,1,Growing season and degree-days,0.246006229667789,0.0342722222839128,PPT_sm [9.1%; selected 88%]; AHM [6%; selected 75%]; MAP [5.2%; selected 62%]; PPT_at [5.2%; selected 75%]; TD [4.9%; selected 88%]; CMD_sm [4.2%; selected 50%]
desert,climate,desert,8,within-category pattern,2,Precipitation,0.233916979583092,0.0284459825662219,PPT_sm [9.1%; selected 88%]; AHM [6%; selected 75%]; MAP [5.2%; selected 62%]; PPT_at [5.2%; selected 75%]; TD [4.9%; selected 88%]; CMD_sm [4.2%; selected 50%]
desert,climate,desert,8,within-category pattern,3,Temperature,0.20178149245293,0.0286155844946068,PPT_sm [9.1%; selected 88%]; AHM [6%; selected 75%]; MAP [5.2%; selected 62%]; PPT_at [5.2%; selected 75%]; TD [4.9%; selected 88%]; CMD_sm [4.2%; selected 50%]
forest,climate,forest,15,within-category pattern,1,Temperature,0.274948885250712,0.0294674539356793,TD [8.2%; selected 93%]; PPT_sp [6.3%; selected 93%]; MAP [5.7%; selected 87%]; PPT_at [4.7%; selected 73%]; PPT_sm [4%; selected 87%]; PPT_wt [3.9%; selected 80%]
forest,climate,forest,15,within-category pattern,2,Precipitation,0.245876600388615,0.0204249391888814,TD [8.2%; selected 93%]; PPT_sp [6.3%; selected 93%]; MAP [5.7%; selected 87%]; PPT_at [4.7%; selected 73%]; PPT_sm [4%; selected 87%]; PPT_wt [3.9%; selected 80%]
forest,climate,forest,15,within-category pattern,3,Growing season and degree-days,0.185967422246777,0.02470749473734,TD [8.2%; selected 93%]; PPT_sp [6.3%; selected 93%]; MAP [5.7%; selected 87%]; PPT_at [4.7%; selected 73%]; PPT_sm [4%; selected 87%]; PPT_wt [3.9%; selected 80%]
grassland_meadow_steppe,climate,grassland meadow steppe,8,within-category pattern,1,Temperature,0.249115023642532,0.0197165184142269,TD [6.4%; selected 100%]; PPT_sm [5.9%; selected 100%]; MAP [5.5%; selected 88%]; PPT_sp [5%; selected 100%]; DD5_sm [4.8%; selected 88%]; AHM [4.1%; selected 88%]
grassland_meadow_steppe,climate,grassland meadow steppe,8,within-category pattern,2,Precipitation,0.219996291523961,0.0160557296928708,TD [6.4%; selected 100%]; PPT_sm [5.9%; selected 100%]; MAP [5.5%; selected 88%]; PPT_sp [5%; selected 100%]; DD5_sm [4.8%; selected 88%]; AHM [4.1%; selected 88%]
grassland_meadow_steppe,climate,grassland meadow steppe,8,within-category pattern,3,Growing season and degree-days,0.219521720074986,0.0288322153597343,TD [6.4%; selected 100%]; PPT_sm [5.9%; selected 100%]; MAP [5.5%; selected 88%]; PPT_sp [5%; selected 100%]; DD5_sm [4.8%; selected 88%]; AHM [4.1%; selected 88%]
scrub,climate,scrub,6,within-category pattern,1,Temperature,0.366389103716819,0.021382112449209,TD [10.2%; selected 100%]; EXT [6.5%; selected 100%]; PPT_at [5.6%; selected 100%]; Tmax_wt [5%; selected 100%]; Eref_at [4.6%; selected 100%]; PPT_sp [4.5%; selected 83%]
scrub,climate,scrub,6,within-category pattern,2,Precipitation,0.217723644854848,0.0234506588053588,TD [10.2%; selected 100%]; EXT [6.5%; selected 100%]; PPT_at [5.6%; selected 100%]; Tmax_wt [5%; selected 100%]; Eref_at [4.6%; selected 100%]; PPT_sp [4.5%; selected 83%]
scrub,climate,scrub,6,within-category pattern,3,Growing season and degree-days,0.139757619582325,0.0266752098124192,TD [10.2%; selected 100%]; EXT [6.5%; selected 100%]; PPT_at [5.6%; selected 100%]; Tmax_wt [5%; selected 100%]; Eref_at [4.6%; selected 100%]; PPT_sp [4.5%; selected 83%]
wetland,climate,wetland,5,within-category pattern,1,Precipitation,0.230477243949202,0.0135304536378497,TD [5.6%; selected 80%]; PPT_at [5.5%; selected 100%]; PPT_wt [5.2%; selected 100%]; PPT_sp [5.1%; selected 80%]; Eref_at [4%; selected 60%]; Eref_sm [3.8%; selected 100%]
