niche,category1,category1_label,category2,category2_label,cosine_similarity,spearman_similarity
climate,alpine_vegetation,alpine vegetation,alpine_vegetation,alpine vegetation,1,1
climate,alpine_vegetation,alpine vegetation,cropland,cropland,0.587184159850554,0.229105773547472
climate,alpine_vegetation,alpine vegetation,desert,desert,0.614516624489082,0.399973266757254
climate,alpine_vegetation,alpine vegetation,forest,forest,0.667468527351594,0.400494751399278
climate,alpine_vegetation,alpine vegetation,grassland_meadow_steppe,grassland meadow steppe,0.646057324115844,0.40008340938262
climate,alpine_vegetation,alpine vegetation,scrub,scrub,0.695922865120203,0.495049347475215
climate,alpine_vegetation,alpine vegetation,wetland,wetland,0.654657415113575,0.327619631142203
climate,cropland,cropland,alpine_vegetation,alpine vegetation,0.587184159850554,0.229105773547472
climate,cropland,cropland,cropland,cropland,1,1
climate,cropland,cropland,desert,desert,0.830321858791215,0.613797787873829
climate,cropland,cropland,forest,forest,0.885414055817941,0.727446798524019
climate,cropland,cropland,grassland_meadow_steppe,grassland meadow steppe,0.852586177821675,0.673571556282087
climate,cropland,cropland,scrub,scrub,0.807166127725336,0.560215179284362
climate,cropland,cropland,wetland,wetland,0.8488947275908,0.69282013511793
climate,desert,desert,alpine_vegetation,alpine vegetation,0.614516624489082,0.399973266757254
climate,desert,desert,cropland,cropland,0.830321858791215,0.613797787873829
climate,desert,desert,desert,desert,1,1
climate,desert,desert,forest,forest,0.822190637251831,0.682701887842358
climate,desert,desert,grassland_meadow_steppe,grassland meadow steppe,0.91370492002355,0.802352550287632
climate,desert,desert,scrub,scrub,0.747068733516248,0.553745751527201
climate,desert,desert,wetland,wetland,0.805278975669673,0.64083701255594
climate,forest,forest,alpine_vegetation,alpine vegetation,0.667468527351594,0.400494751399278
climate,forest,forest,cropland,cropland,0.885414055817941,0.727446798524019
climate,forest,forest,desert,desert,0.822190637251831,0.682701887842358
climate,forest,forest,forest,forest,1,1
climate,forest,forest,grassland_meadow_steppe,grassland meadow steppe,0.925813403413102,0.812365927291467
climate,forest,forest,scrub,scrub,0.922133254487068,0.803575333144385
climate,forest,forest,wetland,wetland,0.897179215870568,0.697045531411192
climate,grassland_meadow_steppe,grassland meadow steppe,alpine_vegetation,alpine vegetation,0.646057324115844,0.40008340938262
climate,grassland_meadow_steppe,grassland meadow steppe,cropland,cropland,0.852586177821675,0.673571556282087
climate,grassland_meadow_steppe,grassland meadow steppe,desert,desert,0.91370492002355,0.802352550287632
climate,grassland_meadow_steppe,grassland meadow steppe,forest,forest,0.925813403413102,0.812365927291467
climate,grassland_meadow_steppe,grassland meadow steppe,grassland_meadow_steppe,grassland meadow steppe,1,1
climate,grassland_meadow_steppe,grassland meadow steppe,scrub,scrub,0.857500799044365,0.731307430702031
climate,grassland_meadow_steppe,grassland meadow steppe,wetland,wetland,0.86549884126801,0.655292271210017
climate,scrub,scrub,alpine_vegetation,alpine vegetation,0.695922865120203,0.495049347475215
climate,scrub,scrub,cropland,cropland,0.807166127725336,0.560215179284362
climate,scrub,scrub,desert,desert,0.747068733516248,0.553745751527201
climate,scrub,scrub,forest,forest,0.922133254487068,0.803575333144385
climate,scrub,scrub,grassland_meadow_steppe,grassland meadow steppe,0.857500799044365,0.731307430702031
climate,scrub,scrub,scrub,scrub,1,1
climate,scrub,scrub,wetland,wetland,0.809633367616413,0.566785800429631
climate,wetland,wetland,alpine_vegetation,alpine vegetation,0.654657415113575,0.327619631142203
climate,wetland,wetland,cropland,cropland,0.8488947275908,0.69282013511793
climate,wetland,wetland,desert,desert,0.805278975669673,0.64083701255594
climate,wetland,wetland,forest,forest,0.897179215870568,0.697045531411192
climate,wetland,wetland,grassland_meadow_steppe,grassland meadow steppe,0.86549884126801,0.655292271210017
climate,wetland,wetland,scrub,scrub,0.809633367616413,0.566785800429631
climate,wetland,wetland,wetland,wetland,1,1
soil,alpine_vegetation,alpine vegetation,alpine_vegetation,alpine vegetation,1,1
soil,alpine_vegetation,alpine vegetation,cropland,cropland,0.667596168909517,0.279571688265735
soil,alpine_vegetation,alpine vegetation,desert,desert,0.753726519631775,0.0178571428571429
soil,alpine_vegetation,alpine vegetation,forest,forest,0.714740800074615,0.394995689450386
soil,alpine_vegetation,alpine vegetation,grassland_meadow_steppe,grassland meadow steppe,0.800898238362536,0.534405932785816
soil,alpine_vegetation,alpine vegetation,scrub,scrub,0.793099449170533,0.634412677218399
