zoneID,zone_name,category2,category_label,niche,reference_area_km2,reference_pixels,n_selected_features,top1_importance_share,top5_importance_share,importance_shannon,effective_number_of_features,selection_roles,selected_for_detail
17,Alpine tundra,alpine_vegetation,alpine vegetation,climate,1166.83977455947,2032,21,0.10548216825962,0.403621265003195,2.93210614325304,18.7671151348454,category smallest observed area; global smallest observed area,TRUE
20,Alpine sparse vegetation,alpine_vegetation,alpine vegetation,climate,290572.043152328,411347,21,0.128151262621189,0.529123739048897,2.79992353793342,16.443389427491,category largest observed area; category profile medoid,TRUE
22,Alpine cushion vegetation,alpine_vegetation,alpine vegetation,climate,29216.0608445185,43164,21,0.084550095198923,0.344220896797699,2.9840690209112,19.7680899885864,"",FALSE
1,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,climate,9762.48864593947,15353,21,0.0740308103178374,0.3149854197667,3.00868598423172,20.260759468665,category smallest observed area,TRUE
12,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,cropland,climate,231554.213781713,375765,21,0.110478406099997,0.369218909808898,2.96614843307996,19.4169895549702,category profile medoid,TRUE
21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland,cropland,climate,460573.91798181,610148,21,0.122567808225546,0.445617942419519,2.89355207062368,18.0573367551742,"",FALSE
27,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland,cropland,climate,581987.788488805,866811,21,0.0695323627744688,0.332931334876827,3.00504590882368,20.1871428426957,category largest observed area; global largest observed area,TRUE
33,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland,cropland,climate,264431.973201361,391144,21,0.0655635044802475,0.308196528290002,3.01096869843495,20.3070618194833,"",FALSE
47,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland,cropland,climate,269180.349462283,359409,21,0.115414679324974,0.43966018351726,2.89629827826319,18.1069941048088,"",FALSE
53,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,cropland,cropland,climate,53783.411818324,67859,21,0.0830440030629236,0.3785482088175,2.8997938209271,18.1703986272632,"",FALSE
