niche,feature,zoneID,method,method_label,mda_unscaled,mda_scaled,presence_mda_unscaled,presence_mda_scaled,mean_decrease_gini,model_file,model_object,positive_mda,importance_rank,importance_share,selected,top5,top10,feature_group,climate_period
climate,Eref_sm,1,mf_var,Plain MF RF,0.143413539944167,13.0984513401136,0.300874641942764,12.9106573954712,1108.19725280569,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.143413539944167,1,0.0738596765573827,TRUE,TRUE,TRUE,Radiation and evaporative demand,Summer
climate,PPT_at,1,mf_var,Plain MF RF,0.138949221979765,12.1196105800838,0.303533181087184,11.7429332998669,453.121211370134,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.138949221979765,2,0.0715604997779209,TRUE,TRUE,TRUE,Precipitation,Autumn
climate,DD5_sm,1,mf_var,Plain MF RF,0.113035152349044,6.6175081816334,0.188643381078125,6.08719140583387,887.622501256996,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.113035152349044,3,0.0582144461071469,TRUE,TRUE,TRUE,Growing season and degree-days,Summer
climate,PPT_sp,1,mf_var,Plain MF RF,0.109120147874284,9.45887460109792,0.240333074126669,9.21101528748721,434.576705974749,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.109120147874284,4,0.0561981722996732,TRUE,TRUE,TRUE,Precipitation,Spring
climate,DD5,1,mf_var,Plain MF RF,0.108661217117204,5.99639979198878,0.201352966793457,5.91751985995829,936.131638814459,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.108661217117204,5,0.0559618175085334,TRUE,TRUE,TRUE,Growing season and degree-days,Annual
climate,EXT,1,mf_var,Plain MF RF,0.107309071649874,7.32532039911244,0.188257608168313,6.71011456513993,633.490693059768,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.107309071649874,6,0.0552654465318849,TRUE,FALSE,TRUE,Temperature,Annual
climate,PPT_sm,1,mf_var,Plain MF RF,0.106068105697996,10.34560798147,0.227128126952952,10.0455331337533,307.322063654616,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.106068105697996,7,0.0546263343263003,TRUE,FALSE,TRUE,Precipitation,Summer
climate,DD_0_at,1,mf_var,Plain MF RF,0.102537368163528,7.14424567743027,0.1859474613409,6.39317565698131,196.368966307287,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.102537368163528,8,0.0528079625574534,TRUE,FALSE,TRUE,Growing season and degree-days,Autumn
climate,Tmin_sm,1,mf_var,Plain MF RF,0.102455951687401,6.97282942159019,0.177427678271182,6.71867836309289,758.895704731983,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.102455951687401,9,0.0527660321051721,TRUE,FALSE,TRUE,Temperature,Summer
climate,DD_18_sm,1,mf_var,Plain MF RF,0.0998077139932422,6.04343271970835,0.164712609741496,5.33652821052093,901.711876102235,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0998077139932422,10,0.0514021582365414,TRUE,FALSE,TRUE,Growing season and degree-days,Summer
climate,MAP,1,mf_var,Plain MF RF,0.0986509217132047,8.53257380396974,0.211207500276944,8.09149581128556,274.705541010174,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0986509217132047,11,0.0508063964717812,TRUE,FALSE,FALSE,Precipitation,Annual
climate,NFFD_at,1,mf_var,Plain MF RF,0.0916862869499772,7.60584187564279,0.178237132770022,7.14643319363916,615.748556958993,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0916862869499772,12,0.0472195268418108,TRUE,FALSE,FALSE,Growing season and degree-days,Autumn
climate,PPT_wt,1,mf_var,Plain MF RF,0.0835519115974712,7.40143546960858,0.18468445903392,7.25620561152438,265.21037858088,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0835519115974712,13,0.0430302269140192,TRUE,FALSE,FALSE,Precipitation,Winter
climate,Eref,1,mf_var,Plain MF RF,0.0831158691313175,6.66417615965203,0.152241885196472,6.26863748834373,553.659378737377,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0831158691313175,14,0.0428056598645765,TRUE,FALSE,FALSE,Radiation and evaporative demand,Annual
climate,Eref_at,1,mf_var,Plain MF RF,0.0820474061576962,6.78736667115816,0.144600919845267,5.8773074567735,276.534661967769,H:/Jing/ecoChina2/rf/clm_mfVar_zone1.Rdata,clm_mfVar,0.0820474061576962,15,0.0422553887418085,TRUE,FALSE,FALSE,Radiation and evaporative demand,Autumn
