zoneID,niche,importance_spearman,importance_pearson,top5_overlap_n,top5_union_n,top5_jaccard,selected_overlap_n,selected_union_n,selected_jaccard,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
17,climate,0.972727272727273,0.981260126711711,4,6,0.666666666666667,21,21,1,Alpine tundra,alpine_tundra,alpine_vegetation,#A2D2FF,1166.83977455947,2032,alpine vegetation,53,1,3,1
20,climate,0.997402597402597,0.997933361448162,5,5,1,21,21,1,Alpine sparse vegetation,alpine_sparse,alpine_vegetation,#B8C0FF,290572.043152328,411347,alpine vegetation,11,43,1,3
22,climate,0.992207792207792,0.996267645036003,5,5,1,21,21,1,Alpine cushion vegetation,alpine_cushion,alpine_vegetation,#CDB4DB,29216.0608445185,43164,alpine vegetation,37,17,2,2
1,climate,0.993506493506494,0.996855889039602,5,5,1,21,21,1,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,cropland,#FFD23F,9762.48864593947,15353,cropland,46,8,7,1
12,climate,0.98961038961039,0.996550365746148,4,6,0.666666666666667,21,21,1,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,cropland,#F8961E,231554.213781713,375765,cropland,15,39,5,3
21,climate,0.993506493506494,0.996928191079259,4,6,0.666666666666667,21,21,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland_orchard_plantation,cropland,#F3722C,460573.91798181,610148,cropland,6,48,2,6
27,climate,0.987012987012987,0.989668481061725,5,5,1,21,21,1,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland_orchard,cropland,#FFB703,581987.788488805,866811,cropland,3,51,1,7
33,climate,0.983116883116883,0.992353491400655,5,5,1,21,21,1,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland_orchard,cropland,#FDB833,264431.973201361,391144,cropland,13,41,4,4
47,climate,0.990909090909091,0.997655850349115,5,5,1,21,21,1,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,cropland_orchard_plantation,cropland,#FF6D00,269180.349462283,359409,cropland,12,42,3,5
53,climate,0.988311688311688,0.996744000445644,5,5,1,21,21,1,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,tropical_cropland_orchard_plantation,cropland,#FF9F1C,53783.411818324,67859,cropland,31,23,6,2
23,climate,0.990909090909091,0.995545339699479,4,6,0.666666666666667,21,21,1,Shrub deserts,shrub_desert,desert,#B5651D,215639.769601697,330737,desert,16,38,2,7
24,climate,0.98961038961039,0.998682567653604,5,5,1,21,21,1,Semi-shrub and dwarf semi-shrub deserts,semi_shrub_desert,desert,#9C6644,547719.084772723,846694,desert,4,50,1,8
25,climate,0.977922077922078,0.998548099599449,5,5,1,21,21,1,Temperate tufted low grass and nano-semi-shrub desert steppes,desert_steppe,desert,#BC6C25,157239.724775428,237969,desert,18,36,3,6
29,climate,0.990909090909091,0.997583318802316,5,5,1,21,21,1,Dwarf semi-arboreous deserts,semi_arboreous_desert,desert,#7F5539,102358.514043218,164699,desert,26,28,5,4
32,climate,0.990909090909091,0.998299520178104,5,5,1,21,21,1,Succulent halophytic dwarf semi-shrub deserts,halophytic_desert,desert,#E63946,41176.9538326962,62847,desert,34,20,6,3
35,climate,0.98961038961039,0.995572617255638,5,5,1,21,21,1,Steppe shrub deserts,steppe_shrub_desert,desert,#D62828,21673.0911747923,32917,desert,38,16,7,2
38,climate,0.992207792207792,0.995134821866569,5,5,1,21,21,1,Annual herb deserts,annual_herb_desert,desert,#F4A261,19641.7789199388,30035,desert,40,14,8,1
42,climate,0.985714285714286,0.998245578189831,4,6,0.666666666666667,21,21,1,Cushion nano-semi-shrub high-cold deserts,high_cold_desert,desert,#8D99AE,108908.531014594,157267,desert,25,29,4,5
2,climate,0.972727272727273,0.989653655605178,4,6,0.666666666666667,21,21,1,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,cold_temperate_needleleaf_forest,forest,#005A32,160335.840232647,284343,forest,17,37,3,13
3,climate,0.980519480519481,0.994027892717054,5,5,1,21,21,1,Broadleaf deciduous forests in temperate zone,temperate_deciduous_forest,forest,#33A02C,345904.264996547,553420,forest,10,44,2,14
9,climate,0.980519480519481,0.993837099301731,4,6,0.666666666666667,21,21,1,Needleleaf and deciduous broadleaf mixed forests in temperate zone,mixed_forest,forest,#2CA25F,18681.3387065463,30540,forest,42,12,11,5
10,climate,0.993506493506494,0.998124745966297,5,5,1,21,21,1,Needleleaf forests on mountains in subtropical and tropical zones,mountain_needleleaf_forest,forest,#006D77,109739.960164066,147373,forest,24,30,6,10
14,climate,0.946753246753247,0.992104523639718,5,5,1,21,21,1,Microphyllous deciduous woodlands in temperate zone,temperate_woodland,forest,#8AC926,20908.5541959762,33001,forest,39,15,9,7
26,climate,0.996103896103896,0.996687216670346,5,5,1,21,21,1,Bamboo forests and scrubs in subtropical and tropical zones,bamboo,forest,#00A878,30951.3022898633,40966,forest,36,18,8,8
28,climate,0.993506493506494,0.996948941367074,5,5,1,21,21,1,Broadleaf deciduous forests in subtropical zone,subtropical_deciduous_forest,forest,#52B788,34056.2147908729,46263,forest,35,19,7,9
30,climate,0.98961038961039,0.997150164905499,5,5,1,21,21,1,Needleleaf forests in subtropical zone,subtropical_needleleaf_forest,forest,#1B9AAA,440947.400872453,580358,forest,8,46,1,15
34,climate,0.996103896103896,0.998688321139545,5,5,1,21,21,1,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",subtropical_mixed_forest,forest,#2A9D8F,3904.5141748997,5163,forest,50,4,15,1
36,climate,0.993506493506494,0.997910562925608,5,5,1,21,21,1,Broadleaf evergreen and deciduous mixed forests in subtropical zone,subtropical_mixed_broadleaf_forest,forest,#40916C,16932.3871491317,22763,forest,43,11,12,4
37,climate,0.990909090909091,0.992327704112318,4,6,0.666666666666667,21,21,1,Needleleaf forests in temperate zone,temperate_needleleaf_forest,forest,#0B3D2E,135761.296395213,193911,forest,21,33,4,12
