category2,category_label,niche,feature,feature_group,climate_period,n_zones,mean_importance_share,sd_importance_share,median_importance_share,selected_zones,top5_zones,top10_zones,se_importance_share,selection_frequency,top5_frequency,top10_frequency,category_variable_rank,inference_scope,common_factor
alpine_vegetation,alpine vegetation,climate,Eref_sm,Radiation and evaporative demand,Summer,3,0.0802879109328276,0.0415669373159704,0.0594602569469762,3,1,3,0.0239986824487638,1,0.333333333333333,1,1,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Eref_at,Radiation and evaporative demand,Autumn,3,0.0784031123443238,0.0100275745217004,0.0838274560605889,3,2,3,0.00578942284942273,1,0.666666666666667,1,2,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Tmax_wt,Temperature,Winter,3,0.0667179962193859,0.0367964166266734,0.0624017822646374,3,2,2,0.0212444210446235,1,0.666666666666667,0.666666666666667,3,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,Eref,Radiation and evaporative demand,Annual,3,0.0665523336644758,0.0314144930679452,0.067499989304618,3,2,2,0.0181371660292338,1,0.666666666666667,0.666666666666667,4,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,TD,Temperature,Annual,3,0.0590421143057049,0.0214365623424414,0.0466953994860947,3,1,2,0.0123764050389088,1,0.333333333333333,0.666666666666667,5,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,EXT,Temperature,Annual,3,0.0480879649739446,0.0504549510067179,0.0436475166330274,2,1,1,0.029130179545678,0.666666666666667,0.333333333333333,0.333333333333333,6,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,MWMT,Temperature,Annual,3,0.0457567779754755,0.0476152752444317,0.0422353111192836,2,1,1,0.0274906919799107,0.666666666666667,0.333333333333333,0.333333333333333,7,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,DD_0_wt,Growing season and degree-days,Winter,3,0.0394208905685953,0.0365769002447695,0.0460025631912942,2,1,1,0.0211176832024398,0.666666666666667,0.333333333333333,0.333333333333333,8,within-category pattern,TRUE
alpine_vegetation,alpine vegetation,climate,PAS_sp,Snowfall,Spring,3,0.036387372285072,0.0345157066419421,0.0404990358941333,2,1,2,0.0199276525209954,0.666666666666667,0.333333333333333,0.666666666666667,9,within-category pattern,TRUE
cropland,cropland,climate,DD_18_wt,Growing season and degree-days,Winter,7,0.0648424723539042,0.0360951517369489,0.0697499179069581,6,5,5,0.013642685004444,0.857142857142857,0.714285714285714,0.714285714285714,1,within-category pattern,TRUE
cropland,cropland,climate,TD,Temperature,Annual,7,0.0571469871210716,0.0332489346063702,0.0607893407350422,6,2,5,0.012566916046615,0.857142857142857,0.285714285714286,0.714285714285714,2,within-category pattern,TRUE
cropland,cropland,climate,MAP,Precipitation,Annual,7,0.048333617655574,0.0225056500069964,0.0571637209277832,6,2,5,0.00850633614462452,0.857142857142857,0.285714285714286,0.714285714285714,3,within-category pattern,TRUE
cropland,cropland,climate,PPT_sm,Precipitation,Summer,7,0.0443245174284272,0.0169716600848212,0.0451473315374721,7,1,3,0.00641468456005118,1,0.142857142857143,0.428571428571429,4,within-category pattern,FALSE
cropland,cropland,climate,PPT_at,Precipitation,Autumn,7,0.0433497754051018,0.0178877918338348,0.0445515167936028,7,2,3,0.00676094981377414,1,0.285714285714286,0.428571428571429,5,within-category pattern,TRUE
cropland,cropland,climate,Tmin_sm,Temperature,Summer,7,0.0380875974400332,0.0280288042810931,0.0499784132285827,5,2,4,0.0105938922391821,0.714285714285714,0.285714285714286,0.571428571428571,6,within-category pattern,TRUE
