method,method_label,scenario,period,ssp,zoneID,suitable_area_km2,dual_threshold,calculation_source
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,211232.273546327,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,2,445788.363112304,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,991722.749347776,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,4,284408.032410521,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,708615.524859441,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,6,189603.426427066,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,7,915449.876126805,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,9,61094.9958854791,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,10,449973.3165523,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,11,318163.196006193,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12,681856.379950817,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,13,857767.279954332,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,14,137464.327826319,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,15,933970.617321092,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,16,1403095.68766851,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,17,7287.67903123229,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,18,971808.795230992,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,19,686555.896361046,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,20,708248.632320845,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,21,1538441.3770229,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,22,214422.536703612,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,23,1125358.79987223,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,24,1098904.48391763,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,25,673969.577383704,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,26,365235.026474593,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,27,1078492.24427542,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,28,522277.250491739,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,29,250797.523438172,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,30,1330937.96836111,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,31,1168863.80902268,0.4,existing_dual_rasters_no_reranking
