method,method_label,scenario,period,ssp,zoneID,suitable_area_km2,dual_threshold,calculation_source
rf_var,Plain RF,normal,normal,normal,1,207765.871959185,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,2,548878.682200805,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,3,1135881.57751976,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,4,512286.830593605,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,5,817033.378275029,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,6,369627.72740421,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,7,1004205.02105008,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,9,206438.984074049,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,10,446577.622227842,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,11,508882.535833905,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,12,683123.823905618,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,13,1003245.44436854,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,14,238686.593561836,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,15,830134.657246849,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,16,1338427.20101444,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,17,16778.7260969289,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,18,773696.0052954,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,19,652312.197594617,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,20,1031475.96953738,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,21,1287840.36274453,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,22,405906.370178228,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,23,1005264.02118153,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,24,1078076.28448366,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,25,675350.624467949,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,26,564468.11378885,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,27,879435.263608196,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,28,610554.657450722,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,29,371896.384716238,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,30,1539391.86723126,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,31,1197654.85817544,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,32,457929.072421922,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,33,665341.513002653,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,34,165888.259062064,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,35,188815.820328492,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,36,545011.278438912,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,37,430630.492499072,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,38,125317.905874869,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,39,261263.001252141,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,40,1440439.06191491,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,41,466015.514620485,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,42,454058.693137783,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,43,62244.6019212364,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,44,1633783.55039501,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,45,277688.803577642,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,46,664916.582062324,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,47,892503.483455364,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,48,101842.816051994,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,49,1068380.16093523,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,50,97601.2922512414,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,52,123784.293028054,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,53,251813.979469966,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,54,58693.9247103079,0.4,existing_dual_rasters_no_reranking
rf_var,Plain RF,normal,normal,normal,55,99747.6947371575,0.4,existing_dual_rasters_no_reranking
