method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,1,stable_top1,5771,0.129778717279842,4147.60821835041,0.141229043142149
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,1,changed_former_in_top3,4573,0.129778717279842,3284.54964079379,0.141229043142149
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,1,changed_former_rank4_5,3787,0.129778717279842,2727.44334236448,0.141229043142149
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,1,changed_former_below_top5,23011,0.129778717279842,14672.0599605345,0.141229043142149
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,1,novel,7326,0.129778717279842,4536.29408336468,0.141229043142149
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,2,stable_top1,5061,0.0194638125382181,2926.35311428079,0.0204476958187383
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,2,changed_former_in_top3,118325,0.0194638125382181,64565.2880683576,0.0204476958187383
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,2,changed_former_rank4_5,31544,0.0194638125382181,17810.3678974785,0.0204476958187383
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,2,changed_former_below_top5,17260,0.0194638125382181,10318.233871707,0.0204476958187383
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,2,novel,87831,0.0194638125382181,47493.8340679971,0.0204476958187383
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,3,stable_top1,139059,0.304070409446236,87069.057169275,0.304587730532846
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,3,changed_former_in_top3,118989,0.304070409446236,73018.8297381296,0.304587730532846
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,3,changed_former_rank4_5,61633,0.304070409446236,40204.2395950242,0.304587730532846
