method,method_label,scenario,period,ssp,normal_assigned_zone,category,pixel_count,pixel_share,area_km2,area_share
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,stable_top1,11255,0.253103355221733,8103.21138488907,0.275920176163989
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,changed_former_in_top3,9417,0.211770261761267,6662.04302460095,0.226847356887152
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,changed_former_rank4_5,6146,0.13821174777368,4090.9577142194,0.1393000527287
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,changed_former_below_top5,14506,0.326212107582981,8217.97104147204,0.279827825015399
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,novel,3144,0.07070252766034,2293.77208022638,0.0781045892047608
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,2,stable_top1,86600,0.333050022882767,47050.7509495282,0.328763961794001
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,2,changed_former_in_top3,123876,0.476407674764731,68117.0878891544,0.47596357610384
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,2,changed_former_rank4_5,34116,0.131204787305641,18943.6472678187,0.132367462812166
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,2,changed_former_below_top5,11947,0.0459462889535845,6778.17238713249,0.0473620242556134
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,2,novel,3482,0.0133912260932771,2224.41852618722,0.0155429750343786
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,stable_top1,243930,0.533384354671186,152619.709317395,0.533899095808424
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,changed_former_in_top3,131406,0.287336139506915,82245.9315512744,0.287715319899001
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,changed_former_rank4_5,44699,0.0977401191712677,27773.25213746,0.0971572693341462
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,changed_former_below_top5,10471,0.0228961897993768,6305.84786757757,0.0220593165185738
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,novel,26819,0.0586431968512546,16913.9738452233,0.0591689984398546
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,4,stable_top1,10459,0.101556507131968,6075.08155358686,0.101478394494769
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,4,changed_former_in_top3,26871,0.260916426345073,15387.2992300777,0.257030034528007
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,4,changed_former_rank4_5,38835,0.377086428384165,22413.9372738418,0.374403265008516
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,4,changed_former_below_top5,21769,0.211376193111752,12849.9006493445,0.214645231641849
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,4,novel,5053,0.0490644450270422,3139.54467887159,0.0524430743268589
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,stable_top1,68044,0.388414467074619,41606.0824010692,0.389354057485584
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,changed_former_in_top3,70928,0.4048771577313,42397.6340205628,0.396761480077988
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,changed_former_rank4_5,22249,0.127003607635401,14105.4054773845,0.131999855265342
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,changed_former_below_top5,10088,0.0575851675952142,6311.39852477897,0.0590627255011174
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,novel,3875,0.022119599963467,2438.72914909413,0.0228218816699686
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,6,stable_top1,18484,0.173834535554072,10219.6356200258,0.167735301500921
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,6,changed_former_in_top3,35014,0.329292492311744,20023.6785336344,0.328649462747501
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,6,changed_former_rank4_5,31973,0.300693118657776,18200.562249054,0.298726579874251
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,6,changed_former_below_top5,15852,0.149081641289934,9304.46386249138,0.152714549648051
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,6,novel,5008,0.0470982121864743,3178.82013918685,0.052174106229275
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,7,stable_top1,108919,0.427312637067318,71464.0556052644,0.427455251313489
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,7,changed_former_in_top3,94136,0.369315752099901,61879.3733737377,0.370125413014536
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,7,changed_former_rank4_5,32901,0.12907769142346,21564.4408504177,0.128985591498828
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,7,changed_former_below_top5,8634,0.0338730369213749,5461.84859806659,0.0326695126011124
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,7,novel,10303,0.0404208824879459,6815.16323128128,0.0407642315720351
