original_zone,predicted_zone,n,method,method_label
1,1,11684,mf_var,Plain MF RF
1,2,354,mf_var,Plain MF RF
1,3,442,mf_var,Plain MF RF
1,4,169,mf_var,Plain MF RF
1,5,126,mf_var,Plain MF RF
1,6,8,mf_var,Plain MF RF
1,7,81,mf_var,Plain MF RF
1,10,300,mf_var,Plain MF RF
1,12,5,mf_var,Plain MF RF
1,13,237,mf_var,Plain MF RF
1,14,2,mf_var,Plain MF RF
1,15,1,mf_var,Plain MF RF
1,16,33,mf_var,Plain MF RF
1,17,53,mf_var,Plain MF RF
1,18,217,mf_var,Plain MF RF
1,19,2,mf_var,Plain MF RF
1,20,19,mf_var,Plain MF RF
1,21,98,mf_var,Plain MF RF
1,22,1,mf_var,Plain MF RF
1,24,4,mf_var,Plain MF RF
1,25,198,mf_var,Plain MF RF
1,26,4,mf_var,Plain MF RF
1,27,1,mf_var,Plain MF RF
1,28,34,mf_var,Plain MF RF
1,29,2,mf_var,Plain MF RF
1,30,7,mf_var,Plain MF RF
1,31,130,mf_var,Plain MF RF
1,32,9,mf_var,Plain MF RF
1,33,83,mf_var,Plain MF RF
1,34,2,mf_var,Plain MF RF
1,35,1,mf_var,Plain MF RF
1,36,2,mf_var,Plain MF RF
1,37,7,mf_var,Plain MF RF
1,38,2,mf_var,Plain MF RF
1,39,361,mf_var,Plain MF RF
1,40,35,mf_var,Plain MF RF
1,41,3,mf_var,Plain MF RF
1,42,29,mf_var,Plain MF RF
1,43,2,mf_var,Plain MF RF
1,44,16,mf_var,Plain MF RF
1,45,226,mf_var,Plain MF RF
1,46,78,mf_var,Plain MF RF
1,47,44,mf_var,Plain MF RF
1,48,6,mf_var,Plain MF RF
1,49,4,mf_var,Plain MF RF
1,50,133,mf_var,Plain MF RF
1,52,1,mf_var,Plain MF RF
1,53,2,mf_var,Plain MF RF
1,54,3,mf_var,Plain MF RF
1,55,2,mf_var,Plain MF RF
2,1,2234,mf_var,Plain MF RF
2,2,182550,mf_var,Plain MF RF
2,3,19951,mf_var,Plain MF RF
2,4,13622,mf_var,Plain MF RF
2,5,14196,mf_var,Plain MF RF
2,6,10797,mf_var,Plain MF RF
2,7,2926,mf_var,Plain MF RF
