original_zone,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11684,354,442,169,126,8,81,0,300,0,5,237,2,1,33,53,217,2,19,98,1,0,4,198,4,1,34,2,7,130,9,83,2,1,2,7,2,361,35,3,29,2,16,226,78,44,6,4,133,1,2,3,2
2,2234,182550,19951,13622,14196,10797,2926,9160,881,4896,2124,4003,310,18,4692,470,4987,14,340,15,200,14,113,842,32,1748,198,8,143,331,96,102,161,16,82,53,10,45,30,182,72,1,222,45,69,7,13,10,104,25,601,10,272
3,4922,20634,287525,5681,22624,18973,41796,28691,3175,7205,19323,3825,1304,2094,39,17,1551,40,11,299,565,164,1537,298,349,19993,7590,18,577,18,269,11661,554,11,3982,11398,9,1034,271,18403,4,12,918,88,626,2069,11,126,28,14,9,19,19
4,1127,14646,3667,41596,3185,1985,882,268,9,6101,3540,6619,1931,1388,701,331,104,25,221,185,276,118,7,318,23,1519,3,3,107,14,10,112,7,14,4,3,6,59,2,6,4,5,9,10,10,4,162,4,51,6,6,5,7
5,2678,14337,16753,3939,73754,4507,4331,536,3770,9534,13293,7169,2436,2045,3060,591,584,7,758,1207,689,112,1053,1153,1127,3017,370,68,302,76,68,2554,380,123,1340,375,8,1933,948,2238,206,5,1466,338,2609,1685,10,848,34,11,11,10,7
6,223,11990,4511,2909,1357,50883,464,317,112,2846,4893,176,50,1310,52,25,85,26,12,1618,99,309,1075,718,53,2321,37,53,322,208,10,133,19,25,33,260,17,12,11,18,98,65,16,29,13,239,14,159,16,14,7,14,18
7,983,3344,21701,2081,2452,1332,91866,2667,964,4272,6495,8120,4540,3524,238,3,1054,424,208,768,21,1955,2734,3574,687,5477,2199,146,149,545,1032,15079,548,360,2876,2280,6,1114,993,18338,228,4,1016,120,388,624,1,1322,94,5,1,5,9
9,0,588,3793,24,29,10,172,25239,7,211,256,42,45,3,3,1,5,0,2,1,1,0,1,4,2,26,1,1,1,1,0,0,3,2,4,2,1,0,0,0,2,0,0,1,1,0,4,2,0,2,0,4,3
10,1547,12,744,9,424,8,116,233,76925,19,32,80,19,29,2376,10,6027,12,1787,33,18,20,13,2,189,15,852,15,621,39,7,183,4667,10,1696,27,15,12714,764,14,15,215,198,774,25322,721,15,6325,278,22,26,15,15
11,9,1594,1809,5071,7383,2587,4464,22,13,89229,6169,12423,3330,1355,569,24,148,5,345,2,93,24,409,1549,19,4625,17,6,6,126,27,2718,32,2,5,48,8,2,4,564,23,5,1,24,123,7,5,2,5,8,6,8,5
12,403,1684,22619,7620,9417,7823,12080,5736,15,10933,234228,20953,6263,7332,14,6,12,141,6,7,1314,812,3169,2604,299,10789,14,84,4,2,33,4985,28,4,7,40,9,10,6,2537,7,9,12,44,32,3,12,12,8,7,3,11,11
13,2664,1936,1900,11042,9265,727,12713,68,30,26522,32397,379204,16637,16815,7501,51,6443,262,1998,7,2054,171,8416,34640,7,2431,100,101,48,3866,4359,30990,13,1213,6,217,7,11,17,1132,829,13,8,13,36,15,5,17,11,15,6,9,13
14,0,38,39,331,133,0,439,0,0,755,437,824,26292,611,0,0,0,488,0,0,0,869,481,26,0,705,0,4,0,0,8,182,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,77,114,539,2453,1734,1864,1170,183,136,5220,6894,17174,6793,133460,157,86,120,6911,172,86,88,13042,5514,4714,82,10715,123,3210,120,252,4350,3960,107,289,90,247,1345,73,76,128,512,171,108,87,128,94,76,107,78,109,79,80,94
16,3737,2595,71,1412,5381,152,339,9,12100,127,10,4947,10,549,541483,5462,67345,410,79585,9,23611,201,440,2859,42,7,461,50,52,63094,530,329,489,18,397,2,8,2897,63,6,7387,13454,61,23548,44926,45,47,249,151,2,9,6,4
17,0,53,1,8,13,0,2,3,0,1,1,0,3,1,3,1509,0,1,1,1,2,3,1,2,1,2,0,2,2,0,1,0,1,3,1,3,3,1,1,3,2,0,1,1,0,0,2,0,0,1,0,1,0
18,2010,728,113,153,1063,0,212,0,6612,194,0,2863,0,0,23022,117,47690,2,1362,4,604,12,233,1416,36,0,474,0,16,3004,36,234,505,0,524,10,0,5074,0,5,1297,699,260,2230,9866,9,0,61,214,0,0,0,0
19,75,21,35,46,34,67,202,20,418,27,74,301,4122,18216,3800,26,430,532555,38742,23,3955,35029,19276,875,23,804,128,3354,10,6941,2723,148,18,92,25,46,13165,19,18,26,3024,512,19,1101,620,10,19,11,33,13,32,21,32
20,276,94,35,66,222,29,42,31,2576,32,33,510,37,52,50524,1149,2418,446,225290,38,11466,27,623,1141,27,30,196,32,13,30310,50,74,160,39,25,29,42,214,35,24,35566,207,19,5859,9507,27,108,17,67,25,32,39,35
21,185,69,311,144,685,40,282,134,180,26,28,18,34,17,22,26,24,30,23,381774,24,22,24,30,12649,20,2623,27,62055,23,18,27,621,31,13107,509,28,473,41380,424,27,25,33164,50,96,10180,6327,14044,1182,2125,11794,600,1429
22,2,27,378,23,557,10,2,0,0,1,484,269,0,0,3253,47,98,297,1702,1,30660,36,192,260,1,243,0,0,0,1674,44,0,2,1,1,1,2,1,1,0,1643,8,4,28,1,0,1,2,2,0,1,0,20
23,0,10,0,116,5,59,788,3,3,0,84,1236,6700,17421,85,13,1264,20450,403,2,91,188426,49143,1703,5,546,211,13251,1,1473,7272,1832,1,9800,7,0,3671,2,53,7,558,53,3,12,5,0,0,17,3,14,0,2,2
24,64,50,90,109,577,164,1036,4,9,306,1745,11683,1269,11104,720,4,1369,13066,1870,9,712,64143,539920,50980,11,2482,15,45552,8,5076,33018,12520,2,26986,7,5,5006,5,3,5,12522,989,10,120,5,9,7,7,2,5,6,7,4
25,666,119,4,264,946,3,844,3,5,1298,1208,19154,84,3281,2892,3,1028,70,2438,7,426,1548,16599,153662,2,299,3,1539,1,9049,6935,4138,4,2801,2,16,3,8,2,3,5507,328,5,125,9,2,3,1,8,3,2,3,4
26,19,0,80,3,290,0,145,0,626,0,11,1,2,3,0,0,0,1,0,1672,0,87,2,0,24247,9,272,0,5104,0,0,11,1169,0,2203,0,1,356,774,39,0,1,417,0,123,332,8,2215,17,337,317,0,2
27,26,1610,36025,3726,4263,3705,26184,682,162,14051,5978,4626,6476,21858,36,36,41,1785,50,90,35,4559,4688,375,388,631337,5130,42,142,28,2185,16573,52,27,1670,30554,1736,170,276,17376,27,24,569,61,203,9239,47,68,30,26,29,24,15
28,631,48,1086,0,230,0,491,0,1202,1,0,24,0,52,52,0,720,7,34,626,0,131,29,23,806,1287,22858,0,1766,8,0,373,240,0,2599,3,0,1165,908,262,0,0,3353,235,737,2859,0,424,417,0,1,0,354
29,1,7,6,1,3,2,616,2,3,2,57,55,3,3641,1,3,6,1902,28,6,12,6856,14747,773,1,20,2,130033,3,6,1290,1538,3,1541,0,3,1098,3,17,2,2,3,3,3,3,4,0,11,1,2,7,2,4
30,234,11,5777,172,3210,6,2258,5,3959,51,4,5,8,10,10,7,34,9,8,54682,9,14,5,6,34309,675,10452,15,247803,4,8,495,1377,7,20118,398,7,7671,49778,1899,7,9,47744,350,2448,43864,857,29333,1864,222,2730,1001,618
31,4579,186,4,13,68,254,1169,1,23,30,5,9720,83,334,48728,10,9942,1796,42931,4,21838,706,3860,24167,2,10,2,47,13,593100,1341,1824,0,170,48,2,6,146,3,0,68466,545,2,4572,55,2,15,0,553,2,0,1,0
32,0,0,0,0,0,1,802,1,0,0,6,1609,293,1607,18,0,110,516,94,0,0,2549,5031,2920,0,143,0,849,0,303,40391,1970,0,665,0,0,207,0,0,0,398,1,0,0,0,0,0,0,0,0,0,0,0
33,1402,196,5911,2,2410,1,23272,0,377,3200,2917,22660,628,4242,420,0,502,31,375,3,0,3388,9853,6055,36,3406,477,2995,22,80,4738,258563,12,881,138,3261,0,30,103,24891,0,0,1281,648,21,207,0,73,2,41,0,0,0
34,0,0,51,0,0,0,8,0,399,0,1,0,0,2,1,2,6,2,1,4,2,0,2,2,16,24,3,0,30,1,1,2,4001,0,94,1,2,209,20,1,2,1,8,1,96,1,0,149,7,3,2,0,1
35,0,0,0,0,0,0,1,0,0,0,0,122,83,43,31,0,6,29,0,0,0,570,2142,727,0,0,0,531,0,0,332,264,0,27979,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,0,231,0,11,0,89,23,310,0,37,25,0,0,2,0,0,0,0,287,0,0,0,0,521,2,1011,0,795,0,0,31,366,0,16459,0,0,149,357,153,0,0,952,0,106,317,7,236,35,0,34,0,23
37,241,122,11965,14,428,191,7071,80,842,335,445,1392,570,54,55,3,167,7,11,855,2,2,4,564,90,11258,244,5,568,2,6,5041,104,1,21,140492,2,265,36,7499,1,4,49,23,170,570,1,18,1,6,3,3,3
38,0,0,0,0,0,0,0,0,0,0,0,39,0,225,0,0,0,346,0,0,0,679,294,42,0,415,0,82,0,0,67,0,0,0,1,0,27842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,27,0,0,0,60,0,22,0,3748,0,0,2,0,0,108,0,234,0,11,0,0,78,4,0,12,0,18,0,259,0,0,0,655,0,62,0,0,13718,58,0,0,1,67,85,2435,90,0,59,130,0,0,0,0
40,155,8,858,17,2269,10,1520,5,3376,19,11,19,6,8,3,8,12,5,35,27136,7,10,5,25,7246,118,6901,10,32834,94,7,35,669,4,14912,14,8,2293,132485,1009,7,7,28786,197,2733,30126,548,26406,1447,4124,7237,1238,2639
