original_zone,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11591,357,460,180,137,22,69,0,338,12,4,235,2,4,41,49,193,4,17,97,2,1,2,192,1,0,40,3,10,148,1,90,2,2,1,3,5,401,27,1,12,2,14,249,66,48,3,0,113,2,2,2,6
2,2004,181048,20246,14801,14260,11477,2931,9118,890,4679,1992,4162,323,10,4475,405,4889,5,315,12,256,9,137,905,26,1747,237,12,138,319,109,84,148,13,78,101,11,58,100,176,36,3,249,23,85,6,17,19,102,26,534,7,230
3,4807,20495,289763,5760,21964,18880,41885,26826,3141,7430,18928,3721,1299,2127,50,19,1582,24,11,256,625,172,1452,257,356,20665,7787,30,657,18,326,10911,579,12,3878,11281,18,1036,249,19147,8,11,932,53,622,2133,12,116,13,16,13,7,13
4,1052,13852,3763,42692,2838,2026,955,300,8,6106,3878,6155,1886,1506,724,331,147,29,176,197,321,154,8,176,38,1409,7,3,107,13,16,122,9,12,6,2,4,70,0,6,4,6,5,6,9,8,186,5,45,9,6,7,5
5,2355,14676,17303,4307,73005,4350,4278,505,3930,9763,12642,7012,2509,1927,3405,476,646,7,705,1291,735,114,1034,1138,1206,3036,419,71,336,65,89,2518,358,119,1364,460,6,2118,787,2154,206,13,1528,371,2534,1685,15,827,36,8,3,9,9
6,171,11737,4265,2701,1234,52219,463,280,110,2774,4699,203,65,1216,59,20,83,22,16,1627,142,298,888,956,24,2202,14,61,350,188,14,145,19,11,64,252,21,14,9,15,86,66,6,13,16,243,13,117,31,15,13,15,9
7,806,3282,21970,2464,2456,1316,88973,2725,1036,4551,6930,7873,4270,3489,240,3,1122,392,222,802,28,2055,2818,3928,637,5914,2504,163,201,424,914,14619,418,347,2977,2528,9,1318,786,19298,278,5,1203,59,460,732,4,1279,117,0,5,7,9
9,0,547,3746,26,33,9,134,25365,9,241,232,28,49,1,3,2,4,3,1,0,0,2,1,3,2,20,4,1,0,1,3,0,0,1,11,1,2,1,0,0,1,0,0,2,2,0,2,0,0,0,3,3,1
10,1415,12,701,11,469,9,100,223,76932,21,32,53,17,30,2080,6,6388,12,1873,29,12,15,23,7,162,18,847,18,695,19,13,154,4579,12,1718,26,19,13380,566,10,17,215,287,860,24961,680,12,6152,288,34,29,16,7
11,10,1571,1794,4846,7758,1958,4409,42,37,89346,6692,12116,3252,1295,541,7,196,7,343,7,134,30,395,1560,5,4877,24,3,10,98,30,2759,40,3,9,130,3,16,6,556,17,4,10,20,42,15,5,6,6,5,1,6,5
12,321,1655,22297,7665,9475,8012,12207,5547,11,11014,236715,18677,6046,7207,15,8,15,96,8,9,1450,822,3023,2584,251,10884,24,71,8,11,58,5225,19,16,10,46,13,5,8,2541,12,6,9,32,9,2,6,9,20,9,17,4,9
13,2799,1701,1888,11068,9810,613,13531,71,23,26464,35438,374291,15931,18518,7291,94,6539,277,1583,5,2333,190,8389,35163,14,2601,95,98,57,4406,4199,29964,11,1179,14,328,25,12,14,1074,696,17,10,15,55,6,8,12,9,7,13,13,9
14,2,36,28,294,128,0,416,0,0,754,460,718,26671,597,0,0,0,477,0,0,0,755,499,29,0,602,0,2,0,0,10,181,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,64,121,531,2502,1976,1843,1313,209,127,5384,7193,16315,6345,134831,177,95,118,6352,167,96,93,13219,5578,4609,86,10557,132,3045,98,285,4188,3876,99,277,88,279,1352,104,114,135,465,163,97,80,134,87,71,86,75,99,77,87,97
16,3677,2262,69,1476,5525,165,292,2,12469,145,14,4780,6,655,545670,3344,65732,371,79120,5,23874,166,473,3167,38,8,526,33,42,60890,678,344,410,16,448,14,10,3212,80,5,6733,13660,76,24170,45899,50,21,205,123,2,11,7,8
17,0,42,0,14,18,1,1,1,2,0,2,1,3,0,1,1509,1,2,0,1,1,2,1,0,0,0,4,0,0,2,2,1,0,0,3,3,1,1,0,2,2,0,1,1,1,0,1,1,5,0,3,3,1
18,1913,782,139,113,999,0,206,0,6730,211,0,2831,0,5,23659,117,45866,5,1537,0,507,22,232,1518,53,0,438,0,14,2912,36,220,463,0,527,10,0,5478,0,5,1261,786,262,2358,10526,9,0,43,171,0,0,0,0
19,64,19,93,21,27,64,163,16,428,22,67,306,4052,18210,3544,23,496,532779,39854,19,4043,35732,18378,851,17,779,125,3447,10,6085,2874,118,27,113,17,81,12991,6,13,24,2914,508,18,1106,623,18,30,22,26,29,18,27,19
20,321,81,87,62,223,35,40,32,2726,35,39,480,27,72,52416,519,2664,454,224651,31,11647,39,633,1220,18,31,90,28,14,28955,43,47,99,33,36,37,30,206,46,37,35090,181,80,6492,9572,13,53,21,49,44,34,31,21
21,177,76,356,107,705,25,241,110,158,19,21,18,31,22,25,29,32,32,21,386583,31,27,26,27,12684,11,2752,25,61081,20,27,19,701,28,13316,360,20,487,39520,414,36,33,34545,41,112,9537,5616,13378,1149,2013,10331,575,1480
22,1,33,418,17,510,32,2,0,1,3,419,90,0,0,3363,41,99,518,2160,0,30056,0,188,326,1,244,0,1,1,1748,32,2,1,1,0,0,0,1,0,1,1599,9,1,29,1,0,0,3,0,0,1,2,25
