original_zone,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55
1,11679,349,429,172,131,10,81,0,296,2,8,240,0,2,40,51,217,4,18,94,1,2,1,196,3,2,31,6,7,119,17,85,0,2,1,6,3,360,34,1,38,1,19,224,86,46,3,3,138,1,0,1,3
2,2206,183218,19508,13482,14381,10777,2937,9171,893,4990,2036,4038,300,17,4344,459,5027,12,344,22,210,17,123,962,16,1711,200,14,149,321,100,114,145,11,67,50,11,58,24,187,18,4,224,37,77,7,13,13,97,22,596,13,270
3,4918,20798,287751,5587,22712,18455,42266,28581,3021,7146,19234,3582,1338,2026,41,19,1496,37,11,341,555,151,1510,297,384,20042,7596,13,587,16,300,11791,553,15,4060,11329,10,1098,251,18480,13,17,929,69,666,2081,18,95,39,12,15,10,11
4,1061,14631,3679,42065,3153,1874,910,263,11,5995,3543,6325,1959,1580,718,321,91,32,206,157,282,111,1,299,26,1475,8,5,106,13,3,120,5,16,8,7,5,52,5,5,8,7,3,12,6,3,147,4,62,5,8,8,6
5,2761,14320,16549,3971,73803,4470,4409,519,3806,9422,13422,6903,2528,2075,3037,596,607,12,781,1282,690,113,1054,1167,1110,2996,348,75,272,73,69,2576,365,126,1333,361,11,1977,960,2210,204,10,1475,368,2542,1772,13,849,38,11,7,6,9
6,208,12019,4740,2848,1344,50588,446,336,108,2801,5021,176,50,1254,54,17,95,25,11,1633,106,323,1057,741,47,2358,66,70,313,205,11,139,12,13,14,273,15,25,14,15,116,72,13,9,11,248,28,149,18,10,12,5,12
7,1008,3328,21428,2094,2440,1353,91947,2617,992,4353,6523,7936,4512,3434,233,1,1051,433,219,742,20,1977,2728,3617,731,5630,2091,143,153,533,1051,15244,532,368,2892,2214,10,1129,994,18470,166,4,1039,113,437,648,1,1267,104,2,2,4,8
9,1,657,3768,7,20,13,176,25186,9,229,264,39,48,4,3,1,2,1,1,0,0,2,0,1,3,26,2,3,0,1,3,0,1,2,4,0,1,0,1,0,2,5,0,0,2,1,4,0,2,1,2,1,1
10,1571,5,767,8,443,11,118,226,77104,19,32,72,21,36,2372,7,6119,14,1824,28,8,15,19,6,209,13,872,17,622,44,7,199,4670,14,1642,30,10,12542,766,9,17,204,191,783,25128,753,11,6284,304,27,23,19,9
