method,method_label,original_zone,n_sample,prediction_valid_share,exact_share,reference_dual_valid_share,predicted_valid_but_reference_dual_NA_share,exact_when_reference_dual_valid,original_zone_top3_share,original_zone_top5_share
mf_var,Plain MF RF,1,105,1,0.752380952380952,1,0,0.752380952380952,0.876190476190476,0.885714285714286
mf_var,Plain MF RF,2,2193,0.999088007295942,0.625741670470105,0.996808025535796,0.00227998176014592,0.627172918572736,0.89615736505032,0.93092406221409
mf_var,Plain MF RF,3,4352,0.997931985294118,0.523831452912733,0.997242647058824,0.000689338235294118,0.524193548387097,0.861751152073733,0.936866359447005
mf_var,Plain MF RF,4,686,0.991253644314869,0.432352941176471,0.988338192419825,0.00291545189504373,0.433628318584071,0.845132743362832,0.882005899705015
mf_var,Plain MF RF,5,1491,0.991951710261569,0.374577417173766,0.989939637826962,0.00201207243460765,0.375338753387534,0.755420054200542,0.838075880758808
mf_var,Plain MF RF,6,714,0.983193277310924,0.541310541310541,0.976190476190476,0.00700280112044818,0.54519368723099,0.901004304160689,0.922525107604017
mf_var,Plain MF RF,7,1671,0.998204667863555,0.404676258992806,0.997606223818073,0.000598444045481748,0.404919016196761,0.787042591481704,0.873425314937013
mf_var,Plain MF RF,9,240,1,0.7875,1,0,0.7875,0.983333333333333,0.983333333333333
mf_var,Plain MF RF,10,1278,0.99452269170579,0.54366640440598,0.992957746478873,0.00156494522691706,0.544523246650906,0.837667454688731,0.874704491725768
mf_var,Plain MF RF,11,1164,0.998281786941581,0.598967297762479,0.994845360824742,0.00343642611683849,0.601036269430052,0.849740932642487,0.887737478411054
mf_var,Plain MF RF,12,2931,0.993858751279427,0.624098867147271,0.992835209825998,0.00102354145342886,0.624742268041237,0.858762886597938,0.899656357388316
mf_var,Plain MF RF,13,4808,0.997712146422629,0.608296852199291,0.997504159733777,0.000207986688851913,0.608423686405338,0.869683069224354,0.918473728106756
