dataset,variable,n_sample,n_training_finite,n_raster_finite,n_both_finite,finite_mask_match,value_match_with_tolerance,correlation,mean_absolute_difference,max_absolute_difference
climate_training,AHM,10000,10000,10000,10000,1,1,1,6.36336511261604e-14,5.00222085975111e-12
climate_training,CMD,10000,10000,10000,10000,1,1,1,0,0
climate_training,CMD_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,CMD_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,CMD_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,CMD_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_0,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_0_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_0_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_0_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_0_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_18,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_18_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_18_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_18_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD_18_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD18,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD18_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD18_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD18_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD18_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD5,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD5_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD5_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD5_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,DD5_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,EMT,10000,10000,10000,10000,1,1,1,2.18549248143241e-14,5.32907051820075e-14
climate_training,Eref,10000,10000,10000,10000,1,1,1,0,0
climate_training,Eref_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,Eref_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,Eref_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,Eref_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,EXT,10000,10000,10000,10000,1,1,1,2.46728859565337e-14,5.32907051820075e-14
climate_training,MAP,10000,10000,10000,10000,1,1,1,0,0
climate_training,MAT,10000,10000,10000,10000,1,1,1,1.03793654226969e-14,5.32907051820075e-14
climate_training,MCMT,10000,10000,10000,10000,1,1,1,1.64633695565186e-14,5.32907051820075e-14
climate_training,MWMT,10000,10000,10000,10000,1,1,1,2.3518352543217e-14,5.32907051820075e-14
climate_training,NFFD,10000,10000,10000,10000,1,1,1,0,0
climate_training,NFFD_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,NFFD_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,NFFD_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,NFFD_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,PAS,10000,10000,10000,10000,1,1,1,0,0
climate_training,PAS_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,PAS_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,PAS_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,PAS_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,PPT_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,PPT_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,PPT_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,PPT_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,RH,10000,10000,10000,10000,1,1,1,0,0
climate_training,RH_at,10000,10000,10000,10000,1,1,1,0,0
climate_training,RH_sm,10000,10000,10000,10000,1,1,1,0,0
climate_training,RH_sp,10000,10000,10000,10000,1,1,1,0,0
climate_training,RH_wt,10000,10000,10000,10000,1,1,1,0,0
climate_training,Tave_at,10000,10000,10000,10000,1,1,1,1.06132991284369e-14,5.32907051820075e-14
climate_training,Tave_sm,10000,10000,10000,10000,1,1,1,2.29446503463571e-14,5.32907051820075e-14
climate_training,Tave_sp,10000,10000,10000,10000,1,1,1,1.17797202547898e-14,5.32907051820075e-14
climate_training,Tave_wt,10000,10000,10000,10000,1,1,1,1.46342257756338e-14,5.32907051820075e-14
climate_training,TD,10000,10000,10000,10000,1,1,1,2.67363020611811e-14,5.32907051820075e-14
climate_training,Tmax_at,10000,10000,10000,10000,1,1,1,1.81426179635125e-14,5.32907051820075e-14
climate_training,Tmax_sm,10000,10000,10000,10000,1,1,1,2.69439359712464e-14,5.32907051820075e-14
climate_training,Tmax_sp,10000,10000,10000,10000,1,1,1,1.93118160352057e-14,5.32907051820075e-14
climate_training,Tmax_wt,10000,10000,10000,10000,1,1,1,8.489454972338e-15,5.32907051820075e-14
climate_training,Tmin_at,10000,10000,10000,10000,1,1,1,9.64454349716704e-15,4.61852778244065e-14
