method,method_label,predicted_zone,error_pixels
mf_var,Plain MF RF,30,211921
mf_var,Plain MF RF,40,202476
mf_var,Plain MF RF,20,189150
mf_var,Plain MF RF,3,169800
mf_var,Plain MF RF,13,164951
mf_var,Plain MF RF,16,164243
mf_var,Plain MF RF,44,163366
mf_var,Plain MF RF,7,163027
mf_var,Plain MF RF,24,153666
mf_var,Plain MF RF,47,151902
mf_var,Plain MF RF,25,147414
mf_var,Plain MF RF,31,142723
mf_var,Plain MF RF,42,138702
mf_var,Plain MF RF,23,138349
mf_var,Plain MF RF,33,135128
mf_var,Plain MF RF,21,134520
mf_var,Plain MF RF,49,127905
mf_var,Plain MF RF,15,119395
mf_var,Plain MF RF,36,119032
mf_var,Plain MF RF,18,116601
mf_var,Plain MF RF,46,109838
mf_var,Plain MF RF,12,109384
mf_var,Plain MF RF,5,101425
mf_var,Plain MF RF,41,99243
mf_var,Plain MF RF,11,98354
mf_var,Plain MF RF,27,90976
mf_var,Plain MF RF,26,84746
mf_var,Plain MF RF,10,81956
mf_var,Plain MF RF,28,81745
mf_var,Plain MF RF,2,77471
mf_var,Plain MF RF,29,72317
mf_var,Plain MF RF,32,71120
mf_var,Plain MF RF,22,69587
mf_var,Plain MF RF,14,64145
mf_var,Plain MF RF,4,61391
mf_var,Plain MF RF,39,57196
mf_var,Plain MF RF,37,55663
mf_var,Plain MF RF,6,55448
mf_var,Plain MF RF,45,50688
mf_var,Plain MF RF,19,50339
mf_var,Plain MF RF,9,48960
mf_var,Plain MF RF,53,47156
mf_var,Plain MF RF,35,45220
mf_var,Plain MF RF,1,32784
mf_var,Plain MF RF,52,27875
mf_var,Plain MF RF,38,26503
mf_var,Plain MF RF,43,19295
mf_var,Plain MF RF,34,19266
mf_var,Plain MF RF,55,16495
mf_var,Plain MF RF,50,15029
mf_var,Plain MF RF,54,13803
mf_var,Plain MF RF,48,9013
mf_var,Plain MF RF,17,8659
rf_var,Plain RF,30,212289
rf_var,Plain RF,40,201092
rf_var,Plain RF,20,189580
rf_var,Plain RF,3,168935
rf_var,Plain RF,7,165586
rf_var,Plain RF,16,164447
rf_var,Plain RF,44,164364
rf_var,Plain RF,13,158759
rf_var,Plain RF,24,154201
rf_var,Plain RF,47,153485
rf_var,Plain RF,25,150102
rf_var,Plain RF,31,142243
rf_var,Plain RF,23,137981
rf_var,Plain RF,33,135433
rf_var,Plain RF,42,135401
rf_var,Plain RF,21,135144
rf_var,Plain RF,49,127234
rf_var,Plain RF,15,122159
rf_var,Plain RF,36,119876
rf_var,Plain RF,18,118073
rf_var,Plain RF,12,110141
rf_var,Plain RF,46,109011
rf_var,Plain RF,5,101128
rf_var,Plain RF,41,99662
rf_var,Plain RF,11,96702
rf_var,Plain RF,27,91976
rf_var,Plain RF,26,84550
rf_var,Plain RF,10,82443
rf_var,Plain RF,28,80991
rf_var,Plain RF,2,77708
rf_var,Plain RF,29,72393
rf_var,Plain RF,32,71847
rf_var,Plain RF,22,68528
rf_var,Plain RF,14,64776
rf_var,Plain RF,4,61051
rf_var,Plain RF,39,56933
rf_var,Plain RF,37,55326
rf_var,Plain RF,6,54538
rf_var,Plain RF,19,50392
rf_var,Plain RF,45,49606
rf_var,Plain RF,9,48715
rf_var,Plain RF,53,46907
rf_var,Plain RF,35,45022
rf_var,Plain RF,1,32761
rf_var,Plain RF,52,27674
rf_var,Plain RF,38,26789
rf_var,Plain RF,34,19167
rf_var,Plain RF,43,18791
rf_var,Plain RF,55,16463
rf_var,Plain RF,50,14965
rf_var,Plain RF,54,13685
rf_var,Plain RF,48,8774
rf_var,Plain RF,17,8692
