method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
plain_rf,single RF,original,1,15263,43041,11591,12347113,31450,3672,0.997166169671899,0.878438759123908,0.75941820087794,0.997459317369876,0.269301363815897,0.39760565312843,0.756877518247816
plain_rf,single RF,original,2,284043,256764,181048,12034067,75716,102995,0.985580643136349,0.81557199253605,0.637396450537419,0.993747534534682,0.705114424140456,0.669547546536935,0.6311439850721
plain_rf,single RF,original,3,552373,459860,289763,11671356,170097,262610,0.965086890843877,0.755106981265982,0.524578500397376,0.985635462134588,0.630111338233375,0.572522334284695,0.510213962531964
plain_rf,single RF,original,4,91405,105372,42692,12239741,62680,48713,0.991012218502987,0.730984616426223,0.467064164980034,0.994905067872413,0.405155069657974,0.433912499936476,0.461969232852447
plain_rf,single RF,original,5,190463,174495,73005,12101873,101490,117458,0.982334107320855,0.687493116883459,0.383302793718465,0.991683440048452,0.418378750107453,0.400073433107371,0.374986233766917
plain_rf,single RF,original,6,90294,107995,52219,12247756,55776,38075,0.992427600645676,0.786894296886335,0.578321926152347,0.995466667620322,0.483531644983564,0.526695883281473,0.573788593772669
plain_rf,single RF,original,7,220966,254182,88973,12007651,165209,131993,0.976020157133076,0.694541396901397,0.402654707059005,0.986428086743789,0.350036587956661,0.374506469563168,0.389082793802794
plain_rf,single RF,original,9,30500,72266,25365,12316425,46901,5135,0.995801457919451,0.913922892898763,0.831639344262295,0.996206441535231,0.350994935377633,0.493645758324738,0.827845785797526
plain_rf,single RF,original,10,146264,161078,76932,12163416,84146,69332,0.987616576188822,0.759554995194225,0.525980418968441,0.99312957142001,0.477607122015421,0.500627964938082,0.519109990388451
plain_rf,single RF,original,11,147057,186561,89346,12149554,97215,57711,0.987499743824062,0.799811160844806,0.607560333748138,0.992061987941473,0.478910383199061,0.535618581731202,0.599622321689611
plain_rf,single RF,original,12,374213,348855,236715,11907473,112140,137498,0.979857874396494,0.81161889856466,0.632567548428302,0.990670248701019,0.678548394031904,0.654751696935835,0.62323779712932
plain_rf,single RF,original,13,618971,530768,374291,11618378,156477,244680,0.967632513156147,0.795704842667938,0.60469876617806,0.986710919157816,0.705187577246556,0.651088638377928,0.591409685335876
plain_rf,single RF,original,14,32665,88593,26671,12299239,61922,5994,0.994520174803164,0.905745720936341,0.816500841879688,0.994990599992994,0.301050873093811,0.439904995959029,0.811491441872682
plain_rf,single RF,original,15,235591,255336,134831,12037730,120505,100760,0.982147159400172,0.781199124518686,0.572309638313858,0.990088610723514,0.528053231820033,0.549291442515893,0.562398249037371
plain_rf,single RF,original,16,911178,711637,545670,11316681,165967,365508,0.957117761698446,0.792204205246092,0.598862132316627,0.985546278175557,0.766781378708527,0.672498097441791,0.584408410492184
plain_rf,single RF,original,17,1641,7237,1509,12386457,5728,132,0.999527183938196,0.95954950817292,0.919561243144424,0.999537773201417,0.208511814287688,0.339941428249606,0.919099016345841
plain_rf,single RF,original,18,112964,162932,45866,12163796,117066,67098,0.9851406660058,0.698245382530721,0.406023157820191,0.990467607241251,0.28150394029411,0.332487604024705,0.396490765061441
plain_rf,single RF,original,19,691356,582276,532779,11652973,49497,158577,0.983211479651239,0.883199702399265,0.770629024699287,0.995770380099244,0.914993920408878,0.836629418858823,0.766399404798531
plain_rf,single RF,original,20,379965,417936,224651,11820576,193285,155314,0.971873172981451,0.787576399382635,0.591241298540655,0.983911500224616,0.537524884192795,0.563104946603651,0.575152798765271
plain_rf,single RF,original,21,599210,525199,386583,11656000,138616,212627,0.971659840956296,0.816700986200548,0.645154453363595,0.9882475190375,0.736069566012121,0.687619896318866,0.633401972401095
plain_rf,single RF,original,22,41980,102103,30056,12279799,72047,11924,0.993224771753291,0.855063543812587,0.715959980943306,0.994167106681868,0.294369411280766,0.417203972710174,0.710127087625174
plain_rf,single RF,original,23,326806,331482,193970,11929508,137512,132836,0.978186881113225,0.79106843303416,0.593532554481864,0.988604311586456,0.585159978520704,0.589316530150937,0.58213686606832
plain_rf,single RF,original,24,845397,692032,542630,11399027,149402,302767,0.963516592858412,0.814463560263604,0.641864118278158,0.987063002249051,0.784111139369278,0.705892759925824,0.628927120527209
plain_rf,single RF,original,25,237357,307102,155190,12004557,151912,82167,0.981113257520317,0.820664429366571,0.653825250571923,0.987503608161219,0.505336989013422,0.570070473626113,0.641328858733142
plain_rf,single RF,original,26,40896,108064,23802,12268668,84262,17094,0.991822057208162,0.787595847551368,0.582012910798122,0.993178784304614,0.220258365413089,0.319575725026853,0.575191695102737
