original_zone,predicted_zone,n,method,original_category,predicted_category
1,1,11679,rf_var,cropland,cropland
1,2,349,rf_var,cropland,forest
1,3,429,rf_var,cropland,forest
1,4,172,rf_var,cropland,wetland
1,5,131,rf_var,cropland,grassland_meadow_steppe
1,6,10,rf_var,cropland,wetland
1,7,81,rf_var,cropland,scrub
1,10,296,rf_var,cropland,forest
1,11,2,rf_var,cropland,grassland_meadow_steppe
1,12,8,rf_var,cropland,cropland
1,13,240,rf_var,cropland,grassland_meadow_steppe
1,15,2,rf_var,cropland,grassland_meadow_steppe
1,16,40,rf_var,cropland,grassland_meadow_steppe
1,17,51,rf_var,cropland,alpine_vegetation
1,18,217,rf_var,cropland,scrub
1,19,4,rf_var,cropland,no_vegetation
1,20,18,rf_var,cropland,alpine_vegetation
1,21,94,rf_var,cropland,cropland
1,22,1,rf_var,cropland,alpine_vegetation
1,23,2,rf_var,cropland,desert
1,24,1,rf_var,cropland,desert
1,25,196,rf_var,cropland,desert
1,26,3,rf_var,cropland,forest
1,27,2,rf_var,cropland,cropland
1,28,31,rf_var,cropland,forest
1,29,6,rf_var,cropland,desert
1,30,7,rf_var,cropland,forest
1,31,119,rf_var,cropland,grassland_meadow_steppe
1,32,17,rf_var,cropland,desert
1,33,85,rf_var,cropland,cropland
1,35,2,rf_var,cropland,desert
1,36,1,rf_var,cropland,forest
1,37,6,rf_var,cropland,forest
1,38,3,rf_var,cropland,desert
1,39,360,rf_var,cropland,forest
1,40,34,rf_var,cropland,grassland_meadow_steppe
1,41,1,rf_var,cropland,grassland_meadow_steppe
1,42,38,rf_var,cropland,desert
1,43,1,rf_var,cropland,wetland
1,44,19,rf_var,cropland,scrub
1,45,224,rf_var,cropland,scrub
1,46,86,rf_var,cropland,scrub
1,47,46,rf_var,cropland,cropland
1,48,3,rf_var,cropland,wetland
1,49,3,rf_var,cropland,forest
1,50,138,rf_var,cropland,scrub
1,52,1,rf_var,cropland,forest
1,54,1,rf_var,cropland,wetland
1,55,3,rf_var,cropland,forest
2,1,2206,rf_var,forest,cropland
2,2,183218,rf_var,forest,forest
2,3,19508,rf_var,forest,forest
2,4,13482,rf_var,forest,wetland
2,5,14381,rf_var,forest,grassland_meadow_steppe
2,6,10777,rf_var,forest,wetland
2,7,2937,rf_var,forest,scrub
2,9,9171,rf_var,forest,forest
2,10,893,rf_var,forest,forest
2,11,4990,rf_var,forest,grassland_meadow_steppe
2,12,2036,rf_var,forest,cropland
2,13,4038,rf_var,forest,grassland_meadow_steppe
2,14,300,rf_var,forest,forest
2,15,17,rf_var,forest,grassland_meadow_steppe
2,16,4344,rf_var,forest,grassland_meadow_steppe
2,17,459,rf_var,forest,alpine_vegetation
2,18,5027,rf_var,forest,scrub
2,19,12,rf_var,forest,no_vegetation
2,20,344,rf_var,forest,alpine_vegetation
2,21,22,rf_var,forest,cropland
2,22,210,rf_var,forest,alpine_vegetation
2,23,17,rf_var,forest,desert
2,24,123,rf_var,forest,desert
2,25,962,rf_var,forest,desert
2,26,16,rf_var,forest,forest
2,27,1711,rf_var,forest,cropland
2,28,200,rf_var,forest,forest
2,29,14,rf_var,forest,desert
2,30,149,rf_var,forest,forest
2,31,321,rf_var,forest,grassland_meadow_steppe
2,32,100,rf_var,forest,desert
2,33,114,rf_var,forest,cropland
2,34,145,rf_var,forest,forest
2,35,11,rf_var,forest,desert
2,36,67,rf_var,forest,forest
2,37,50,rf_var,forest,forest
2,38,11,rf_var,forest,desert
2,39,58,rf_var,forest,forest
2,40,24,rf_var,forest,grassland_meadow_steppe
2,41,187,rf_var,forest,grassland_meadow_steppe
2,42,18,rf_var,forest,desert
2,43,4,rf_var,forest,wetland
2,44,224,rf_var,forest,scrub
2,45,37,rf_var,forest,scrub
2,46,77,rf_var,forest,scrub
2,47,7,rf_var,forest,cropland
2,48,13,rf_var,forest,wetland
2,49,13,rf_var,forest,forest
2,50,97,rf_var,forest,scrub
2,52,22,rf_var,forest,forest
2,53,596,rf_var,forest,cropland
2,54,13,rf_var,forest,wetland
2,55,270,rf_var,forest,forest
3,1,4918,rf_var,forest,cropland
3,2,20798,rf_var,forest,forest
3,3,287751,rf_var,forest,forest
3,4,5587,rf_var,forest,wetland
3,5,22712,rf_var,forest,grassland_meadow_steppe
3,6,18455,rf_var,forest,wetland
3,7,42266,rf_var,forest,scrub
3,9,28581,rf_var,forest,forest
3,10,3021,rf_var,forest,forest
3,11,7146,rf_var,forest,grassland_meadow_steppe
3,12,19234,rf_var,forest,cropland
3,13,3582,rf_var,forest,grassland_meadow_steppe
3,14,1338,rf_var,forest,forest
3,15,2026,rf_var,forest,grassland_meadow_steppe
3,16,41,rf_var,forest,grassland_meadow_steppe
3,17,19,rf_var,forest,alpine_vegetation
3,18,1496,rf_var,forest,scrub
3,19,37,rf_var,forest,no_vegetation
3,20,11,rf_var,forest,alpine_vegetation
3,21,341,rf_var,forest,cropland
3,22,555,rf_var,forest,alpine_vegetation
