method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
rf_var,1,15263,44440,11679,12345802,32761,3584,0.997067491507465,0.88126859311618,0.765183777763218,0.997353408469141,0.262803780378038,0.391236621275313,0.76253718623236
rf_var,2,284043,260926,183218,12032075,77708,100825,0.985595005125939,0.819309589163151,0.645036138894463,0.993583039431838,0.702183760913056,0.672397879512413,0.638619178326301
rf_var,3,552373,456686,287751,11672518,168935,264622,0.965018308309315,0.753334813074672,0.520936034165319,0.985733591984024,0.630085003700573,0.57033533222537,0.506669626149344
rf_var,4,91405,103116,42065,12241370,61051,49340,0.991093065208435,0.727621032414184,0.460204583994311,0.995037480834057,0.407938632220024,0.432498290672987,0.455242064828368
rf_var,5,190463,174931,73803,12102235,101128,116660,0.982427702309198,0.689602843931997,0.387492583861432,0.991713104002561,0.421897776837725,0.403963940294586,0.379205687863993
rf_var,6,90294,105126,50588,12248994,54538,39706,0.992395891309108,0.777912999783856,0.560258710434802,0.995567289132909,0.481213020565797,0.517736158018627,0.555825999567711
rf_var,7,220966,257533,91947,12007274,165586,129019,0.976229696947496,0.701255453734849,0.416113791262004,0.986397116207695,0.357029972857847,0.38431428278847,0.402510907469699
rf_var,9,30500,73901,25186,12314611,48715,5314,0.995640652047237,0.910915104533532,0.825770491803279,0.996059717263785,0.340807296247683,0.482485799944445,0.821830209067064
rf_var,10,146264,159547,77104,12165119,82443,69160,0.987767861191532,0.76021249713798,0.527156374774381,0.993268619501579,0.483268253241992,0.504259166609442,0.52042499427596
rf_var,11,147057,185431,88729,12150067,96702,58328,0.987491352549245,0.797734279131439,0.603364681722053,0.992103876540825,0.478501437192271,0.533727533023748,0.595468558262878
rf_var,12,374213,345214,235073,11909472,110141,139140,0.97988667906101,0.809508116642969,0.628179673073891,0.990836560212047,0.68094862896638,0.653500633142765,0.619016233285938
rf_var,13,618971,534368,375609,11616096,158759,243362,0.967554732493421,0.796672611497312,0.606828106647969,0.986517116346656,0.702903242709144,0.6513418864705,0.593345222994625
rf_var,14,32665,91112,26336,12296385,64776,6329,0.994262869270555,0.900502466062129,0.806245216592683,0.994759715531575,0.289050838528405,0.425539478255249,0.801004932124259
rf_var,15,235591,256508,134349,12036076,122159,101242,0.981974815525085,0.780108145496206,0.570263719751603,0.989952571240809,0.523761442138257,0.54602427560308,0.560216290992413
rf_var,16,911178,707531,543084,11318201,164447,368094,0.957031751131571,0.790851349906896,0.596024047990623,0.985678651823168,0.767576261676167,0.671008810107314,0.581702699813791
