zone,method,binary_f1,multiclass_f1,area_km2,method_label,zone_chr
1,rf_var,0.393273572824695,0.33198303160662,9762.48864593947,Plain RF,1
2,rf_var,0.673154340209483,0.67354693113083,160335.840232647,Plain RF,2
3,rf_var,0.570599989284843,0.503734533927331,345904.264996547,Plain RF,3
4,rf_var,0.433620969780121,0.502292811286631,53482.0093491042,Plain RF,4
5,rf_var,0.404531046056312,0.464342351548911,118048.393013657,Plain RF,5
6,rf_var,0.520027148483695,0.55504815373601,53583.994126283,Plain RF,6
7,rf_var,0.384510153367303,0.412533515069451,145723.607727903,Plain RF,7
9,rf_var,0.484337882416304,0.385568598775185,18681.3387065463,Plain RF,9
10,rf_var,0.505555919973762,0.512620701338303,109739.960164066,Plain RF,10
11,rf_var,0.534417151482467,0.575541125541125,88744.7461983382,Plain RF,11
12,rf_var,0.654098534011599,0.674787451178727,231554.213781713,Plain RF,12
13,rf_var,0.651727375434078,0.644214278935943,392778.754746233,Plain RF,13
14,rf_var,0.426621740926431,0.382792730618818,20908.5541959762,Plain RF,14
15,rf_var,0.550500264592589,0.586968787476375,155782.486712609,Plain RF,15
16,rf_var,0.671280263984954,0.572174861993948,653919.837866197,Plain RF,16
17,rf_var,0.262493424513414,0.288419117647059,1166.83977455947,Plain RF,17
18,rf_var,0.342931448194606,0.356095204390592,80420.5115528885,Plain RF,18
19,rf_var,0.836113513088594,0.843738850947347,535460.455323413,Plain RF,19
20,rf_var,0.569189251841922,0.563919883533526,290572.043152328,Plain RF,20
21,rf_var,0.685519737172452,0.675891947697597,460573.91798181,Plain RF,21
22,rf_var,0.43330322406276,0.358425050232518,29216.0608445185,Plain RF,22
23,rf_var,0.575731786419111,0.595137096664588,215639.769601697,Plain RF,23
24,rf_var,0.702012534244395,0.643343676268322,547719.084772723,Plain RF,24
25,rf_var,0.568223061227888,0.594951956932733,157239.724775428,Plain RF,25
26,rf_var,0.324897762487701,0.262761629814317,30951.3022898633,Plain RF,26
27,rf_var,0.801112800554379,0.792258009996692,581987.788488805,Plain RF,27
28,rf_var,0.302604686693783,0.311259066689158,34056.2147908729,Plain RF,28
29,rf_var,0.710089504327817,0.702359298289805,102358.514043218,Plain RF,29
30,rf_var,0.479417134689224,0.43029748830948,440947.400872453,Plain RF,30
31,rf_var,0.752820234396902,0.71194192048782,602782.267595032,Plain RF,31
32,rf_var,0.469331818998337,0.445490045171701,41176.9538326962,Plain RF,32
33,rf_var,0.660933836454881,0.674650666365181,264431.973201361,Plain RF,33
34,rf_var,0.283806104129264,0.254831563669697,3904.5141748997,Plain RF,34
35,rf_var,0.530619210603662,0.393257652213704,21673.0911747923,Plain RF,35
36,rf_var,0.206792557587841,0.196178100323608,16932.3871491317,Plain RF,36
37,rf_var,0.724599303856717,0.73621139888669,135761.296395213,Plain RF,37
38,rf_var,0.660739931870245,0.546616076291763,19641.7789199388,Plain RF,38
39,rf_var,0.295922464971402,0.296032070686411,16428.3011178075,Plain RF,39
40,rf_var,0.391221018803806,0.415430420790872,262130.658259238,Plain RF,40
41,rf_var,0.400440071721613,0.410928250671158,62655.3585233834,Plain RF,41
42,rf_var,0.582971870670085,0.552386010480936,108908.531014594,Plain RF,42
43,rf_var,0.339814846680662,0.248891633764916,4041.58735428002,Plain RF,43
44,rf_var,0.421146935953492,0.397392198555603,441250.860529288,Plain RF,44
45,rf_var,0.299525919017642,0.200401533126483,12167.9589990281,Plain RF,45
46,rf_var,0.424688547153672,0.436132480850964,101463.317627609,Plain RF,46
47,rf_var,0.570014002659518,0.597885103062618,269180.349462283,Plain RF,47
48,rf_var,0.256534533494894,0.186868099941894,1797.64026241183,Plain RF,48
49,rf_var,0.395121909936443,0.429559658967206,121050.734801791,Plain RF,49
50,rf_var,0.208872850774782,0.189400668273908,1954.02259297092,Plain RF,50
52,rf_var,0.575860711071107,0.572904676499719,18691.6856141285,Plain RF,52
53,rf_var,0.622204178507854,0.577851204434023,53783.411818324,Plain RF,53
54,rf_var,0.605917026257156,0.584466322862947,9405.78073086598,Plain RF,54
55,rf_var,0.389842632331903,0.311470890453873,5167.1571874639,Plain RF,55
1,mf_var,0.393309527017922,0.33198303160662,9762.48864593947,Plain MF RF,1
2,mf_var,0.671824766983248,0.67354693113083,160335.840232647,Plain MF RF,2
3,mf_var,0.569790004828729,0.503734533927331,345904.264996547,Plain MF RF,3
4,mf_var,0.429131826158769,0.502292811286631,53482.0093491042,Plain MF RF,4
5,mf_var,0.40399633906405,0.464342351548911,118048.393013657,Plain MF RF,5
6,mf_var,0.519938681655595,0.55504815373601,53583.994126283,Plain MF RF,6
7,mf_var,0.386337055205432,0.412533515069451,145723.607727903,Plain MF RF,7
9,mf_var,0.484095618141355,0.385568598775185,18681.3387065463,Plain MF RF,9
10,mf_var,0.505477601490933,0.512620701338303,109739.960164066,Plain MF RF,10
11,mf_var,0.53403028506763,0.575541125541125,88744.7461983382,Plain MF RF,11
12,mf_var,0.653228573102058,0.674787451178727,231554.213781713,Plain MF RF,12
13,mf_var,0.65243690479878,0.644214278935943,392778.754746233,Plain MF RF,13
14,mf_var,0.428351485430803,0.382792730618818,20908.5541959762,Plain MF RF,14
15,mf_var,0.550990842789859,0.586968787476375,155782.486712609,Plain MF RF,15
16,mf_var,0.670042940761549,0.572174861993948,653919.837866197,Plain MF RF,16
17,mf_var,0.263333920084492,0.288419117647059,1166.83977455947,Plain MF RF,17
18,mf_var,0.344522425744184,0.356095204390592,80420.5115528885,Plain MF RF,18
19,mf_var,0.836665770892364,0.843738850947347,535460.455323413,Plain MF RF,19
20,mf_var,0.568328152753108,0.563919883533526,290572.043152328,Plain MF RF,20
21,mf_var,0.68525877103617,0.675891947697597,460573.91798181,Plain MF RF,21
22,mf_var,0.432293722858271,0.358425050232518,29216.0608445185,Plain MF RF,22
23,mf_var,0.576901115218872,0.595137096664588,215639.769601697,Plain MF RF,23
24,mf_var,0.701868389113274,0.643343676268322,547719.084772723,Plain MF RF,24
25,mf_var,0.571192757758549,0.594951956932733,157239.724775428,Plain MF RF,25
26,mf_var,0.324244450387804,0.262761629814317,30951.3022898633,Plain MF RF,26
27,mf_var,0.798988416968849,0.792258009996692,581987.788488805,Plain MF RF,27
28,mf_var,0.304183217890626,0.311259066689158,34056.2147908729,Plain MF RF,28
29,mf_var,0.710116593397592,0.702359298289805,102358.514043218,Plain MF RF,29
30,mf_var,0.478461027475032,0.43029748830948,440947.400872453,Plain MF RF,30
31,mf_var,0.752264590699371,0.71194192048782,602782.267595032,Plain MF RF,31
32,mf_var,0.470349172338704,0.445490045171701,41176.9538326962,Plain MF RF,32
33,mf_var,0.660344783552548,0.674650666365181,264431.973201361,Plain MF RF,33
34,mf_var,0.285734690233887,0.254831563669697,3904.5141748997,Plain MF RF,34
35,mf_var,0.529669559949644,0.393257652213704,21673.0911747923,Plain MF RF,35
36,mf_var,0.208652109149685,0.196178100323608,16932.3871491317,Plain MF RF,36
37,mf_var,0.724779572182849,0.73621139888669,135761.296395213,Plain MF RF,37
38,mf_var,0.662904761904762,0.546616076291763,19641.7789199388,Plain MF RF,38
39,mf_var,0.296534878191133,0.296032070686411,16428.3011178075,Plain MF RF,39
40,mf_var,0.393021730679636,0.415430420790872,262130.658259238,Plain MF RF,40
41,mf_var,0.402692289916937,0.410928250671158,62655.3585233834,Plain MF RF,41
42,mf_var,0.581237347290718,0.552386010480936,108908.531014594,Plain MF RF,42
43,mf_var,0.335898993990953,0.248891633764916,4041.58735428002,Plain MF RF,43
44,mf_var,0.422323826929386,0.397392198555603,441250.860529288,Plain MF RF,44
45,mf_var,0.296646318101709,0.200401533126483,12167.9589990281,Plain MF RF,45
46,mf_var,0.424648006948518,0.436132480850964,101463.317627609,Plain MF RF,46
47,mf_var,0.570157571642762,0.597885103062618,269180.349462283,Plain MF RF,47
48,mf_var,0.249830278343517,0.186868099941894,1797.64026241183,Plain MF RF,48
49,mf_var,0.395726890094308,0.429559658967206,121050.734801791,Plain MF RF,49
50,mf_var,0.206728734659331,0.189400668273908,1954.02259297092,Plain MF RF,50
52,mf_var,0.573252518449926,0.572904676499719,18691.6856141285,Plain MF RF,52
53,mf_var,0.620541646650737,0.577851204434023,53783.411818324,Plain MF RF,53
54,mf_var,0.603488045007032,0.584466322862947,9405.78073086598,Plain MF RF,54
55,mf_var,0.387286343928047,0.311470890453873,5167.1571874639,Plain MF RF,55
