from,to,count,from_chr,to_chr,flow_label
16,20,79731,16,20,Zone 16 -> Zone 20
16,18,68118,16,18,Zone 16 -> Zone 18
31,42,67454,31,42,Zone 31 -> Zone 42
44,30,67443,44,30,Zone 44 -> Zone 30
24,23,63855,24,23,Zone 24 -> Zone 23
16,31,62752,16,31,Zone 16 -> Zone 31
21,30,62467,21,30,Zone 21 -> Zone 30
30,21,54423,30,21,Zone 30 -> Zone 21
44,40,53725,44,40,Zone 44 -> Zone 40
24,25,51551,24,25,Zone 24 -> Zone 25
20,16,51083,20,16,Zone 20 -> Zone 16
30,40,49411,30,40,Zone 30 -> Zone 40
23,24,49216,23,24,Zone 23 -> Zone 24
31,16,48586,31,16,Zone 31 -> Zone 16
30,44,47851,30,44,Zone 30 -> Zone 44
24,29,45922,24,29,Zone 24 -> Zone 29
16,46,44612,16,46,Zone 16 -> Zone 46
30,47,44390,30,47,Zone 30 -> Zone 47
31,20,43131,31,20,Zone 31 -> Zone 20
44,47,42801,44,47,Zone 44 -> Zone 47
