stage1,stage2,stage3,stage4,area_km2,family
1,1,1,1,2361.00790365582,SSP245
2,1,1,1,243.259411732992,SSP245
3,1,1,1,24.7723503306117,SSP245
4,1,1,1,1.49491987963581,SSP245
5,1,1,1,81.4402839798593,SSP245
7,1,1,1,7.704370769557,SSP245
10,1,1,1,196.07212716215,SSP245
11,1,1,1,0.720361330005646,SSP245
13,1,1,1,183.7434402431,SSP245
16,1,1,1,1754.62063642253,SSP245
18,1,1,1,2959.04852067441,SSP245
20,1,1,1,1.48737194344234,SSP245
22,1,1,1,167.010894958893,SSP245
23,1,1,1,18.9813020198007,SSP245
25,1,1,1,7.95373765340853,SSP245
28,1,1,1,90.525594335071,SSP245
31,1,1,1,52.1457450963697,SSP245
32,1,1,1,2.94360256527805,SSP245
33,1,1,1,1.49843967613506,SSP245
34,1,1,1,11.3502681121883,SSP245
39,1,1,1,45.9363421340046,SSP245
43,1,1,1,933.641063432867,SSP245
44,1,1,1,12.6613208589373,SSP245
45,1,1,1,82.5915311878372,SSP245
46,1,1,1,327.589579955165,SSP245
49,1,1,1,0.755660547850132,SSP245
1,2,1,1,19.2998076264892,SSP245
2,2,1,1,49.1482588880081,SSP245
13,2,1,1,0.675824526209354,SSP245
16,2,1,1,65.5728078450489,SSP245
18,2,1,1,663.571130916987,SSP245
28,2,1,1,6.86444808137894,SSP245
46,2,1,1,4.75855369677162,SSP245
2,3,1,1,1.37430538598347,SSP245
3,3,1,1,2.75390401514626,SSP245
18,3,1,1,13.088857989223,SSP245
28,3,1,1,0.689392626133442,SSP245
5,5,1,1,0.757954887363911,SSP245
10,5,1,1,1.51824166231394,SSP245
16,5,1,1,23.0357798575769,SSP245
1,7,1,1,4.18807435224676,SSP245
7,7,1,1,5.58264596711016,SSP245
1,10,1,1,2.99205090756273,SSP245
5,10,1,1,0.706745524899483,SSP245
10,10,1,1,119.592099438061,SSP245
16,10,1,1,2.16032074149227,SSP245
18,10,1,1,70.7150907237969,SSP245
28,10,1,1,15.6792093629093,SSP245
33,10,1,1,2.2421907196002,SSP245
39,10,1,1,3.01560708540916,SSP245
45,10,1,1,30.9285448880963,SSP245
46,10,1,1,9.45653569519663,SSP245
1,13,1,1,272.877941196411,SSP245
2,13,1,1,11.5278072990804,SSP245
7,13,1,1,0.698143390336514,SSP245
13,13,1,1,746.515621974127,SSP245
16,13,1,1,6.14123604798412,SSP245
18,13,1,1,481.038624650557,SSP245
25,13,1,1,54.17608373661,SSP245
32,13,1,1,1.38787950524616,SSP245
16,16,1,1,1766.53512610658,SSP245
18,16,1,1,187.144787795525,SSP245
22,16,1,1,1.32558352645111,SSP245
31,16,1,1,23.552918122735,SSP245
45,16,1,1,18.7791716502161,SSP245
46,16,1,1,26.0513616370907,SSP245
1,18,1,1,76.6558142721748,SSP245
2,18,1,1,135.86712874627,SSP245
3,18,1,1,25.4665901070757,SSP245
10,18,1,1,10.9169866077223,SSP245
13,18,1,1,72.4404962716656,SSP245
16,18,1,1,834.559940874043,SSP245
18,18,1,1,2880.2962781825,SSP245
22,18,1,1,3.30573975902414,SSP245
28,18,1,1,6.8656940729866,SSP245
31,18,1,1,0.668319234609127,SSP245
33,18,1,1,1.49796402887917,SSP245
39,18,1,1,1.48572545137358,SSP245
44,18,1,1,1.48828417172718,SSP245
45,18,1,1,46.2702101102505,SSP245
46,18,1,1,12.6120214720621,SSP245
16,20,1,1,9.72045918693304,SSP245
19,20,1,1,0.757154772926331,SSP245
20,20,1,1,11.1697196274562,SSP245
31,20,1,1,4.521487567945,SSP245
1,22,1,1,9.66453965320253,SSP245
22,22,1,1,69.2173392655011,SSP245
13,25,1,1,23.5918413409319,SSP245
16,25,1,1,0.629257545734406,SSP245
25,25,1,1,33.0680851192203,SSP245
31,25,1,1,5.87243877259779,SSP245
32,25,1,1,0.693831300513268,SSP245
1,28,1,1,2.96691788180828,SSP245
18,28,1,1,1.36481618154001,SSP245
28,28,1,1,4.46272414506388,SSP245
39,28,1,1,1.48688470349503,SSP245
16,31,1,1,8.45942172993803,SSP245
18,31,1,1,9.12670296076345,SSP245
20,31,1,1,0.757498062368393,SSP245
25,31,1,1,5.83494687729931,SSP245
31,31,1,1,223.710706696038,SSP245
45,31,1,1,1.51413771755028,SSP245
46,31,1,1,3.49983448987293,SSP245
25,32,1,1,2.77423988042259,SSP245
32,32,1,1,9.71139577638101,SSP245
13,33,1,1,10.4113605942917,SSP245
25,33,1,1,136.155304843857,SSP245
32,33,1,1,0.693686643339634,SSP245
33,33,1,1,11.2208276024117,SSP245
10,34,1,1,9.82568363737678,SSP245
39,34,1,1,1.513277506814,SSP245
1,39,1,1,6.77613702260161,SSP245
10,39,1,1,22.5929785142393,SSP245
28,39,1,1,0.74368597958374,SSP245
39,39,1,1,33.7876919107847,SSP245
46,39,1,1,3.02200637697887,SSP245
7,43,1,1,3.54862052901697,SSP245
43,43,1,1,22.7118486863546,SSP245
1,44,1,1,10.4178033585443,SSP245
10,44,1,1,1.4545302199564,SSP245
18,44,1,1,7.49219676690197,SSP245
44,44,1,1,11.1741145970693,SSP245
16,45,1,1,11.2465066788635,SSP245
18,45,1,1,22.4596162961316,SSP245
31,45,1,1,8.21527014493227,SSP245
45,45,1,1,53.3785497530475,SSP245
1,46,1,1,1.49666133329153,SSP245
2,46,1,1,4.05722168850851,SSP245
10,46,1,1,19.7110548048358,SSP245
13,46,1,1,3.37881002826023,SSP245
16,46,1,1,5.60003352716971,SSP245
18,46,1,1,38.9714525127139,SSP245
45,46,1,1,1.49325634925938,SSP245
46,46,1,1,10.3663077483163,SSP245
10,50,1,1,1.48651893158913,SSP245
1,99,1,1,820.552157437196,SSP245
2,99,1,1,24.2090510692363,SSP245
7,99,1,1,0.697643072793484,SSP245
13,99,1,1,0.725571399862766,SSP245
15,99,1,1,93.2449083892335,SSP245
16,99,1,1,64.6314728786693,SSP245
18,99,1,1,10.1469356750226,SSP245
22,99,1,1,654.712266705587,SSP245
23,99,1,1,27.2256739812064,SSP245
31,99,1,1,2.20148014426947,SSP245
32,99,1,1,10.1885944088221,SSP245
43,99,1,1,107.606572542404,SSP245
1,1,2,1,8.98120096658897,SSP245
2,1,2,1,12.1315949357991,SSP245
13,1,2,1,2.02967166023207,SSP245
16,1,2,1,82.7876919634356,SSP245
18,1,2,1,121.230492631691,SSP245
46,1,2,1,0.681848158596039,SSP245
1,2,2,1,3.43403062919617,SSP245
2,2,2,1,18.7631609834275,SSP245
16,2,2,1,31.6474501339293,SSP245
18,2,2,1,110.386569469481,SSP245
1,13,2,1,2.77329878619719,SSP245
2,13,2,1,4.03664980212545,SSP245
13,13,2,1,13.5389147905974,SSP245
16,13,2,1,1.35369507610464,SSP245
18,13,2,1,26.0553356490259,SSP245
16,16,2,1,68.5689793013148,SSP245
18,16,2,1,1.32777940457201,SSP245
31,16,2,1,0.663108641550064,SSP245
2,18,2,1,14.879646516376,SSP245
16,18,2,1,76.8971486128345,SSP245
18,18,2,1,315.664442957818,SSP245
28,18,2,1,2.05876605016088,SSP245
46,18,2,1,0.683339488614082,SSP245
2,46,2,1,2.69731914174795,SSP245
18,46,2,1,35.9138944119125,SSP245
11,1,3,1,13.6865988768935,SSP245
18,1,3,1,1.37334699368382,SSP245
43,1,3,1,2.12710170147467,SSP245
1,2,3,1,1.37016863839769,SSP245
18,2,3,1,1.36455507097435,SSP245
3,3,3,1,0.720294766145706,SSP245
11,3,3,1,5.04153051538515,SSP245
16,16,3,1,4.93775941187954,SSP245
46,16,3,1,2.83710239024353,SSP245
18,18,3,1,0.699497712058067,SSP245
7,43,3,1,0.709861968121529,SSP245
43,43,3,1,9.92819925619173,SSP245
1,1,5,1,0.68304169052887,SSP245
16,16,5,1,2.97065643267488,SSP245
16,18,5,1,4.18321025139856,SSP245
18,18,5,1,4.18926305525589,SSP245
1,1,7,1,0.698214804657459,SSP245
1,7,7,1,5.58443269627476,SSP245
1,1,10,1,15.6583497411428,SSP245
10,1,10,1,18.1552067884436,SSP245
16,1,10,1,10.1000044891195,SSP245
18,1,10,1,11.316742399281,SSP245
34,1,10,1,2.27014576623678,SSP245
39,1,10,1,0.754793593444347,SSP245
46,1,10,1,9.02293087241983,SSP245
1,10,10,1,5.23564110410261,SSP245
5,10,10,1,2.12315506200743,SSP245
10,10,10,1,151.735421185932,SSP245
18,10,10,1,40.2588056189008,SSP245
28,10,10,1,23.2011355558825,SSP245
39,10,10,1,6.80940042673779,SSP245
45,10,10,1,16.660378599246,SSP245
46,10,10,1,5.27312028959513,SSP245
18,16,10,1,5.69476109431887,SSP245
46,16,10,1,4.23245316344309,SSP245
10,18,10,1,0.72413012702322,SSP245
16,18,10,1,39.6723542831417,SSP245
18,18,10,1,52.4348873120327,SSP245
45,18,10,1,0.731900873360634,SSP245
10,28,10,1,1.4880411101017,SSP245
28,28,10,1,2.23190936230755,SSP245
39,28,10,1,0.74368597958374,SSP245
10,34,10,1,2.27334858548069,SSP245
10,39,10,1,6.02322011752463,SSP245
28,39,10,1,0.743625096210957,SSP245
39,39,10,1,6.01777394534826,SSP245
46,39,10,1,0.755775870931149,SSP245
18,44,10,1,4.49609015912104,SSP245
45,45,10,1,2.27232264615917,SSP245
1,46,10,1,2.24533795793867,SSP245
10,46,10,1,6.81819856862974,SSP245
1,1,13,1,232.042698212036,SSP245
13,1,13,1,77.8015262045502,SSP245
16,1,13,1,23.7277001481538,SSP245
18,1,13,1,86.8252230790315,SSP245
25,1,13,1,0.741238390348911,SSP245
31,1,13,1,5.62272515139246,SSP245
1,13,13,1,275.661790516943,SSP245
2,13,13,1,22.2571707132049,SSP245
13,13,13,1,721.980165956923,SSP245
16,13,13,1,25.181764471765,SSP245
18,13,13,1,628.738411348765,SSP245
25,13,13,1,96.2387985263363,SSP245
31,13,13,1,10.7444904138322,SSP245
46,13,13,1,1.35859897604322,SSP245
16,16,13,1,4.08555187562847,SSP245
18,16,13,1,4.8677909658351,SSP245
2,18,13,1,3.41950664994478,SSP245
13,18,13,1,1.34721515745735,SSP245
16,18,13,1,21.7035769554935,SSP245
18,18,13,1,125.595450576326,SSP245
22,18,13,1,2.65016192525339,SSP245
31,18,13,1,5.36702963147831,SSP245
46,18,13,1,1.37783282142067,SSP245
13,25,13,1,2.7738781707654,SSP245
25,25,13,1,20.9840593715038,SSP245
16,31,13,1,8.08684774750805,SSP245
18,31,13,1,11.9250106947646,SSP245
25,33,13,1,13.9281631606574,SSP245
18,46,13,1,0.681773438638687,SSP245
16,1,16,1,62.5467925717029,SSP245
18,1,16,1,0.701907776783943,SSP245
16,16,16,1,1478.25516649235,SSP245
18,16,16,1,13.1535214387059,SSP245
19,16,16,1,0.755833508565426,SSP245
22,16,16,1,0.662952115564823,SSP245
31,16,16,1,67.3929291521878,SSP245
45,16,16,1,0.753224050676823,SSP245
46,16,16,1,7.67743362698889,SSP245
16,18,16,1,20.7130192225609,SSP245
18,18,16,1,61.8544117482648,SSP245
16,31,16,1,26.3314834575009,SSP245
20,31,16,1,0.758751870464802,SSP245
31,31,16,1,149.821404965632,SSP245
16,45,16,1,3.01003004924011,SSP245
31,45,16,1,2.98262620195389,SSP245
45,45,16,1,20.2962100818849,SSP245
16,46,16,1,2.09984386092472,SSP245
16,99,16,1,5.11236032516384,SSP245
1,1,18,1,43.3122754002461,SSP245
2,1,18,1,0.705560257595062,SSP245
10,1,18,1,18.8998967589474,SSP245
13,1,18,1,1.40768886278677,SSP245
16,1,18,1,32.3710964518137,SSP245
18,1,18,1,135.948937573167,SSP245
45,1,18,1,0.739076164719105,SSP245
46,1,18,1,0.737519982307911,SSP245
1,2,18,1,2.07685567091465,SSP245
2,2,18,1,3.42036039481974,SSP245
16,2,18,1,6.08322287130308,SSP245
18,2,18,1,114.226183157292,SSP245
31,2,18,1,0.670785165813923,SSP245
18,10,18,1,2.10931878246498,SSP245
13,13,18,1,9.84489516990662,SSP245
16,13,18,1,1.96009219690609,SSP245
18,13,18,1,3.46437769432116,SSP245
13,16,18,1,3.97904270094156,SSP245
16,16,18,1,369.119530077985,SSP245
18,16,18,1,216.428573111272,SSP245
22,16,18,1,1.98830780034494,SSP245
46,16,18,1,26.6630253240032,SSP245
1,18,18,1,100.349232200704,SSP245
2,18,18,1,14.5769665489435,SSP245
5,18,18,1,1.40550851494217,SSP245
7,18,18,1,13.9901419373789,SSP245
10,18,18,1,15.2001164344316,SSP245
13,18,18,1,3.32524410741949,SSP245
16,18,18,1,481.781461311473,SSP245
18,18,18,1,2148.67863634446,SSP245
22,18,18,1,1.35679448521566,SSP245
31,18,18,1,1.39920463991404,SSP245
39,18,18,1,2.25716942667866,SSP245
44,18,18,1,0.744233222174645,SSP245
45,18,18,1,8.9057142024827,SSP245
46,18,18,1,10.4831178025112,SSP245
16,20,18,1,1.48706540400887,SSP245
25,25,18,1,3.49292209658384,SSP245
16,31,18,1,1.37701761888647,SSP245
18,31,18,1,17.2821434444189,SSP245
33,33,18,1,8.22639012398243,SSP245
39,39,18,1,2.22770163562632,SSP245
16,43,18,1,0.709517206507206,SSP245
10,44,18,1,2.18237940067339,SSP245
45,45,18,1,1.46803652842093,SSP245
16,46,18,1,0.700066340786934,SSP245
18,46,18,1,1.40487181880426,SSP245
31,1,20,1,0.758865469416618,SSP245
16,16,20,1,1.50900060598946,SSP245
31,16,20,1,3.76606182008219,SSP245
45,16,20,1,0.753340710686207,SSP245
16,20,20,1,9.77384759413719,SSP245
19,20,20,1,0.757097502145767,SSP245
20,20,20,1,8.99281846740723,SSP245
31,20,20,1,1.50644810135365,SSP245
16,31,20,1,0.745867299582482,SSP245
31,31,20,1,0.755775870931149,SSP245
16,45,20,1,1.50638955679607,SSP245
31,45,20,1,0.753107327095985,SSP245
45,45,20,1,6.77977330778313,SSP245
1,1,22,1,2.25663100009584,SSP245
22,1,22,1,0.752288482656956,SSP245
1,22,22,1,0.752756774992466,SSP245
22,22,22,1,2.96802192010212,SSP245
22,99,22,1,52.6459910422697,SSP245
25,1,24,1,1.48229223051167,SSP245
15,24,24,1,2.05514182894421,SSP245
1,1,25,1,0.740807480568886,SSP245
13,13,25,1,11.1046147160931,SSP245
25,13,25,1,6.94756154276371,SSP245
16,16,25,1,0.629257545734406,SSP245
16,18,25,1,0.664904588661671,SSP245
18,18,25,1,6.83659671386814,SSP245
22,18,25,1,0.694770126068592,SSP245
31,18,25,1,3.45499453121138,SSP245
13,25,25,1,39.3137050016217,SSP245
18,25,25,1,2.73030360066748,SSP245
25,25,25,1,45.5981505877166,SSP245
31,25,25,1,2.76923767339468,SSP245
18,31,25,1,0.684305714932919,SSP245
13,32,25,1,2.08714314030647,SSP245
25,32,25,1,0.700492184849262,SSP245
25,33,25,1,1.38527220856524,SSP245
18,1,28,1,3.42100733176756,SSP245
18,18,28,1,5.48114387494946,SSP245
1,28,28,1,0.741361366307736,SSP245
18,28,28,1,1.36503996151447,SSP245
1,39,28,1,0.742404128068924,SSP245
31,1,31,1,3.76114703900433,SSP245
16,16,31,1,3.59104010313272,SSP245
16,18,31,1,0.685417514482498,SSP245
18,18,31,1,11.7792667405348,SSP245
31,18,31,1,3.45718440562487,SSP245
25,25,31,1,4.41295525406027,SSP245
31,25,31,1,2.2069819166379,SSP245
16,31,31,1,49.918987615756,SSP245
25,31,31,1,3.68634851397324,SSP245
31,31,31,1,124.905702738851,SSP245
42,31,31,1,0.686009124722481,SSP245
16,45,31,1,1.4905268490839,SSP245
25,25,32,1,14.0052307973509,SSP245
25,32,32,1,1.40098436969852,SSP245
7,13,33,1,1.39385413467217,SSP245
13,13,33,1,123.294134586946,SSP245
18,13,33,1,0.685491517128944,SSP245
25,13,33,1,16.6556575318532,SSP245
13,18,33,1,0.693252316073418,SSP245
7,25,33,1,2.78777983270025,SSP245
13,25,33,1,66.0508971124034,SSP245
24,25,33,1,2.78418918180656,SSP245
25,25,33,1,119.789941102157,SSP245
25,32,33,1,0.700563106543064,SSP245
13,33,33,1,0.694553696574211,SSP245
25,33,33,1,17.4091781627584,SSP245
33,33,33,1,4.49713050883627,SSP245
45,33,33,1,0.749516761576176,SSP245
10,1,34,1,8.33497287291431,SSP245
39,1,34,1,1.51299038698244,SSP245
46,1,34,1,1.51880837744713,SSP245
10,5,34,1,1.51829837382412,SSP245
10,10,34,1,7.55736195732403,SSP245
39,10,34,1,0.75640900809288,SSP245
46,10,34,1,0.755371961280823,SSP245
10,34,34,1,3.77618827155018,SSP245
34,34,34,1,1.5174469174695,SSP245
46,34,34,1,0.756523916640282,SSP245
10,46,34,1,0.756063899703503,SSP245
1,1,39,1,3.69509343744469,SSP245
10,1,39,1,3.77030548783827,SSP245
39,1,39,1,6.78046827528906,SSP245
45,1,39,1,1.51430954585266,SSP245
1,10,39,1,0.749694725750446,SSP245
10,10,39,1,17.2920280932035,SSP245
39,10,39,1,4.49798875511503,SSP245
1,18,39,1,2.90841081733131,SSP245
10,18,39,1,2.9078257280612,SSP245
28,28,39,1,0.743625096210957,SSP245
10,34,39,1,0.757269266599178,SSP245
46,34,39,1,0.757326489489555,SSP245
1,39,39,1,2.25229503829527,SSP245
10,39,39,1,21.8124730026879,SSP245
39,39,39,1,53.1920405939155,SSP245
46,39,39,1,0.755660547850132,SSP245
50,39,39,1,0.748505607949734,SSP245
44,1,44,1,2.2306316765132,SSP245
18,18,44,1,1.51230042535973,SSP245
44,18,44,1,0.743990160549164,SSP245
18,44,44,1,5.24477621539497,SSP245
33,44,44,1,3.7367740921998,SSP245
44,44,44,1,29.8746865747752,SSP245
18,1,45,1,0.722351121623516,SSP245
16,16,45,1,1.51304781732988,SSP245
31,16,45,1,5.13284278363419,SSP245
16,31,45,1,0.752171250781536,SSP245
31,31,45,1,12.4896992091894,SSP245
45,31,45,1,0.757097502145767,SSP245
