method,method_label,scenario,period,ssp,rank_cutoff,rank_label,criterion,common_valid_pixels,common_valid_area_km2,pixel_count,pixel_share,area_km2,area_share
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,248602,0.0200584708596979,165913.158567589,0.0195166051311171
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,4531120,0.365593754200667,3066411.07417359,0.360706375678762
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,9669616,0.780193686134738,6548663.87189418,0.770328815553865
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,483232,0.0389896098602325,324138.44773585,0.038128875050599
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,5587374,0.450817686749235,3743959.5461298,0.44040738371529
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,10185570,0.821823472998659,6900208.68632361,0.811681541210738
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,728243,0.0587583406178508,486365.094333501,0.0572118304395885
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,6143967,0.49572643435067,4092860.61563344,0.481449121827659
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,10577122,0.85341587524022,7176239.30804803,0.844151423013982
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,261179,0.0210732470401084,173998.759846359,0.0204677261197584
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,4677326,0.377390396184693,3160463.85105467,0.371769940038096
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,9718698,0.784153870955197,6581409.28190568,0.77418070555806
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,707603,0.0570930006827571,471850.03238557,0.0555044026807705
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,6075592,0.4902095923903,4047847.09380685,0.476154116062986
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,10517790,0.84862866840742,7134066.88917057,0.839190620303929
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,1398251,0.112817985929491,909403.968640709,0.106974505903347
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,7855772,0.633843548090644,5218451.91778055,0.613854056871289
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,11370575,0.917435689558044,7742523.02918871,0.910764197269497
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,249247,0.0201105127326695,167348.253474211,0.0196854174234032
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,4572251,0.368912411994772,3093004.11626153,0.363834553733753
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,9679838,0.781018448964996,6554165.36142475,0.770975963735046
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,fewer_than_1_ecotypes_at_or_above_0.4,12393866,8501128.01140083,472144,0.0380949737555659,318098.419526514,0.0374183777846791
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,fewer_than_3_ecotypes_at_or_above_0.4,12393866,8501128.01140083,5614726,0.453024584903532,3756252.90463033,0.44185346927994
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,fewer_than_5_ecotypes_at_or_above_0.4,12393866,8501128.01140083,10185449,0.82181371010466,6899292.06896588,0.81157371818343
