method,scenario,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP245,167348.253474211,167348.253474198,7.51298833199204e-14
mf_var,2011-2040SSP585,173887.340623753,173887.340623754,8.53595982300425e-15
mf_var,2041-2070SSP245,318098.419526514,318098.419526464,1.58466157820282e-13
mf_var,2041-2070SSP585,465879.338590957,465879.338590774,3.935657083056e-13
mf_var,2071-2100SSP245,477493.362249836,477493.36224965,3.90088176400053e-13
mf_var,2071-2100SSP585,964430.482092511,964430.482091655,8.87813800928508e-13
rf_var,2011-2040SSP245,165913.158567589,165913.158567593,2.64878231293294e-14
rf_var,2011-2040SSP585,173998.759846359,173998.759846369,6.00479862223882e-14
rf_var,2041-2070SSP245,324138.44773585,324138.447735807,1.3162960379309e-13
rf_var,2041-2070SSP585,471850.03238557,471850.032385451,2.51285360056678e-13
rf_var,2071-2100SSP245,486365.094333501,486365.094333413,1.80356168686033e-13
rf_var,2071-2100SSP585,909403.968640709,909403.968639294,1.55548317832353e-12
