method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP245,chamFor,chamFor-Zone10,10,134140.912724759,134140.912724733,1.92447606705176e-13
mf_var,2011-2040SSP245,chamFor,chamFor-Zone21,21,670730.13356508,670730.133564342,1.10074966678919e-12
mf_var,2011-2040SSP245,chamFor,chamFor-Zone26,26,27758.6292678647,27758.6292678652,1.97896947493292e-14
mf_var,2011-2040SSP245,chamFor,chamFor-Zone30,30,248736.155729959,248736.155729964,2.21142919097549e-14
mf_var,2011-2040SSP245,chamFor,chamFor-Zone34,34,13812.0331699738,13812.0331699731,5.09663487271815e-14
mf_var,2011-2040SSP245,chamFor,chamFor-Zone49,49,125212.920032862,125212.920032873,8.97198033026452e-14
mf_var,2011-2040SSP245,chamFor,chamFor-Zone53,53,136731.44323038,136731.443230359,1.51126318395306e-13
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone10,10,134140.912724759,134140.912724733,1.92447606705176e-13
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone21,21,670730.13356508,670730.133564342,1.10074966678919e-12
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone26,26,27758.6292678647,27758.6292678652,1.97896947493292e-14
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone34,34,13812.0331699738,13812.0331699731,5.09663487271815e-14
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone49,49,125212.920032862,125212.920032873,8.97198033026452e-14
mf_var,2011-2040SSP245,cyclLon,cyclLon-Zone53,53,136731.44323038,136731.443230359,1.51126318395306e-13
mf_var,2011-2040SSP245,lariGme,lariGme-Zone12,12,241499.730724712,241499.730724758,1.90289853132624e-13
mf_var,2011-2040SSP245,lariGme,lariGme-Zone2,2,61461.4985784107,61461.4985784092,2.3794855548228e-14
mf_var,2011-2040SSP245,lariGme,lariGme-Zone3,3,283631.433829458,283631.433829478,7.2443678139029e-14
mf_var,2011-2040SSP245,lariGme,lariGme-Zone4,4,38177.1187926119,38177.11879261,4.84083999120522e-14
mf_var,2011-2040SSP245,lariGme,lariGme-Zone5,5,119921.266773665,119921.26677366,3.87092388426023e-14
mf_var,2011-2040SSP245,lariGme,lariGme-Zone6,6,43620.0248936934,43620.0248936947,2.96909609400947e-14
mf_var,2011-2040SSP245,lariGme,lariGme-Zone7,7,154347.65893979,154347.658939832,2.71338174578765e-13
mf_var,2011-2040SSP245,lariGme,lariGme-Zone9,9,5479.64169217306,5479.64169217306,6.63908155215346e-16
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone12,12,241499.730724712,241499.730724758,1.90289853132624e-13
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone2,2,61461.4985784107,61461.4985784092,2.3794855548228e-14
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone27,27,628351.853190772,628351.853190629,2.27883223579335e-13
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone3,3,283631.433829458,283631.433829478,7.2443678139029e-14
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone6,6,43620.0248936934,43620.0248936947,2.96909609400947e-14
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone7,7,154347.65893979,154347.658939832,2.71338174578765e-13
mf_var,2011-2040SSP245,lariOlg,lariOlg-Zone9,9,5479.64169217306,5479.64169217306,6.63908155215346e-16
mf_var,2011-2040SSP245,phylPub,phylPub-Zone21,21,670730.13356508,670730.133564342,1.10074966678919e-12
mf_var,2011-2040SSP245,phylPub,phylPub-Zone26,26,27758.6292678647,27758.6292678652,1.97896947493292e-14
mf_var,2011-2040SSP245,phylPub,phylPub-Zone28,28,61804.6799389898,61804.6799389934,5.76852632271385e-14
mf_var,2011-2040SSP245,phylPub,phylPub-Zone30,30,248736.155729959,248736.155729964,2.21142919097549e-14
mf_var,2011-2040SSP245,phylPub,phylPub-Zone40,40,238752.230355486,238752.230355649,6.82028943406569e-13
mf_var,2011-2040SSP245,phylPub,phylPub-Zone44,44,236554.401820592,236554.401820742,6.35215728354882e-13
mf_var,2011-2040SSP245,phylPub,phylPub-Zone47,47,301621.238346814,301621.238346783,1.03245708954027e-13
mf_var,2011-2040SSP245,phylPub,phylPub-Zone49,49,125212.920032862,125212.920032873,8.97198033026452e-14
mf_var,2011-2040SSP245,pinuSyl,pinuSyl-Zone2,2,61461.4985784107,61461.4985784092,2.3794855548228e-14
