method,scenario,Species,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP245,chamFor,1357122.22772086,1357122.22772112,1.91806348969857e-13
mf_var,2011-2040SSP245,cyclLon,1108386.0719909,1108386.07198885,1.84960265126188e-12
mf_var,2011-2040SSP245,lariGme,948138.374224513,948138.374224574,6.48294506325535e-14
mf_var,2011-2040SSP245,lariOlg,1418391.84184903,1418391.84185224,2.26627069575333e-12
mf_var,2011-2040SSP245,phylPub,1911170.38905766,1911170.38906197,2.25707417803414e-12
mf_var,2011-2040SSP245,pinuSyl,1093366.05237232,1093366.05237188,4.02259686870694e-13
mf_var,2011-2040SSP245,pinuYun,2732634.51079763,2732634.51079976,7.77739616063956e-13
mf_var,2011-2040SSP245,querVar,3769337.94326227,3769337.94326784,1.47654144830458e-12
mf_var,2011-2040SSP245,robiPse,1792828.70431486,1792828.70432251,4.2655064995187e-12
mf_var,2011-2040SSP245,saliMat,989511.38369532,989511.383693531,1.80803444540305e-12
mf_var,2011-2040SSP585,chamFor,1364454.35376359,1364454.35376397,2.79679143458327e-13
mf_var,2011-2040SSP585,cyclLon,1133813.53086713,1133813.53086397,2.78682920869619e-12
mf_var,2011-2040SSP585,lariGme,945051.696497368,945051.696497593,2.38484374867761e-13
mf_var,2011-2040SSP585,lariOlg,1412822.46480142,1412822.4648047,2.32398466091827e-12
mf_var,2011-2040SSP585,phylPub,1924281.42956327,1924281.4295681,2.50994412654074e-12
mf_var,2011-2040SSP585,pinuSyl,1088563.2133324,1088563.21333163,7.02836073896918e-13
mf_var,2011-2040SSP585,pinuYun,2760059.04941323,2760059.04941662,1.22925201185145e-12
mf_var,2011-2040SSP585,querVar,3790822.98287873,3790822.98288184,8.20933712054215e-13
mf_var,2011-2040SSP585,robiPse,1797757.29755475,1797757.29756333,4.77470866129794e-12
mf_var,2011-2040SSP585,saliMat,984683.204896329,984683.204894376,1.98300751276918e-12
mf_var,2041-2070SSP245,chamFor,1592336.00386467,1592336.00386678,1.32460284496391e-12
mf_var,2041-2070SSP245,cyclLon,1430912.98018088,1430912.98018324,1.6504156795606e-12
mf_var,2041-2070SSP245,lariGme,880404.814080394,880404.814081345,1.08044569888051e-12
mf_var,2041-2070SSP245,lariOlg,1409292.37973209,1409292.37973568,2.54771927203618e-12
mf_var,2041-2070SSP245,phylPub,1944121.69240881,1944121.69241558,3.48373798804342e-12
mf_var,2041-2070SSP245,pinuSyl,1095231.70557536,1095231.70557526,9.11992828723368e-14
mf_var,2041-2070SSP245,pinuYun,2906726.53555272,2906726.53556219,3.25865406643585e-12
mf_var,2041-2070SSP245,querVar,3832666.92685109,3832666.92685903,2.07141905070679e-12
mf_var,2041-2070SSP245,robiPse,1832305.89900229,1832305.89900843,3.35260815646997e-12
mf_var,2041-2070SSP245,saliMat,977195.207384328,977195.2073836,7.45290447442208e-13
mf_var,2041-2070SSP585,chamFor,1737417.6470559,1737417.64705962,2.13825717519816e-12
mf_var,2041-2070SSP585,cyclLon,1613711.07350678,1613711.07351009,2.05415326703428e-12
mf_var,2041-2070SSP585,lariGme,856567.437458777,856567.437459719,1.10032018997358e-12
mf_var,2041-2070SSP585,lariOlg,1427393.09278238,1427393.0927865,2.88943672386226e-12
mf_var,2041-2070SSP585,phylPub,1958541.34732419,1958541.34733089,3.41921552072355e-12
mf_var,2041-2070SSP585,pinuSyl,1083128.87014931,1083128.87014946,1.3929483484905e-13
mf_var,2041-2070SSP585,pinuYun,2995798.20282284,2995798.20283301,3.39632326304632e-12
mf_var,2041-2070SSP585,querVar,3787172.07141225,3787172.0714191,1.80858216786621e-12
mf_var,2041-2070SSP585,robiPse,1815773.90544665,1815773.90545048,2.11099568892785e-12
mf_var,2041-2070SSP585,saliMat,980661.533080683,980661.533080178,5.15087075782926e-13
mf_var,2071-2100SSP245,chamFor,1765422.27479291,1765422.27479774,2.73790822244389e-12
