Species,method_label,scenario,period,ssp,rank_cutoff,rank_label,n_populations,median_area_million_km2,q25_area_million_km2,q75_area_million_km2
lariGme,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,8,0.0874679396901961,0.0437634093264602,0.177739528811604
lariGme,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,8,0.376358344239724,0.138002609767551,0.539502613455035
lariGme,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,8,0.493200621014389,0.222383119837001,0.649137197591737
lariGme,Plain RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,8,0.0758230610957455,0.0049704928783792,0.193338988261916
lariGme,Plain RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,8,0.296560202082822,0.086467541615964,0.510563982118777
lariGme,Plain RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,8,0.384023902289289,0.130533512658557,0.6000240098667
lariGme,Plain RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,8,0.0609992492031494,0.00324379497129261,0.184058897671339
lariGme,Plain RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,8,0.245928973296755,0.0380671676848679,0.456604314387014
lariGme,Plain RF,2071-2100SSP245,2071-2100,SSP245,5,Top-5,8,0.306181707064423,0.0592516950089125,0.563617580032658
lariGme,Plain RF,2011-2040SSP585,2011-2040,SSP585,1,Top-1,8,0.0870159253620108,0.03964670679142,0.181794331284859
lariGme,Plain RF,2011-2040SSP585,2011-2040,SSP585,3,Top-3,8,0.37933020998765,0.12758193205754,0.53969681695188
lariGme,Plain RF,2011-2040SSP585,2011-2040,SSP585,5,Top-5,8,0.4888581480708,0.207957648972854,0.645029585550341
lariGme,Plain RF,2041-2070SSP585,2041-2070,SSP585,1,Top-1,8,0.0662868269539447,0.00347036850470876,0.181426127965844
lariGme,Plain RF,2041-2070SSP585,2041-2070,SSP585,3,Top-3,8,0.251142208551444,0.0452949753521801,0.456662890319866
lariGme,Plain RF,2041-2070SSP585,2041-2070,SSP585,5,Top-5,8,0.31425326256897,0.0663807595025854,0.562465356791719
lariGme,Plain RF,2071-2100SSP585,2071-2100,SSP585,1,Top-1,8,0.0271578903769225,0.00162300496879718,0.130205096737416
lariGme,Plain RF,2071-2100SSP585,2071-2100,SSP585,3,Top-3,8,0.0933347174685965,0.0101596840693728,0.332597392087648
lariGme,Plain RF,2071-2100SSP585,2071-2100,SSP585,5,Top-5,8,0.121174585036115,0.0129857537070815,0.388555065613722
lariGme,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,8,0.0906913826760377,0.042259298368423,0.176135676886021
