zone,method,rank_cutoff,true_positive,false_positive,false_negative,f1,multiclass_f1,method_label,rank_label,common_reference_area_km2,common_valid_pixels,zone_name,category_label,zone_color,reference_area_km2
1,rf_var,1,11670,32508,3500,0.393273572824695,0.33198303160662,Plain RF,Top-1,9656.10592542594,12374320,One year one ripe fields with cold-tolerant crops of short growth duration,cropland,#FFD23F,9762.48864593947
2,rf_var,1,183100,77393,100413,0.673154340209483,0.67354693113083,Plain RF,Top-1,159834.83273335,12374320,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,forest,#005A32,160335.840232647
3,rf_var,1,287559,168624,264176,0.570599989284843,0.503734533927331,Plain RF,Top-1,344829.064526946,12374320,Broadleaf deciduous forests in temperate zone,forest,#33A02C,345904.264996547
4,rf_var,1,42035,60723,49086,0.433620969780121,0.502292811286631,Plain RF,Top-1,52764.6707092521,12374320,"Grass, Carex and forb swamp meadows",wetland,#00B4D8,53482.0093491042
5,rf_var,1,73763,100810,116348,0.404531046056312,0.464342351548911,Plain RF,Top-1,116925.872776899,12374320,Grass and forb meadows,grassland meadow steppe,#B8DE29,118048.393013657
6,rf_var,1,50569,54252,39096,0.520027148483695,0.55504815373601,Plain RF,Top-1,52067.6396461832,12374320,Cold-temperate and temperate marshes,wetland,#0077B6,53583.994126283
7,rf_var,1,91911,165341,128905,0.384510153367303,0.412533515069451,Plain RF,Top-1,145211.466589798,12374320,Deciduous scrubs in temperate zone,scrub,#C77DFF,145723.607727903
9,rf_var,1,25180,48363,5254,0.484337882416304,0.385568598775185,Plain RF,Top-1,18615.0721910364,12374320,Needleleaf and deciduous broadleaf mixed forests in temperate zone,forest,#2CA25F,18681.3387065463
10,rf_var,1,77072,82115,68641,0.505555919973762,0.512620701338303,Plain RF,Top-1,108490.394320759,12374320,Needleleaf forests on mountains in subtropical and tropical zones,forest,#006D77,109739.960164066
11,rf_var,1,88690,96383,58150,0.534417151482467,0.575541125541126,Plain RF,Top-1,88398.5760734968,12374320,Temperate grass and forb meadow steppes,grassland meadow steppe,#D9ED92,88744.7461983382
12,rf_var,1,235049,109848,138750,0.654098534011599,0.674787451178727,Plain RF,Top-1,230329.665891326,12374320,One year one ripe grain fields and cold-tolerant economic crop fields,cropland,#F8961E,231554.213781713
13,rf_var,1,375539,158418,242946,0.651727375434078,0.644214278935943,Plain RF,Top-1,391289.503816282,12374320,Temperate tufted grass steppes,grassland meadow steppe,#DDA15E,392778.754746233
14,rf_var,1,26336,64462,6329,0.426621740926431,0.382792730618818,Plain RF,Top-1,20690.6930687741,12374320,Microphyllous deciduous woodlands in temperate zone,forest,#8AC926,20908.5541959762
15,rf_var,1,134196,121948,97202,0.550500264592589,0.586968787476375,Plain RF,Top-1,148431.114581419,12374320,Grass and forb halophytic meadows,grassland meadow steppe,#FF70A6,155782.486712609
16,rf_var,1,543056,164085,367774,0.671280263984954,0.572174861993948,Plain RF,Top-1,649431.576281616,12374320,Kobresia spp. and forb high-cold meadows,grassland meadow steppe,#90BE6D,653919.837866197
17,rf_var,1,1497,8340,72,0.262493424513414,0.288419117647059,Plain RF,Top-1,904.361409082834,12374320,Alpine tundra,alpine vegetation,#A2D2FF,1166.83977455947
18,rf_var,1,47734,117692,65228,0.342931448194606,0.356095204390592,Plain RF,Top-1,80363.7376257943,12374320,Subalpine broadleaf deciduous scrubs,scrub,#9D4EDD,80420.5115528885
19,rf_var,1,531810,50060,158420,0.836113513088594,0.843738850947347,Plain RF,Top-1,460385.16593109,12374320,No vegetation,no vegetation,#E0E0E0,535460.455323413
20,rf_var,1,225893,189190,152760,0.569189251841922,0.563919883533526,Plain RF,Top-1,267812.092475597,12374320,Alpine sparse vegetation,alpine vegetation,#B8C0FF,290572.043152328
21,rf_var,1,382265,134873,215853,0.685519737172452,0.675891947697597,Plain RF,Top-1,451458.462632792,12374320,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,cropland,#F3722C,460573.91798181
22,rf_var,1,30461,68188,11489,0.43330322406276,0.358425050232518,Plain RF,Top-1,28460.0813534031,12374320,Alpine cushion vegetation,alpine vegetation,#CDB4DB,29216.0608445185
23,rf_var,1,187728,137669,139012,0.575731786419111,0.595137096664588,Plain RF,Top-1,212996.351713572,12374320,Shrub deserts,desert,#B5651D,215639.769601697
24,rf_var,1,540305,153922,304771,0.702012534244395,0.643343676268322,Plain RF,Top-1,546662.583146442,12374320,Semi-shrub and dwarf semi-shrub deserts,desert,#9C6644,547719.084772723
25,rf_var,1,153587,149799,83614,0.568223061227887,0.594951956932733,Plain RF,Top-1,156714.339600441,12374320,Temperate tufted low grass and nano-semi-shrub desert steppes,desert,#BC6C25,157239.724775428
26,rf_var,1,24271,84253,16612,0.324897762487701,0.262761629814317,Plain RF,Top-1,30887.739198993,12374320,Bamboo forests and scrubs in subtropical and tropical zones,forest,#00A878,30951.3022898633
27,rf_var,1,634094,91738,223107,0.801112800554379,0.792258009996692,Plain RF,Top-1,575613.263321673,12374320,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland,#FFB703,581987.788488805
28,rf_var,1,22579,80610,23463,0.302604686693784,0.311259066689158,Plain RF,Top-1,33890.5942871482,12374320,Broadleaf deciduous forests in subtropical zone,forest,#52B788,34056.2147908729
