category_index,retention_label,area_km2,pixel_count,area_share,pixel_share,method,method_label,scenario,period,ssp,baseline
1,Stable Top-1,4469693.04234433,6454236,0.525776465940843,0.520760511691832,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2822690.60875518,4141293,0.33203718435602,0.334140533712403,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,754436.423759861,1113233,0.0887454491625356,0.0898212874013645,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,288394.777972529,436502,0.0339242954094809,0.035219196334703,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
5,Novel,165913.158567593,248602,0.0195166051311207,0.0200584708596979,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,3463143.56798137,4996503,0.4073745935049,0.403143216168385,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2946154.94604851,4302260,0.346560473162405,0.347128168079274,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1158904.90595943,1702720,0.136323662507368,0.13738408983928,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,608786.143685129,909151,0.0716123957747741,0.0733549160528281,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
5,Novel,324138.447735807,483232,0.0381288750505518,0.0389896098602325,rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,2976067.54820335,4297368,0.350079135875606,0.346733456695433,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2788819.96143478,4069275,0.328052931057,0.328329756026086,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,1409384.94209476,2051174,0.165787991923264,0.16549912674544,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,840490.465346628,1247806,0.0988681107046327,0.10067931991519,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
5,Novel,486365.094333413,728243,0.0572118304394968,0.0587583406178508,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map
1,Stable Top-1,4348596.22072683,6278154,0.511531671431361,0.506553322425787,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
2,Changed; former in Top-3,2860147.90039895,4194393,0.336443339820462,0.338424911161699,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
3,Changed; former rank 4-5,797252.36350676,1176068,0.0937819501643802,0.0948911340496985,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
4,Changed; former below Top-5,321132.766927786,484072,0.0377753124640512,0.0390573853227072,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
5,Novel,173998.759846369,261179,0.0204677261197455,0.0210732470401084,rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map
