method,method_label,scenario,period,ssp,baseline,stable_top1_area_share,changed_existing_area_share,novel_area_share,former_top3_among_changed_area,former_top5_among_changed_area,stable_top1_pixel_share,changed_existing_pixel_share,novel_pixel_share,former_top3_among_changed_pixel,former_top5_among_changed_pixel
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,0.525776465940843,0.454706928928037,0.0195166051311207,0.730222398719087,0.925393053742425,0.520760511691832,0.45918101744847,0.0200584708596979,0.727688038083805,0.923299973221007
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,0.4073745935049,0.554496531444548,0.0381288750505518,0.625000254301975,0.870851499128024,0.403143216168385,0.557867173971382,0.0389896098602325,0.622241609249232,0.868508276745118
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,0.350079135875606,0.592709033684897,0.0572118304394968,0.553480565358489,0.833192839849318,0.346733456695433,0.594508202686716,0.0587583406178508,0.552271195825878,0.830651083601206
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,0.511531671431361,0.468000602448894,0.0204677261197455,0.718895099835267,0.919283624280855,0.506553322425787,0.472373430534105,0.0210732470401084,0.716435111049848,0.91731671851538
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,0.357935594271545,0.586560003047787,0.0555044026806678,0.563979277519605,0.840220610505851,0.354490358375667,0.588416640941575,0.0570930006827571,0.562079060086604,0.837555536267011
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,0.24236311820276,0.650662375894134,0.106974505903106,0.466901884834222,0.763522888269659,0.239529860981231,0.647652153089278,0.112817985929491,0.467610341907239,0.761357353523409
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,0.524097109988309,0.45621747258829,0.0196854174234012,0.732632455737741,0.927007396827805,0.518862718057465,0.461026769209866,0.0201105127326695,0.729944360283267,0.92500399026655
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,0.403830774453103,0.558750847762279,0.0374183777846177,0.629538295245525,0.871408529087324,0.399620909246558,0.562284116997876,0.0380949737555659,0.626411382957993,0.869255492350701
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,0.343922114029753,0.599909650224532,0.0561682357457152,0.562949076089533,0.834180506644651,0.340595823772824,0.601849979659293,0.0575541965678829,0.561339427245213,0.831916970718764
mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,0.509243012183305,0.470302368101475,0.0204546197152207,0.722491906671163,0.922422982366747,0.504058781981345,0.474995372710985,0.0209458453076708,0.719944644403824,0.920577085657298
mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,0.351623379698818,0.593574558978821,0.0548020613223612,0.571612273382689,0.841254937545728,0.348104376794133,0.595666759669662,0.0562288635362041,0.569638884005042,0.838927106306791
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,0.2387611363038,0.647791509321881,0.113447354374319,0.472572804931262,0.763155997272659,0.235951477932713,0.644054809048282,0.119993713019005,0.472966097989697,0.760813542012613
