niche,method,metric,n_zones,mean,sd,se,ci95_low,ci95_high,metric_label,niche_label,method_label
climate,mf_var,balanced_accuracy,53,0.964378162854292,0.0234407020433069,0.00321982805202182,0.95806729987233,0.970689025836255,Balanced accuracy,Climate,Plain MF RF
climate,rf_var,balanced_accuracy,53,0.96430622251151,0.0234483394806682,0.00322087713472489,0.957993303327449,0.97061914169557,Balanced accuracy,Climate,Plain RF
soil,mf_var,balanced_accuracy,53,0.854345378433334,0.0473804978406703,0.00650821190356411,0.841589283102349,0.86710147376432,Balanced accuracy,Soil,Plain MF RF
soil,rf_var,balanced_accuracy,53,0.854199131717509,0.0475375822733802,0.00652978910982871,0.841400745062244,0.866997518372773,Balanced accuracy,Soil,Plain RF
climate,mf_var,f1,53,0.965065595309702,0.0227830246621596,0.00312948911605113,0.958931796642241,0.971199393977162,F1,Climate,Plain MF RF
climate,rf_var,f1,53,0.964996006390981,0.0227898234411882,0.00313042300017266,0.958860377310642,0.971131635471319,F1,Climate,Plain RF
soil,mf_var,f1,53,0.860485139342891,0.0449514093511573,0.00617455093876334,0.848383019502915,0.872587259182867,F1,Soil,Plain MF RF
soil,rf_var,f1,53,0.860330055587884,0.0450879860542051,0.00619331119171624,0.848191165652121,0.872468945523648,F1,Soil,Plain RF
climate,mf_var,auc,28,0.995035234234027,0.00501913319491746,0.000948527016490048,0.993176121281706,0.996894347186347,AUC,Climate,Plain MF RF
climate,rf_var,auc,28,0.994989161076892,0.00501588004481928,0.00094791222890881,0.993131253108231,0.996847069045554,AUC,Climate,Plain RF
soil,mf_var,auc,53,0.881864593414732,0.042331386828741,0.00581466316752597,0.870467853606382,0.893261333223083,AUC,Soil,Plain MF RF
soil,rf_var,auc,53,0.879863527551641,0.0424508501027043,0.00583107271020873,0.868434625039632,0.89129243006365,AUC,Soil,Plain RF
climate,mf_var,precision,53,0.951621560609959,0.0299024995702451,0.0041074242044443,0.943571009169248,0.95967211205067,Precision,Climate,Plain MF RF
climate,rf_var,precision,53,0.951527762386813,0.0299246512533915,0.0041104669721337,0.943471247121431,0.959584277652195,Precision,Climate,Plain RF
soil,mf_var,precision,53,0.828861611385354,0.0534184605148631,0.00733758986159237,0.814479935256633,0.843243287514075,Precision,Soil,Plain MF RF
soil,rf_var,precision,53,0.828817061878377,0.0535804130208841,0.00735983574915232,0.814391783810039,0.843242339946716,Precision,Soil,Plain RF
climate,mf_var,sensitivity,53,0.979066249509201,0.0166049431613484,0.00228086435697874,0.974595755369523,0.98353674364888,Sensitivity,Climate,Plain MF RF
climate,rf_var,sensitivity,53,0.979023268940255,0.0166100963103613,0.00228157219643327,0.974551387435245,0.983495150445264,Sensitivity,Climate,Plain RF
soil,mf_var,sensitivity,53,0.896613029766169,0.0509802838738293,0.00700268054317345,0.882887775901549,0.910338283630789,Sensitivity,Soil,Plain MF RF
soil,rf_var,sensitivity,53,0.896335628373357,0.0510967590049428,0.00701867963286919,0.882579016292934,0.910092240453781,Sensitivity,Soil,Plain RF
climate,mf_var,specificity,53,0.949690076199384,0.0318484105764553,0.00437471563765129,0.941115633549587,0.95826451884918,Specificity,Climate,Plain MF RF
climate,rf_var,specificity,53,0.949589176082764,0.0318723572292911,0.00437800496338951,0.941008286354521,0.958170065811008,Specificity,Climate,Plain RF
soil,mf_var,specificity,53,0.8120777271005,0.0672369872391337,0.00923571048537821,0.793975734549159,0.830179719651841,Specificity,Soil,Plain MF RF
soil,rf_var,specificity,53,0.81206263506166,0.0674414243363343,0.00926379208034171,0.79390560258419,0.83021966753913,Specificity,Soil,Plain RF
climate,mf_var,tss,53,0.928756325708585,0.0468814040866139,0.00643965610404366,0.91613459974466,0.941378051672511,TSS,Climate,Plain MF RF
climate,rf_var,tss,53,0.928612445023019,0.0468966789613362,0.00644175426944976,0.915986606654898,0.94123828339114,TSS,Climate,Plain RF
soil,mf_var,tss,53,0.708690756866669,0.0947609956813407,0.0130164238071282,0.683178566204697,0.73420294752864,TSS,Soil,Plain MF RF
soil,rf_var,tss,53,0.708398263435017,0.0950751645467606,0.0130595782196574,0.682801490124489,0.733995036745546,TSS,Soil,Plain RF
