original_zone,predicted_zone,n,method,method_label,rank_cutoff
1,1,11679,rf_var,Plain RF,1
1,2,349,rf_var,Plain RF,1
1,3,429,rf_var,Plain RF,1
1,4,172,rf_var,Plain RF,1
1,5,131,rf_var,Plain RF,1
1,6,10,rf_var,Plain RF,1
1,7,81,rf_var,Plain RF,1
1,10,296,rf_var,Plain RF,1
1,11,2,rf_var,Plain RF,1
1,12,8,rf_var,Plain RF,1
1,13,240,rf_var,Plain RF,1
1,15,2,rf_var,Plain RF,1
1,16,40,rf_var,Plain RF,1
1,17,51,rf_var,Plain RF,1
1,18,217,rf_var,Plain RF,1
1,19,4,rf_var,Plain RF,1
1,20,18,rf_var,Plain RF,1
1,21,94,rf_var,Plain RF,1
1,22,1,rf_var,Plain RF,1
1,23,2,rf_var,Plain RF,1
1,24,1,rf_var,Plain RF,1
1,25,196,rf_var,Plain RF,1
1,26,3,rf_var,Plain RF,1
1,27,2,rf_var,Plain RF,1
1,28,31,rf_var,Plain RF,1
1,29,6,rf_var,Plain RF,1
1,30,7,rf_var,Plain RF,1
1,31,119,rf_var,Plain RF,1
1,32,17,rf_var,Plain RF,1
1,33,85,rf_var,Plain RF,1
1,35,2,rf_var,Plain RF,1
1,36,1,rf_var,Plain RF,1
1,37,6,rf_var,Plain RF,1
1,38,3,rf_var,Plain RF,1
1,39,360,rf_var,Plain RF,1
1,40,34,rf_var,Plain RF,1
1,41,1,rf_var,Plain RF,1
1,42,38,rf_var,Plain RF,1
1,43,1,rf_var,Plain RF,1
1,44,19,rf_var,Plain RF,1
1,45,224,rf_var,Plain RF,1
1,46,86,rf_var,Plain RF,1
1,47,46,rf_var,Plain RF,1
1,48,3,rf_var,Plain RF,1
1,49,3,rf_var,Plain RF,1
1,50,138,rf_var,Plain RF,1
1,52,1,rf_var,Plain RF,1
1,54,1,rf_var,Plain RF,1
1,55,3,rf_var,Plain RF,1
2,1,2206,rf_var,Plain RF,1
2,2,183218,rf_var,Plain RF,1
2,3,19508,rf_var,Plain RF,1
2,4,13482,rf_var,Plain RF,1
2,5,14381,rf_var,Plain RF,1
2,6,10777,rf_var,Plain RF,1
2,7,2937,rf_var,Plain RF,1
2,9,9171,rf_var,Plain RF,1
2,10,893,rf_var,Plain RF,1
2,11,4990,rf_var,Plain RF,1
2,12,2036,rf_var,Plain RF,1
2,13,4038,rf_var,Plain RF,1
2,14,300,rf_var,Plain RF,1
2,15,17,rf_var,Plain RF,1
2,16,4344,rf_var,Plain RF,1
2,17,459,rf_var,Plain RF,1
2,18,5027,rf_var,Plain RF,1
2,19,12,rf_var,Plain RF,1
2,20,344,rf_var,Plain RF,1
2,21,22,rf_var,Plain RF,1
2,22,210,rf_var,Plain RF,1
2,23,17,rf_var,Plain RF,1
2,24,123,rf_var,Plain RF,1
2,25,962,rf_var,Plain RF,1
2,26,16,rf_var,Plain RF,1
2,27,1711,rf_var,Plain RF,1
2,28,200,rf_var,Plain RF,1
2,29,14,rf_var,Plain RF,1
2,30,149,rf_var,Plain RF,1
2,31,321,rf_var,Plain RF,1
2,32,100,rf_var,Plain RF,1
2,33,114,rf_var,Plain RF,1
2,34,145,rf_var,Plain RF,1
2,35,11,rf_var,Plain RF,1
2,36,67,rf_var,Plain RF,1
2,37,50,rf_var,Plain RF,1
2,38,11,rf_var,Plain RF,1
2,39,58,rf_var,Plain RF,1
2,40,24,rf_var,Plain RF,1
2,41,187,rf_var,Plain RF,1
2,42,18,rf_var,Plain RF,1
2,43,4,rf_var,Plain RF,1
2,44,224,rf_var,Plain RF,1
2,45,37,rf_var,Plain RF,1
2,46,77,rf_var,Plain RF,1
2,47,7,rf_var,Plain RF,1
2,48,13,rf_var,Plain RF,1
2,49,13,rf_var,Plain RF,1
2,50,97,rf_var,Plain RF,1
2,52,22,rf_var,Plain RF,1
2,53,596,rf_var,Plain RF,1
2,54,13,rf_var,Plain RF,1
2,55,270,rf_var,Plain RF,1
3,1,4918,rf_var,Plain RF,1
3,2,20798,rf_var,Plain RF,1
3,3,287751,rf_var,Plain RF,1
3,4,5587,rf_var,Plain RF,1
3,5,22712,rf_var,Plain RF,1
3,6,18455,rf_var,Plain RF,1
3,7,42266,rf_var,Plain RF,1
3,9,28581,rf_var,Plain RF,1
3,10,3021,rf_var,Plain RF,1
3,11,7146,rf_var,Plain RF,1
3,12,19234,rf_var,Plain RF,1
3,13,3582,rf_var,Plain RF,1
3,14,1338,rf_var,Plain RF,1
3,15,2026,rf_var,Plain RF,1
3,16,41,rf_var,Plain RF,1
3,17,19,rf_var,Plain RF,1
3,18,1496,rf_var,Plain RF,1
3,19,37,rf_var,Plain RF,1
3,20,11,rf_var,Plain RF,1
3,21,341,rf_var,Plain RF,1
3,22,555,rf_var,Plain RF,1
3,23,151,rf_var,Plain RF,1
3,24,1510,rf_var,Plain RF,1
3,25,297,rf_var,Plain RF,1
3,26,384,rf_var,Plain RF,1
3,27,20042,rf_var,Plain RF,1
3,28,7596,rf_var,Plain RF,1
3,29,13,rf_var,Plain RF,1
3,30,587,rf_var,Plain RF,1
3,31,16,rf_var,Plain RF,1
3,32,300,rf_var,Plain RF,1
3,33,11791,rf_var,Plain RF,1
3,34,553,rf_var,Plain RF,1
3,35,15,rf_var,Plain RF,1
3,36,4060,rf_var,Plain RF,1
3,37,11329,rf_var,Plain RF,1
3,38,10,rf_var,Plain RF,1
3,39,1098,rf_var,Plain RF,1
3,40,251,rf_var,Plain RF,1
3,41,18480,rf_var,Plain RF,1
3,42,13,rf_var,Plain RF,1
3,43,17,rf_var,Plain RF,1
3,44,929,rf_var,Plain RF,1
3,45,69,rf_var,Plain RF,1
3,46,666,rf_var,Plain RF,1
3,47,2081,rf_var,Plain RF,1
3,48,18,rf_var,Plain RF,1
3,49,95,rf_var,Plain RF,1
3,50,39,rf_var,Plain RF,1
3,52,12,rf_var,Plain RF,1
3,53,15,rf_var,Plain RF,1
3,54,10,rf_var,Plain RF,1
3,55,11,rf_var,Plain RF,1
4,1,1061,rf_var,Plain RF,1
4,2,14631,rf_var,Plain RF,1
4,3,3679,rf_var,Plain RF,1
4,4,42065,rf_var,Plain RF,1
4,5,3153,rf_var,Plain RF,1
4,6,1874,rf_var,Plain RF,1
4,7,910,rf_var,Plain RF,1
4,9,263,rf_var,Plain RF,1
4,10,11,rf_var,Plain RF,1
4,11,5995,rf_var,Plain RF,1
4,12,3543,rf_var,Plain RF,1
4,13,6325,rf_var,Plain RF,1
4,14,1959,rf_var,Plain RF,1
4,15,1580,rf_var,Plain RF,1
4,16,718,rf_var,Plain RF,1
4,17,321,rf_var,Plain RF,1
4,18,91,rf_var,Plain RF,1
4,19,32,rf_var,Plain RF,1
4,20,206,rf_var,Plain RF,1
4,21,157,rf_var,Plain RF,1
4,22,282,rf_var,Plain RF,1
4,23,111,rf_var,Plain RF,1
4,24,1,rf_var,Plain RF,1
4,25,299,rf_var,Plain RF,1
4,26,26,rf_var,Plain RF,1
4,27,1475,rf_var,Plain RF,1
4,28,8,rf_var,Plain RF,1
4,29,5,rf_var,Plain RF,1
4,30,106,rf_var,Plain RF,1
4,31,13,rf_var,Plain RF,1
4,32,3,rf_var,Plain RF,1
4,33,120,rf_var,Plain RF,1
4,34,5,rf_var,Plain RF,1
4,35,16,rf_var,Plain RF,1
4,36,8,rf_var,Plain RF,1
4,37,7,rf_var,Plain RF,1
4,38,5,rf_var,Plain RF,1
4,39,52,rf_var,Plain RF,1
4,40,5,rf_var,Plain RF,1
4,41,5,rf_var,Plain RF,1
4,42,8,rf_var,Plain RF,1
4,43,7,rf_var,Plain RF,1
4,44,3,rf_var,Plain RF,1
4,45,12,rf_var,Plain RF,1
4,46,6,rf_var,Plain RF,1
4,47,3,rf_var,Plain RF,1
4,48,147,rf_var,Plain RF,1
4,49,4,rf_var,Plain RF,1
4,50,62,rf_var,Plain RF,1
4,52,5,rf_var,Plain RF,1
4,53,8,rf_var,Plain RF,1
4,54,8,rf_var,Plain RF,1
4,55,6,rf_var,Plain RF,1
5,1,2761,rf_var,Plain RF,1
5,2,14320,rf_var,Plain RF,1
5,3,16549,rf_var,Plain RF,1
5,4,3971,rf_var,Plain RF,1
5,5,73803,rf_var,Plain RF,1
5,6,4470,rf_var,Plain RF,1
5,7,4409,rf_var,Plain RF,1
5,9,519,rf_var,Plain RF,1
5,10,3806,rf_var,Plain RF,1
5,11,9422,rf_var,Plain RF,1
5,12,13422,rf_var,Plain RF,1
5,13,6903,rf_var,Plain RF,1
5,14,2528,rf_var,Plain RF,1
5,15,2075,rf_var,Plain RF,1
5,16,3037,rf_var,Plain RF,1
5,17,596,rf_var,Plain RF,1
5,18,607,rf_var,Plain RF,1
5,19,12,rf_var,Plain RF,1
5,20,781,rf_var,Plain RF,1
5,21,1282,rf_var,Plain RF,1
5,22,690,rf_var,Plain RF,1
5,23,113,rf_var,Plain RF,1
5,24,1054,rf_var,Plain RF,1
5,25,1167,rf_var,Plain RF,1
5,26,1110,rf_var,Plain RF,1
5,27,2996,rf_var,Plain RF,1
5,28,348,rf_var,Plain RF,1
5,29,75,rf_var,Plain RF,1
5,30,272,rf_var,Plain RF,1
5,31,73,rf_var,Plain RF,1
5,32,69,rf_var,Plain RF,1
5,33,2576,rf_var,Plain RF,1
5,34,365,rf_var,Plain RF,1
5,35,126,rf_var,Plain RF,1
5,36,1333,rf_var,Plain RF,1
5,37,361,rf_var,Plain RF,1
5,38,11,rf_var,Plain RF,1
5,39,1977,rf_var,Plain RF,1
5,40,960,rf_var,Plain RF,1
5,41,2210,rf_var,Plain RF,1
5,42,204,rf_var,Plain RF,1
5,43,10,rf_var,Plain RF,1
5,44,1475,rf_var,Plain RF,1
5,45,368,rf_var,Plain RF,1
5,46,2542,rf_var,Plain RF,1
5,47,1772,rf_var,Plain RF,1
5,48,13,rf_var,Plain RF,1
5,49,849,rf_var,Plain RF,1
5,50,38,rf_var,Plain RF,1
5,52,11,rf_var,Plain RF,1
5,53,7,rf_var,Plain RF,1
5,54,6,rf_var,Plain RF,1
5,55,9,rf_var,Plain RF,1
6,1,208,rf_var,Plain RF,1
6,2,12019,rf_var,Plain RF,1
6,3,4740,rf_var,Plain RF,1
6,4,2848,rf_var,Plain RF,1
6,5,1344,rf_var,Plain RF,1
6,6,50588,rf_var,Plain RF,1
6,7,446,rf_var,Plain RF,1
6,9,336,rf_var,Plain RF,1
6,10,108,rf_var,Plain RF,1
6,11,2801,rf_var,Plain RF,1
6,12,5021,rf_var,Plain RF,1
6,13,176,rf_var,Plain RF,1
6,14,50,rf_var,Plain RF,1
6,15,1254,rf_var,Plain RF,1
6,16,54,rf_var,Plain RF,1
6,17,17,rf_var,Plain RF,1
6,18,95,rf_var,Plain RF,1
6,19,25,rf_var,Plain RF,1
6,20,11,rf_var,Plain RF,1
6,21,1633,rf_var,Plain RF,1
6,22,106,rf_var,Plain RF,1
6,23,323,rf_var,Plain RF,1
6,24,1057,rf_var,Plain RF,1
6,25,741,rf_var,Plain RF,1
6,26,47,rf_var,Plain RF,1
6,27,2358,rf_var,Plain RF,1
6,28,66,rf_var,Plain RF,1
6,29,70,rf_var,Plain RF,1
6,30,313,rf_var,Plain RF,1
6,31,205,rf_var,Plain RF,1
6,32,11,rf_var,Plain RF,1
6,33,139,rf_var,Plain RF,1
6,34,12,rf_var,Plain RF,1
6,35,13,rf_var,Plain RF,1
6,36,14,rf_var,Plain RF,1
6,37,273,rf_var,Plain RF,1
6,38,15,rf_var,Plain RF,1
6,39,25,rf_var,Plain RF,1
6,40,14,rf_var,Plain RF,1
6,41,15,rf_var,Plain RF,1
6,42,116,rf_var,Plain RF,1
6,43,72,rf_var,Plain RF,1
6,44,13,rf_var,Plain RF,1
6,45,9,rf_var,Plain RF,1
6,46,11,rf_var,Plain RF,1
6,47,248,rf_var,Plain RF,1
6,48,28,rf_var,Plain RF,1
6,49,149,rf_var,Plain RF,1
6,50,18,rf_var,Plain RF,1
6,52,10,rf_var,Plain RF,1
6,53,12,rf_var,Plain RF,1
6,54,5,rf_var,Plain RF,1
6,55,12,rf_var,Plain RF,1
7,1,1008,rf_var,Plain RF,1
7,2,3328,rf_var,Plain RF,1
