rank_cutoff,original_zone,predicted_zone,pixel_count,top1_pixels,remaining_fraction,pair_label,rank_label,cell_label,text_color
1,44,47,42801,42801,1,"44 -> 47  [42,801]","Top-1
Overall error: 39.7%","42,801
(100%)",white
3,44,47,10100,42801,0.235975794958062,"44 -> 47  [42,801]","Top-3
Overall error: 13.5%","10,100
(24%)",black
5,44,47,908,42801,0.0212144576061307,"44 -> 47  [42,801]","Top-5
Overall error: 8.6%","908
(2%)",black
1,31,20,43131,43131,1,"31 -> 20  [43,131]","Top-1
Overall error: 39.7%","43,131
(100%)",white
3,31,20,4199,43131,0.0973545709582435,"31 -> 20  [43,131]","Top-3
Overall error: 13.5%","4,199
(10%)",black
5,31,20,284,43131,0.00658459112935012,"31 -> 20  [43,131]","Top-5
Overall error: 8.6%","284
(1%)",black
1,30,47,44390,44390,1,"30 -> 47  [44,390]","Top-1
Overall error: 39.7%","44,390
(100%)",white
3,30,47,15084,44390,0.339806262671773,"30 -> 47  [44,390]","Top-3
Overall error: 13.5%","15,084
(34%)",black
5,30,47,2786,44390,0.0627618833070511,"30 -> 47  [44,390]","Top-5
Overall error: 8.6%","2,786
(6%)",black
1,16,46,44612,44612,1,"16 -> 46  [44,612]","Top-1
Overall error: 39.7%","44,612
(100%)",white
3,16,46,14112,44612,0.316327445530351,"16 -> 46  [44,612]","Top-3
Overall error: 13.5%","14,112
(32%)",black
5,16,46,4689,44612,0.105106249439613,"16 -> 46  [44,612]","Top-5
Overall error: 8.6%","4,689
(11%)",black
1,24,29,45922,45922,1,"24 -> 29  [45,922]","Top-1
Overall error: 39.7%","45,922
(100%)",white
3,24,29,2606,45922,0.0567483994599538,"24 -> 29  [45,922]","Top-3
Overall error: 13.5%","2,606
(6%)",black
5,24,29,250,45922,0.00544401376246679,"24 -> 29  [45,922]","Top-5
Overall error: 8.6%","250
(1%)",black
1,30,44,47851,47851,1,"30 -> 44  [47,851]","Top-1
Overall error: 39.7%","47,851
(100%)",white
