method,method_label,period,ssp,area_km2,area_million_km2,result_class
mf_var,Plain MF RF,2011-2040,SSP245,167348.253474198,0.167348253474198,Novel ecosystem
mf_var,Plain MF RF,2041-2070,SSP245,318098.419526464,0.318098419526464,Novel ecosystem
mf_var,Plain MF RF,2071-2100,SSP245,477493.36224965,0.47749336224965,Novel ecosystem
mf_var,Plain MF RF,2011-2040,SSP585,173887.340623754,0.173887340623754,Novel ecosystem
mf_var,Plain MF RF,2041-2070,SSP585,465879.338590774,0.465879338590774,Novel ecosystem
mf_var,Plain MF RF,2071-2100,SSP585,964430.482091655,0.964430482091655,Novel ecosystem
rf_var,Plain RF,2011-2040,SSP245,165913.158567593,0.165913158567593,Novel ecosystem
rf_var,Plain RF,2041-2070,SSP245,324138.447735807,0.324138447735807,Novel ecosystem
rf_var,Plain RF,2071-2100,SSP245,486365.094333413,0.486365094333413,Novel ecosystem
rf_var,Plain RF,2011-2040,SSP585,173998.759846369,0.173998759846369,Novel ecosystem
rf_var,Plain RF,2041-2070,SSP585,471850.032385451,0.471850032385451,Novel ecosystem
rf_var,Plain RF,2071-2100,SSP585,909403.968639294,0.909403968639294,Novel ecosystem
