method,scenario,retention_table_novel_pixels,retention_table_novel_area_km2,threshold_scan_novel_pixels,threshold_scan_novel_area_km2,pixel_difference,area_km2_difference
mf_var,2011-2040SSP245,249247,167348.25347421,249247,167348.253474211,0,-9.89530235528946e-10
mf_var,2011-2040SSP585,259600,173887.340623752,259600,173887.340623753,0,-9.89530235528946e-10
mf_var,2041-2070SSP245,472144,318098.419526512,472144,318098.419526514,0,-2.03726813197136e-09
mf_var,2041-2070SSP585,696893,465879.338590957,696893,465879.338590957,0,0
mf_var,2071-2100SSP245,713319,477493.362249836,713319,477493.362249836,0,0
mf_var,2071-2100SSP585,1487186,964430.4820925,1487186,964430.482092511,0,-1.10594555735588e-08
rf_var,2011-2040SSP245,248602,165913.158567589,248602,165913.158567589,0,0
rf_var,2011-2040SSP585,261179,173998.759846359,261179,173998.759846359,0,0
rf_var,2041-2070SSP245,483232,324138.447735851,483232,324138.44773585,0,9.89530235528946e-10
rf_var,2041-2070SSP585,707603,471850.032385571,707603,471850.03238557,0,9.89530235528946e-10
rf_var,2071-2100SSP245,728243,486365.094333498,728243,486365.094333501,0,-3.02679836750031e-09
rf_var,2071-2100SSP585,1398251,909403.968640694,1398251,909403.968640709,0,-1.49011611938477e-08
