method,method_label,scenario,period,ssp,baseline,rank_cutoff,rank_label,criterion,common_valid_pixels,common_valid_area_km2,stable_top1_pixels,stable_top1_area_km2,changed_nonretained_pixels,changed_nonretained_area_km2,novel_pixels,novel_area_km2,pixel_count,pixel_share,area_km2,area_share,novel_pixel_share,novel_area_share
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140123,6430715,4455416.62242213,5713904,3878363.13550489,249247,167348.25347421,5963151,0.481137281942535,4045711.3889791,0.475902890010975,0.0201105127326695,0.0196854174234022
mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140112,6247237,4329140.03548446,5887029,3998100.63529291,259600,173887.340623752,6146629,0.495941218018655,4171987.97591666,0.49075698781638,0.0209458453076708,0.0204546197152362
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140086,4952848,3433017.10856836,6968874,4750012.48330599,472144,318098.419526512,7441018,0.600379090753442,5068110.9028325,0.59616922554697,0.0380949737555659,0.0374183777846787
mf_var,Plain MF RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.0114008,4314359,2989195.36262071,7382614,5046053.31018913,696893,465879.338590957,8079507,0.651895623205867,5511932.64878009,0.648376620301221,0.0562288635362041,0.0548020613224703
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140075,4221299,2923725.9173168,7459248,5099908.73183411,713319,477493.362249836,8172567,0.659404176227176,5577402.09408395,0.656077885970446,0.0575541965678829,0.05616823574583
mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140072,2924351,2029738.9838648,7982329,5506958.54544342,1487186,964430.4820925,9469515,0.764048522067287,6471389.02753592,0.761238863696353,0.119993713019005,0.113447354374516
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140122,6454236,4469693.04235304,5691028,3865521.81048059,248602,165913.158567589,5939630,0.479239488308168,4031434.96904818,0.474223534058239,0.0200584708596979,0.0195166051311162
rf_var,Plain RF,2011-2040SSP585,2011-2040,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140115,6278154,4348596.22072822,5854533,3978533.03082657,261179,173998.759846359,6115712,0.493446677574213,4152531.79067293,0.488468328568142,0.0210732470401084,0.0204677261197577
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.0114009,4996503,3463143.56797762,6914131,4713845.99568743,483232,324138.447735851,7397363,0.596856783831615,5037984.44342328,0.592625406495093,0.0389896098602325,0.0381288750505989
rf_var,Plain RF,2041-2070SSP585,2041-2070,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140083,4393506,3042856.30673635,7292757,4986421.67227891,707603,471850.032385571,8000360,0.645509641624333,5458271.70466448,0.642064405728794,0.0570930006827571,0.0555044026807707
rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140077,4297368,2976067.54819767,7368255,5038695.3688696,728243,486365.094333498,8096498,0.653266543304567,5525060.4632031,0.649920864124561,0.0587583406178508,0.0572118304395886
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,workflow-specific normal-period Top-1 assigned map,1,Top-1,normal_period_top1_not_retained_within_future_top1_including_novel,12393866,8501128.01140069,2968701,2060359.89308264,8026914,5531364.14967736,1398251,909403.968640694,9425165,0.76047013901877,6440768.11831805,0.757636881797389,0.112817985929491,0.106974505903347
