method,method_label,scenario,period,ssp,k,rank_label,change_code,change_class,area_km2,total_area_km2,area_share,pixel_count,total_pixels,pixel_share,comparison,topk_rule,novel_definition,change_label
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,1,Reference ecotype retained,4469693.04234433,8501128.01139732,0.525776465940978,6454236,12393866,0.520760511691832,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,2,Different current ecotype assigned,3865521.81048539,8501128.01139732,0.454706928927897,5691028,12393866,0.45918101744847,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,3,Novel ecosystem,165913.158567593,8501128.01139732,0.0195166051311257,248602,12393866,0.0200584708596979,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,1,Reference ecotype retained,6724244.26263893,8501128.01141419,0.790982591205603,9790791,12393866,0.789970700022092,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,2,Different current ecotype assigned,1610970.59020767,8501128.01141419,0.18950080366331,2354473,12393866,0.189970829118211,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,3,Novel ecosystem,165913.158567593,8501128.01141419,0.019516605131087,248602,12393866,0.0200584708596979,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,1,Reference ecotype retained,7721827.18214729,8501128.01142922,0.908329714805588,11240451,12393866,0.906936624940112,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,2,Different current ecotype assigned,613387.670714328,8501128.01142922,0.0721536800633596,904813,12393866,0.0730049042001906,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,3,Novel ecosystem,165913.158567593,8501128.01142922,0.0195166051310525,248602,12393866,0.0200584708596979,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
rf_var,Plain RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,1,Reference ecotype retained,3463143.56798137,8501128.01139081,0.407374593505832,4996503,12393866,0.403143216168385,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
