method,scenario,transition_type,figure7_area_km2,figure7_area_share,topk_area_km2,topk_area_share,area_km2_difference,area_share_difference
mf_var,2011-2040SSP245,changed,3878363.13550487,0.456217472587604,3878363.1355109,0.45621747258829,6.02239742875099e-06,6.86617429579428e-13
mf_var,2011-2040SSP245,novel,167348.25347421,0.0196854174234036,167348.253474198,0.0196854174234012,-1.23109202831984e-08,-2.38697950294409e-15
mf_var,2011-2040SSP245,stable,4455416.62242154,0.524097109988993,4455416.62241594,0.524097109988309,-5.60469925403595e-06,-6.84341472378947e-13
mf_var,2011-2040SSP585,changed,3998100.63529293,0.470302368101183,3998100.63529879,0.470302368101475,5.86174428462982e-06,2.92044166627647e-13
mf_var,2011-2040SSP585,novel,173887.340623752,0.0204546197152379,173887.340623754,0.0204546197152207,1.45519152283669e-09,-1.71147818139872e-14
mf_var,2011-2040SSP585,stable,4329140.03548377,0.50924301218358,4329140.03548509,0.509243012183305,1.32154673337936e-06,-2.74891220897189e-13
mf_var,2041-2070SSP245,changed,4750012.48330603,0.55875084776232,4750012.48331292,0.558750847762279,6.88713043928146e-06,-4.00790511889682e-14
mf_var,2041-2070SSP245,novel,318098.419526513,0.0374183777846804,318098.419526464,0.0374183777846177,-4.90108504891396e-08,-6.26929064218018e-14
mf_var,2041-2070SSP245,stable,3433017.10856796,0.403830774453,3433017.10857405,0.403830774453103,6.09597191214562e-06,1.02695629777827e-13
mf_var,2041-2070SSP585,changed,5046053.31018914,0.593574558978775,5046053.3101978,0.593574558978821,8.66316258907318e-06,4.65183447317941e-14
mf_var,2041-2070SSP585,novel,465879.338590965,0.0548020613224735,465879.338590774,0.0548020613223612,-1.91444996744394e-07,-1.12312936728642e-13
mf_var,2041-2070SSP585,stable,2989195.36262036,0.351623379698752,2989195.36262582,0.351623379698818,5.4575502872467e-06,6.58362253602718e-14
mf_var,2071-2100SSP245,changed,5099908.73183417,0.59990965022465,5099908.73184183,0.599909650224532,7.66105949878693e-06,-1.18238752122579e-13
mf_var,2071-2100SSP245,novel,477493.362249843,0.0561682357458334,477493.36224965,0.0561682357457152,-1.92841980606318e-07,-1.18134668714021e-13
mf_var,2071-2100SSP245,stable,2923725.91731635,0.343922114029516,2923725.91732333,0.343922114029753,6.97886571288109e-06,2.36477504245158e-13
mf_var,2071-2100SSP585,changed,5506958.54544338,0.64779150932186,5506958.54544852,0.647791509321881,5.13345003128052e-06,2.12052597703405e-14
mf_var,2071-2100SSP585,novel,964430.482092513,0.113447354374522,964430.482091655,0.113447354374319,-8.57864506542683e-07,-2.02948768901479e-13
mf_var,2071-2100SSP585,stable,2029738.98386447,0.238761136303618,2029738.98386784,0.2387611363038,3.37045639753342e-06,1.81743509131138e-13
rf_var,2011-2040SSP245,changed,3865521.81048059,0.45470692892716,3865521.81048757,0.454706928928037,6.97607174515724e-06,8.76743122546486e-13
rf_var,2011-2040SSP245,novel,165913.158567588,0.0195166051311177,165913.158567593,0.0195166051311207,5.50062395632267e-09,3.05658276467113e-15
rf_var,2011-2040SSP245,stable,4469693.04235236,0.525776465941723,4469693.04234433,0.525776465940843,-8.02893191576004e-06,-8.79518680108049e-13
rf_var,2011-2040SSP585,changed,3978533.0308266,0.468000602448426,3978533.0308335,0.468000602448894,6.9011002779007e-06,4.67736960274579e-13
rf_var,2011-2040SSP585,novel,173998.759846358,0.0204677261197592,173998.759846369,0.0204677261197455,1.13213900476694e-08,-1.37147238010726e-14
rf_var,2011-2040SSP585,stable,4348596.22072749,0.511531671431815,4348596.22072683,0.511531671431361,-6.62170350551605e-07,-4.53859172466764e-13
rf_var,2041-2070SSP245,changed,4713845.99568746,0.55449653144453,4713845.99569307,0.554496531444548,5.60283660888672e-06,1.7874590696465e-14
rf_var,2041-2070SSP245,novel,324138.447735845,0.0381288750506003,324138.447735807,0.0381288750505518,-3.7485733628273e-08,-4.85028683883115e-14
rf_var,2041-2070SSP245,stable,3463143.56797711,0.40737459350487,3463143.56798137,0.4073745935049,4.26406040787697e-06,3.04756220259605e-14
rf_var,2041-2070SSP585,changed,4986421.67227893,0.586560003048046,4986421.67228487,0.586560003047787,5.9446319937706e-06,-2.59237076249974e-13
rf_var,2041-2070SSP585,novel,471850.032385574,0.0555044026807729,471850.032385451,0.0555044026806678,-1.22236087918282e-07,-1.05075670386867e-13
rf_var,2041-2070SSP585,stable,3042856.30673604,0.357935594271181,3042856.30674411,0.357935594271545,8.0685131251812e-06,3.64208663228283e-13
rf_var,2071-2100SSP245,changed,5038695.36886966,0.592709033684992,5038695.36887617,0.592709033684897,6.50808215141296e-06,-9.47020240005259e-14
rf_var,2071-2100SSP245,novel,486365.094333511,0.0572118304395913,486365.094333413,0.0572118304394968,-9.75560396909714e-08,-9.45077349712165e-14
rf_var,2071-2100SSP245,stable,2976067.54819742,0.350079135875417,2976067.54820335,0.350079135875606,5.92833384871483e-06,1.89293025698589e-13
rf_var,2071-2100SSP585,changed,5531364.14967743,0.650662375894068,5531364.14968212,0.650662375894134,4.69665974378586e-06,6.65023591750469e-14
rf_var,2071-2100SSP585,novel,909403.968640741,0.106974505903356,909403.968639294,0.106974505903106,-1.4470424503088e-06,-2.5011936966024e-13
rf_var,2071-2100SSP585,stable,2060359.89308228,0.242363118202577,2060359.89308538,0.24236311820276,3.10037285089493e-06,1.83658643848617e-13
