Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1781445,1352203.00015391,0.143736022319428,0.159061597277499
chamFor,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2673342,2028690.67871451,0.215698798098995,0.238637822650576
chamFor,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,3056606,2318925.34047121,0.246622482444138,0.272778546254251
cyclLon,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1451860,1100600.78486218,0.117143432081644,0.129465264302122
cyclLon,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2352239,1783399.51753154,0.189790578662058,0.209783868110188
cyclLon,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,2761318,2094748.34125498,0.222797148202183,0.246408281165244
lariGme,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1573269,951392.935335592,0.126939326276402,0.111913728867473
lariGme,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2591000,1612847.86333928,0.209055027704834,0.189721630020898
lariGme,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,2880198,1813792.2880105,0.232388989843847,0.213359013718889
lariOlg,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2272505,1437146.8433252,0.183357234941866,0.16905366457226
lariOlg,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,3338157,2130491.41928737,0.269339445819408,0.2506127912002
lariOlg,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,3515913,2246895.45272803,0.283681701899956,0.264305566239531
phylPub,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2521211,1909409.61630629,0.203424097049298,0.224606618527046
phylPub,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2962564,2246531.54241436,0.239034696679793,0.264262758942289
phylPub,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,3088795,2340016.59731075,0.249219654303185,0.275259541342345
pinuSyl,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,1728469,1094797.97117644,0.139461649819354,0.128782670924166
pinuSyl,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,2778185,1766719.320134,0.224158063351661,0.207821752332709
pinuSyl,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,3107864,1991971.42929369,0.250758237986436,0.234318484161427
