method,method_label,scenario,rank_cutoff,rank_label,figure_file,criterion,colour_definition
rf_var,Plain RF,2011-2040SSP245,1,Top-1,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2011-2040SSP245_top1.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2011-2040SSP245,3,Top-3,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2011-2040SSP245_top3.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2011-2040SSP245,5,Top-5,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2011-2040SSP245_top5.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2041-2070SSP245,1,Top-1,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2041-2070SSP245_top1.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2041-2070SSP245,3,Top-3,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2041-2070SSP245_top3.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2041-2070SSP245,5,Top-5,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2041-2070SSP245_top5.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2071-2100SSP245,1,Top-1,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2071-2100SSP245_top1.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2071-2100SSP245,3,Top-3,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2071-2100SSP245_top3.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2071-2100SSP245,5,Top-5,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2071-2100SSP245_top5.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
rf_var,Plain RF,2011-2040SSP585,1,Top-1,H:/Jing/ecoChina2/visualization var threshold0.4/figures/species population overlay maps/Figure_var_9_population_coloured_species_niches_rf_var_2011-2040SSP585_top1.png,assigned Top-1 plus source ecotypes within first k ranks at dual suitability >= 0.4,source-ecotype colour with transparent overlap
