source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
1,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,36083,25703.2553347869,0.00291135953866211,0.00302351115055748
1,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,122996,87317.247342856,0.00992394140778995,0.010271254264817
1,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,204259,143871.356079023,0.0164806526067008,0.0169237959816718
2,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,113862,63115.6414976784,0.00918696393845149,0.00742438431853211
2,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,493824,285752.007313622,0.0398442261680092,0.0336134224693948
2,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,650248,380108.557169295,0.0524653082419965,0.0447127200836799
3,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,464597,285110.19273948,0.03748604349926,0.0335379248915108
3,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1043841,650362.609125005,0.0842223887203557,0.076503095618935
3,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1364973,854196.977497454,0.11013294802445,0.100480427579951
4,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,65632,37177.7531842518,0.00529552280135996,0.00437327295088286
4,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,252304,144721.32227932,0.020357167005033,0.0170237787368023
4,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,418070,241658.456045332,0.0337320090438286,0.0284266341738701
5,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,192571,111820.237882714,0.0155376054574093,0.0131535765292267
5,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,806433,466964.681165826,0.0650671065832082,0.0549297317414326
5,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1019518,606476.471288213,0.08225988565634,0.0713407056657504
6,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,83810,45958.6280405297,0.00676221608334316,0.00540617997739768
6,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,210579,117846.472232246,0.0169905822767488,0.0138624512034406
6,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,295205,164557.11121201,0.0238186373807818,0.0193570913167433
7,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,234864,154116.874344455,0.0189500193079383,0.0181289911336201
7,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,862636,567368.89404171,0.0696018498182891,0.0667404247154982
7,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1177402,777119.376502312,0.0949987679389143,0.0914136777448969
9,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,8771,5486.11543343142,0.000707688787340447,0.000645339703869182
9,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,70694,41662.2383334456,0.00570395064784467,0.00490078943377544
9,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,87723,51502.0423857973,0.00707793677937134,0.00605825983525105
10,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,181852,135166.533597872,0.014672742145187,0.0158998351061884
10,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,377949,280629.965374406,0.0304948431748415,0.0330109092579307
10,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,481229,356301.914231678,0.03882799765626,0.0419123101962284
11,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,63145,37502.828881427,0.0050948590213901,0.00441151207594241
11,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,320592,193222.398107134,0.0258669893639321,0.0227290305295961
11,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,442947,270674.674724959,0.0357392116390479,0.0318398540007818
12,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,409162,248607.492213051,0.0330132664012988,0.0292440593624334
12,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,869376,530213.853259477,0.0701456672195746,0.0623698234573587
12,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,992840,606292.684859484,0.0801073692421719,0.0713190866019647
13,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,453138,285482.257353644,0.0365614732320004,0.033581691390929
13,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1029265,655935.566290367,0.0830463230762702,0.0771586506415024
13,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1189773,759363.983917309,0.0959969229940036,0.0893250852003321
14,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,50385,31113.4659132719,0.00406531747236899,0.00365992205640778
14,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,146783,92128.8980000752,0.0118431972719408,0.0108372557002461
14,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,185927,116623.774864589,0.0150015338232639,0.0137186235412743
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,278994,176713.44136,0.0225106516400936,0.0207870580378286
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1160830,739621.898886518,0.0936616548863769,0.087002795146081
15,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1298495,826314.457466584,0.104769165650169,0.0972005663670064
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,723950,514191.032338815,0.0584119595935602,0.0604850358269203
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1544182,1101907.37872476,0.124592439518065,0.129618960830492
16,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1750896,1249349.85633802,0.141271173982355,0.146962833010222
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,2280,1349.97523095145,0.000183961969574304,0.00015879954155978
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,9410,5557.65558282075,0.000759246549865877,0.000653755075252061
17,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,11856,7047.46369799391,0.00095660224178638,0.000829003361500095
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,201169,141821.970500442,0.016231335726883,0.0166827237879779
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,885493,628872.086621095,0.0714460685632716,0.0739751343324929
18,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1193092,846661.475568561,0.0962647167558533,0.0995940155745339
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,537634,354977.160709209,0.0433790392763646,0.0417564775207655
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,895495,590775.001230921,0.0722530806771672,0.0694937190027765
19,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,934716,615816.702409577,0.0754176299792171,0.0724394105798322
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,221646,157711.255256836,0.0178835239948536,0.0185518033660156
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,745079,528037.025935894,0.0601167545300232,0.0621137601066289
20,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,912109,647591.464980178,0.0735935825028284,0.0761771219197847
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,879415,662329.284365043,0.0709556646812222,0.0779107529585245
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1415339,1072429.06279155,0.114196732480406,0.126151383834394
21,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1770822,1346573.32601556,0.142878904774346,0.158399370555257
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,18719,12704.6451866615,0.00151034390721991,0.00149446581319836
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,165459,112093.574562525,0.0133500717209626,0.0131857295187411
22,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,279530,190324.975118175,0.0225538988399584,0.0223882024671234
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,676474,442157.296174463,0.0545813550025472,0.0520116031168437
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1465299,954712.67411858,0.118227758796166,0.112304234548429
23,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1539510,1001987.76200307,0.124215478850586,0.117865271603875
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,685545,442910.190550658,0.0553132493122001,0.0521001671727179
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1453118,937360.18886713,0.117244933905208,0.110263036577033
24,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1513304,976492.400155888,0.122101045791523,0.114866215265353
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,277255,184574.926928195,0.022370340295756,0.0217118159708526
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,773144,517064.457702886,0.062381181142349,0.0608230410140223
25,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,911075,608778.34500179,0.073510154135925,0.0716114784044376
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,37300,28104.4961312256,0.00300955327417611,0.00330597258311306
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,199642,151675.47403647,0.0161081296183128,0.0178418056795591
26,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,365938,278119.65747155,0.029525734746527,0.0327156181036875
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,957439,634751.89905656,0.0772510369242333,0.074666785184895
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,1418531,938567.865793755,0.11445427923781,0.110405097362967
27,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,1546652,1023244.44377055,0.12479173165177,0.120365725865824
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,82059,60364.6992315857,0.00662093651811307,0.00710078699563527
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,3,Top-3,298740,220629.208744042,0.0241038591186963,0.0259529333575681
28,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,5,Top-5,523156,387703.169076858,0.0422108807695678,0.0456060852814957
29,rf_var,Plain RF,2011-2040SSP245,2011-2040,SSP245,12393866,8501128.01140083,1,Top-1,153237,93471.1531931926,0.0123639387419551,0.0109951471225747
