niche_type,method,method_label,metric,n_zones,mean,sd,se,ci95_low,ci95_high
climate,rf_var,Plain RF,OOB accuracy,53,0.961653330151305,0.0242912413239762,0.00333665860727507,0.955113479281046,0.968193181021564
climate,rf_var,Plain RF,Test AUC,53,0.988481556420576,0.0103196513163609,0.00141751312456916,0.985703230696421,0.991259882144732
climate,rf_var,Plain RF,Test F1,53,0.964996006390981,0.0227898234411882,0.00313042300017266,0.958860377310642,0.971131635471319
climate,rf_var,Plain RF,Test TSS,53,0.928612445023019,0.0468966789613362,0.00644175426944976,0.915986606654898,0.94123828339114
climate,rf_var,Plain RF,Test accuracy,53,0.96430622251151,0.0234483394806682,0.00322087713472489,0.957993303327449,0.97061914169557
climate,rf_var,Plain RF,Test balanced accuracy,53,0.96430622251151,0.0234483394806682,0.00322087713472489,0.957993303327449,0.97061914169557
climate,rf_var,Plain RF,Test precision,53,0.951527762386813,0.0299246512533915,0.0041104669721337,0.943471247121431,0.959584277652195
climate,rf_var,Plain RF,Test recall,53,0.979023268940255,0.0166100963103613,0.00228157219643327,0.974551387435245,0.983495150445264
climate,rf_var,Plain RF,Test specificity,53,0.949589176082764,0.0318723572292911,0.00437800496338951,0.941008286354521,0.958170065811008
climate,rf_var,Plain RF,Train accuracy,53,0.999987648557019,3.1468462213869e-05,4.32252571629505e-06,0.999979176406615,0.999996120707423
climate,mf_var,Plain MF RF,Test AUC,53,0.988545771850015,0.0102938243993553,0.00141396552468421,0.985774399421634,0.991317144278397
climate,mf_var,Plain MF RF,Test F1,53,0.965065595309702,0.0227830246621596,0.00312948911605113,0.958931796642241,0.971199393977162
climate,mf_var,Plain MF RF,Test TSS,53,0.928756325708585,0.0468814040866139,0.00643965610404366,0.91613459974466,0.941378051672511
climate,mf_var,Plain MF RF,Test accuracy,53,0.964378162854292,0.0234407020433069,0.00321982805202182,0.95806729987233,0.970689025836255
climate,mf_var,Plain MF RF,Test balanced accuracy,53,0.964378162854292,0.0234407020433069,0.00321982805202182,0.95806729987233,0.970689025836255
climate,mf_var,Plain MF RF,Test precision,53,0.951621560609959,0.0299024995702451,0.0041074242044443,0.943571009169248,0.95967211205067
climate,mf_var,Plain MF RF,Test recall,53,0.979066249509201,0.0166049431613484,0.00228086435697874,0.974595755369523,0.98353674364888
climate,mf_var,Plain MF RF,Test specificity,53,0.949690076199384,0.0318484105764553,0.00437471563765129,0.941115633549587,0.95826451884918
climate,mf_var,Plain MF RF,Train accuracy,53,0.999988629371311,2.92929947462808e-05,4.02370227809511e-06,0.999980742914846,0.999996515827776
soil,rf_var,Plain RF,OOB accuracy,53,0.852589194676157,0.0446173453415065,0.00612866371800274,0.840577013788871,0.864601375563442
soil,rf_var,Plain RF,Test AUC,53,0.879863527551641,0.0424508501027043,0.00583107271020873,0.868434625039632,0.89129243006365
soil,rf_var,Plain RF,Test F1,53,0.860330055587884,0.0450879860542051,0.00619331119171624,0.848191165652121,0.872468945523648
soil,rf_var,Plain RF,Test TSS,53,0.708398263435017,0.0950751645467606,0.0130595782196574,0.682801490124489,0.733995036745546
soil,rf_var,Plain RF,Test accuracy,53,0.854199131717509,0.0475375822733803,0.00652978910982872,0.841400745062244,0.866997518372773
soil,rf_var,Plain RF,Test balanced accuracy,53,0.854199131717509,0.0475375822733802,0.00652978910982871,0.841400745062244,0.866997518372773
soil,rf_var,Plain RF,Test precision,53,0.828817061878377,0.0535804130208841,0.00735983574915232,0.814391783810039,0.843242339946716
soil,rf_var,Plain RF,Test recall,53,0.896335628373357,0.0510967590049428,0.00701867963286919,0.882579016292934,0.910092240453781
soil,rf_var,Plain RF,Test specificity,53,0.81206263506166,0.0674414243363343,0.00926379208034171,0.79390560258419,0.83021966753913
soil,rf_var,Plain RF,Train accuracy,53,0.856812215605565,0.0433716889907765,0.0059575596591802,0.845135398673572,0.868489032537558
soil,mf_var,Plain MF RF,Test AUC,53,0.881864593414732,0.042331386828741,0.00581466316752597,0.870467853606382,0.893261333223083
soil,mf_var,Plain MF RF,Test F1,53,0.860485139342891,0.0449514093511573,0.00617455093876334,0.848383019502915,0.872587259182867
soil,mf_var,Plain MF RF,Test TSS,53,0.708690756866669,0.0947609956813407,0.0130164238071282,0.683178566204697,0.73420294752864
soil,mf_var,Plain MF RF,Test accuracy,53,0.854345378433334,0.0473804978406703,0.00650821190356412,0.841589283102349,0.86710147376432
soil,mf_var,Plain MF RF,Test balanced accuracy,53,0.854345378433334,0.0473804978406703,0.00650821190356411,0.841589283102349,0.86710147376432
soil,mf_var,Plain MF RF,Test precision,53,0.828861611385354,0.0534184605148631,0.00733758986159237,0.814479935256633,0.843243287514075
soil,mf_var,Plain MF RF,Test recall,53,0.896613029766169,0.0509802838738293,0.00700268054317345,0.882887775901549,0.910338283630789
soil,mf_var,Plain MF RF,Test specificity,53,0.8120777271005,0.0672369872391337,0.00923571048537821,0.793975734549159,0.830179719651841
soil,mf_var,Plain MF RF,Train accuracy,53,0.856819837400194,0.0433802510197688,0.00595873574431113,0.845140715341344,0.868498959459043
