niche_type,method,zoneID,metric,value,method_label
climate,rf_var,1,OOB accuracy,0.985019484791741,Plain RF
climate,rf_var,1,Test AUC,0.998715569434594,Plain RF
climate,rf_var,1,Test F1,0.985176991150442,Plain RF
climate,rf_var,1,Test TSS,0.970195729537366,Plain RF
climate,rf_var,1,Test accuracy,0.985097864768683,Plain RF
climate,rf_var,1,Test balanced accuracy,0.985097864768683,Plain RF
climate,rf_var,1,Test precision,0.979973591549296,Plain RF
climate,rf_var,1,Test recall,0.990435943060498,Plain RF
climate,rf_var,1,Test specificity,0.979759786476868,Plain RF
climate,rf_var,1,Train accuracy,1,Plain RF
climate,rf_var,2,OOB accuracy,0.956197677558736,Plain RF
climate,rf_var,2,Test AUC,0.988977350458448,Plain RF
climate,rf_var,2,Test F1,0.956881771847774,Plain RF
climate,rf_var,2,Test TSS,0.913038364735493,Plain RF
climate,rf_var,2,Test accuracy,0.956519182367746,Plain RF
climate,rf_var,2,Test balanced accuracy,0.956519182367746,Plain RF
climate,rf_var,2,Test precision,0.948968261312113,Plain RF
climate,rf_var,2,Test recall,0.964928374850046,Plain RF
climate,rf_var,2,Test specificity,0.948109989885447,Plain RF
climate,rf_var,2,Train accuracy,1,Plain RF
climate,rf_var,3,OOB accuracy,0.918928223076482,Plain RF
climate,rf_var,3,Test AUC,0.9734763972929,Plain RF
climate,rf_var,3,Test F1,0.926287862825805,Plain RF
climate,rf_var,3,Test TSS,0.850567313592665,Plain RF
climate,rf_var,3,Test accuracy,0.925283656796333,Plain RF
climate,rf_var,3,Test balanced accuracy,0.925283656796333,Plain RF
climate,rf_var,3,Test precision,0.91400343189791,Plain RF
climate,rf_var,3,Test recall,0.938907003886369,Plain RF
climate,rf_var,3,Test specificity,0.911660309706296,Plain RF
climate,rf_var,3,Train accuracy,1,Plain RF
climate,rf_var,4,OOB accuracy,0.960887117915378,Plain RF
climate,rf_var,4,Test AUC,0.990071153622315,Plain RF
climate,rf_var,4,Test F1,0.964865201087633,Plain RF
climate,rf_var,4,Test TSS,0.928307223672759,Plain RF
climate,rf_var,4,Test accuracy,0.96415361183638,Plain RF
climate,rf_var,4,Test balanced accuracy,0.964153611836379,Plain RF
climate,rf_var,4,Test precision,0.94608441083191,Plain RF
climate,rf_var,4,Test recall,0.984406730490281,Plain RF
climate,rf_var,4,Test specificity,0.943900493182477,Plain RF
climate,rf_var,4,Train accuracy,0.999947569863157,Plain RF
climate,rf_var,5,OOB accuracy,0.924961258791274,Plain RF
climate,rf_var,5,Test AUC,0.974728523457356,Plain RF
climate,rf_var,5,Test F1,0.930697098672274,Plain RF
climate,rf_var,5,Test TSS,0.858198598292971,Plain RF
climate,rf_var,5,Test accuracy,0.929099299146485,Plain RF
climate,rf_var,5,Test balanced accuracy,0.929099299146485,Plain RF
climate,rf_var,5,Test precision,0.910185400152565,Plain RF
climate,rf_var,5,Test recall,0.952154604121851,Plain RF
climate,rf_var,5,Test specificity,0.906043994171119,Plain RF
climate,rf_var,5,Train accuracy,1,Plain RF
climate,rf_var,6,OOB accuracy,0.970558908422986,Plain RF
climate,rf_var,6,Test AUC,0.992916436204701,Plain RF
climate,rf_var,6,Test F1,0.973748751021891,Plain RF
climate,rf_var,6,Test TSS,0.946896475689978,Plain RF
climate,rf_var,6,Test accuracy,0.973448237844989,Plain RF
climate,rf_var,6,Test balanced accuracy,0.973448237844989,Plain RF
climate,rf_var,6,Test precision,0.962851189193073,Plain RF
climate,rf_var,6,Test recall,0.98489581419279,Plain RF
climate,rf_var,6,Test specificity,0.962000661497189,Plain RF
climate,rf_var,6,Train accuracy,1,Plain RF
climate,rf_var,7,OOB accuracy,0.920709010339734,Plain RF
climate,rf_var,7,Test AUC,0.968157022388968,Plain RF
climate,rf_var,7,Test F1,0.923523617706297,Plain RF
climate,rf_var,7,Test TSS,0.843919709562243,Plain RF
climate,rf_var,7,Test accuracy,0.921959854781121,Plain RF
climate,rf_var,7,Test balanced accuracy,0.921959854781122,Plain RF
climate,rf_var,7,Test precision,0.905381644183097,Plain RF
climate,rf_var,7,Test recall,0.942407512976687,Plain RF
climate,rf_var,7,Test specificity,0.901512196585556,Plain RF
climate,rf_var,7,Train accuracy,0.999881831610044,Plain RF
climate,rf_var,9,OOB accuracy,0.987889829600257,Plain RF
climate,rf_var,9,Test AUC,0.99785376468772,Plain RF
climate,rf_var,9,Test F1,0.990150449182812,Plain RF
climate,rf_var,9,Test TSS,0.980146176502673,Plain RF
climate,rf_var,9,Test accuracy,0.990073088251336,Plain RF
climate,rf_var,9,Test balanced accuracy,0.990073088251336,Plain RF
climate,rf_var,9,Test precision,0.982493824508646,Plain RF
climate,rf_var,9,Test recall,0.997927348096433,Plain RF
climate,rf_var,9,Test specificity,0.98221882840624,Plain RF
climate,rf_var,9,Train accuracy,1,Plain RF
climate,rf_var,10,OOB accuracy,0.967097319488046,Plain RF
climate,rf_var,10,Test AUC,0.989814711918807,Plain RF
climate,rf_var,10,Test F1,0.969635310690249,Plain RF
climate,rf_var,10,Test TSS,0.938457355207106,Plain RF
climate,rf_var,10,Test accuracy,0.969228677603553,Plain RF
climate,rf_var,10,Test balanced accuracy,0.969228677603553,Plain RF
climate,rf_var,10,Test precision,0.956989010018979,Plain RF
climate,rf_var,10,Test recall,0.982620320855615,Plain RF
climate,rf_var,10,Test specificity,0.955837034351491,Plain RF
climate,rf_var,10,Train accuracy,1,Plain RF
climate,rf_var,11,OOB accuracy,0.96050173472111,Plain RF
climate,rf_var,11,Test AUC,0.989270707702831,Plain RF
climate,rf_var,11,Test F1,0.96198896019387,Plain RF
climate,rf_var,11,Test TSS,0.922935195505311,Plain RF
climate,rf_var,11,Test accuracy,0.961467597752656,Plain RF
climate,rf_var,11,Test balanced accuracy,0.961467597752656,Plain RF
climate,rf_var,11,Test precision,0.949146538555204,Plain RF
climate,rf_var,11,Test recall,0.975183677183086,Plain RF
