species,n_reference_populations,reference_total_abundance,reference_shannon_H,n_projection_eligible_populations,projection_eligible_total_abundance,projection_eligible_shannon_H
querVar,18,70671,1.50459313950966,17,67709,1.38882705067025
pinuYun,16,63536,0.385250574589706,15,63276,0.360139015303262
phylPub,9,20209,0.455261701550148,8,20019,0.405843271224064
lariGme,9,55103,0.201301197843465,8,54927,0.180333926844541
robiPse,8,12998,0.501234383535754,7,12875,0.451992486662781
lariOlg,8,7343,0.406613140482003,7,7283,0.362155238317256
chamFor,7,177,1.81787873367762,7,177,1.81787873367762
cyclLon,6,489,1.15494303646664,6,489,1.15494303646664
saliMat,4,3651,0.61453956895997,3,3428,0.409633015389703
pinuSyl,4,1749,0.163803690043754,4,1749,0.163803690043754
