species,zoneID,abundance,projection_eligible
lariGme,2,53291,TRUE
lariGme,3,354,TRUE
lariGme,4,439,TRUE
lariGme,5,313,TRUE
lariGme,6,446,TRUE
lariGme,7,47,TRUE
lariGme,8,176,FALSE
lariGme,9,10,TRUE
lariGme,12,27,TRUE
lariOlg,2,6784,TRUE
lariOlg,3,135,TRUE
lariOlg,6,108,TRUE
lariOlg,7,39,TRUE
lariOlg,8,60,FALSE
lariOlg,9,28,TRUE
lariOlg,12,54,TRUE
lariOlg,27,135,TRUE
pinuSyl,2,1696,TRUE
pinuSyl,3,33,TRUE
pinuSyl,5,10,TRUE
pinuSyl,27,10,TRUE
querVar,3,20658,TRUE
querVar,5,26,TRUE
querVar,7,368,TRUE
querVar,8,2962,FALSE
querVar,10,22,TRUE
querVar,21,274,TRUE
querVar,26,38,TRUE
querVar,27,339,TRUE
querVar,28,17394,TRUE
querVar,30,1037,TRUE
querVar,33,58,TRUE
querVar,36,975,TRUE
querVar,37,58,TRUE
querVar,40,354,TRUE
querVar,41,92,TRUE
querVar,44,25385,TRUE
querVar,47,455,TRUE
querVar,49,176,TRUE
robiPse,3,11620,TRUE
robiPse,7,51,TRUE
robiPse,8,123,FALSE
robiPse,12,13,TRUE
robiPse,27,493,TRUE
robiPse,33,200,TRUE
robiPse,37,432,TRUE
robiPse,41,66,TRUE
saliMat,3,3066,TRUE
saliMat,8,223,FALSE
saliMat,27,203,TRUE
saliMat,37,159,TRUE
phylPub,8,190,FALSE
phylPub,21,274,TRUE
phylPub,26,18383,TRUE
phylPub,28,17,TRUE
phylPub,30,759,TRUE
phylPub,40,136,TRUE
phylPub,44,221,TRUE
phylPub,47,25,TRUE
phylPub,49,204,TRUE
pinuYun,5,186,TRUE
pinuYun,7,19,TRUE
pinuYun,8,260,FALSE
pinuYun,10,138,TRUE
pinuYun,18,10,TRUE
pinuYun,21,271,TRUE
pinuYun,28,33,TRUE
pinuYun,30,59235,TRUE
pinuYun,39,138,TRUE
pinuYun,40,940,TRUE
pinuYun,44,781,TRUE
pinuYun,45,16,TRUE
pinuYun,46,160,TRUE
pinuYun,47,1222,TRUE
pinuYun,49,113,TRUE
pinuYun,50,14,TRUE
chamFor,10,27,TRUE
chamFor,21,36,TRUE
chamFor,26,10,TRUE
chamFor,30,10,TRUE
chamFor,34,32,TRUE
chamFor,49,45,TRUE
chamFor,53,17,TRUE
cyclLon,10,25,TRUE
cyclLon,21,73,TRUE
cyclLon,26,17,TRUE
cyclLon,34,26,TRUE
cyclLon,49,319,TRUE
cyclLon,53,29,TRUE
