zoneID,method,scenario,period,ssp,normal_assigned_area_km2,future_assigned_area_km2,area_change_km2,percent_change,change_direction,rank_gain,rank_loss,rank_absolute_change,zone_name,baseline_definition
21,mf_var,2011-2040SSP245,2011-2040,SSP245,387821.089449428,670730.133564926,282909.044115498,72.9483392760128,gain,1,,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,normal-period assigned map on the same common-valid cells
23,mf_var,2011-2040SSP245,2011-2040,SSP245,212618.618755638,450009.862665211,237391.243909573,111.651202184887,gain,2,,2,Shrub deserts,normal-period assigned map on the same common-valid cells
99,mf_var,2011-2040SSP245,2011-2040,SSP245,0,167348.25347421,167348.25347421,,gain,3,,3,Novel zone,normal-period assigned map on the same common-valid cells
27,mf_var,2011-2040SSP245,2011-2040,SSP245,485826.009657919,628351.853190702,142525.843532783,29.3368079722901,gain,4,,4,Two years three ripes or one year two ripes grain fields and deciduous orchards,normal-period assigned map on the same common-valid cells
20,mf_var,2011-2040SSP245,2011-2040,SSP245,293024.956879133,156532.589676852,-136492.367202281,-46.5804580797469,loss,,1,5,Alpine sparse vegetation,normal-period assigned map on the same common-valid cells
30,mf_var,2011-2040SSP245,2011-2040,SSP245,350328.455343544,248736.155730031,-101592.299613513,-28.9991572377095,loss,,2,6,Needleleaf forests in subtropical zone,normal-period assigned map on the same common-valid cells
2,mf_var,2011-2040SSP245,2011-2040,SSP245,143114.077019822,61461.498578412,-81652.5784414096,-57.0541907139579,loss,,3,7,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,normal-period assigned map on the same common-valid cells
42,mf_var,2011-2040SSP245,2011-2040,SSP245,179063.794590041,102487.94182545,-76575.8527645909,-42.7645649640722,loss,,4,8,Cushion nano-semi-shrub high-cold deserts,normal-period assigned map on the same common-valid cells
11,mf_var,2011-2040SSP245,2011-2040,SSP245,112618.233713768,36833.3164585519,-75784.9172552156,-67.2936475347606,loss,,5,9,Temperate grass and forb meadow steppes,normal-period assigned map on the same common-valid cells
33,mf_var,2011-2040SSP245,2011-2040,SSP245,267374.6794135,327858.999313442,60484.3198999424,22.6215586429568,gain,5,,10,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,normal-period assigned map on the same common-valid cells
37,mf_var,2011-2040SSP245,2011-2040,SSP245,137754.539140944,77528.0966750794,-60226.4424658646,-43.7201146629685,loss,,6,11,Needleleaf forests in temperate zone,normal-period assigned map on the same common-valid cells
53,mf_var,2011-2040SSP245,2011-2040,SSP245,76787.44201513,136731.443230366,59944.0012152362,78.064849722986,gain,6,,12,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,normal-period assigned map on the same common-valid cells
31,mf_var,2011-2040SSP245,2011-2040,SSP245,524871.316887411,583378.230809825,58506.9139224134,11.146906306363,gain,7,,13,Grass and Carex spp. high-cold steppes,normal-period assigned map on the same common-valid cells
22,mf_var,2011-2040SSP245,2011-2040,SSP245,68865.4099821478,12505.1793794576,-56360.2306026902,-81.8411312984278,loss,,7,14,Alpine cushion vegetation,normal-period assigned map on the same common-valid cells
26,mf_var,2011-2040SSP245,2011-2040,SSP245,82250.9422070026,27758.6292678641,-54492.3129391385,-66.2512932702905,loss,,8,15,Bamboo forests and scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
19,mf_var,2011-2040SSP245,2011-2040,SSP245,387321.382399615,333077.325101244,-54244.0572983712,-14.0049219493917,loss,,9,16,No vegetation,normal-period assigned map on the same common-valid cells
36,mf_var,2011-2040SSP245,2011-2040,SSP245,100690.348914119,52776.4011160476,-47913.9477980713,-47.585442214465,loss,,10,17,Broadleaf evergreen and deciduous mixed forests in subtropical zone,normal-period assigned map on the same common-valid cells
13,mf_var,2011-2040SSP245,2011-2040,SSP245,344890.410320997,297532.290007541,-47358.1203134559,-13.7313531766159,loss,,11,18,Temperate tufted grass steppes,normal-period assigned map on the same common-valid cells
35,mf_var,2011-2040SSP245,2011-2040,SSP245,48263.3999115139,2646.48377169622,-45616.9161398176,-94.516582386346,loss,,12,19,Steppe shrub deserts,normal-period assigned map on the same common-valid cells
9,mf_var,2011-2040SSP245,2011-2040,SSP245,45391.9571038656,5479.64169217313,-39912.3154116924,-87.9281660413217,loss,,13,20,Needleleaf and deciduous broadleaf mixed forests in temperate zone,normal-period assigned map on the same common-valid cells
44,mf_var,2011-2040SSP245,2011-2040,SSP245,274742.074732911,236554.401820583,-38187.6729123284,-13.8994629597423,loss,,14,21,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
47,mf_var,2011-2040SSP245,2011-2040,SSP245,264618.071817995,301621.238346866,37003.1665288704,13.9836127875352,gain,8,,22,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,normal-period assigned map on the same common-valid cells
15,mf_var,2011-2040SSP245,2011-2040,SSP245,162518.920774716,199327.065680356,36808.1449056401,22.6485290021485,gain,9,,23,Grass and forb halophytic meadows,normal-period assigned map on the same common-valid cells
29,mf_var,2011-2040SSP245,2011-2040,SSP245,125597.185184878,92693.7163277579,-32903.4688571205,-26.1976164582724,loss,,15,24,Dwarf semi-arboreous deserts,normal-period assigned map on the same common-valid cells
38,mf_var,2011-2040SSP245,2011-2040,SSP245,35331.6927714883,3945.67194874703,-31386.0208227413,-88.8324853998191,loss,,16,25,Annual herb deserts,normal-period assigned map on the same common-valid cells
12,mf_var,2011-2040SSP245,2011-2040,SSP245,212435.09275879,241499.730724713,29064.6379659226,13.6816556946757,gain,10,,26,One year one ripe grain fields and cold-tolerant economic crop fields,normal-period assigned map on the same common-valid cells
14,mf_var,2011-2040SSP245,2011-2040,SSP245,57379.1058545769,29625.8551696467,-27753.2506849301,-48.3682174401057,loss,,17,27,Microphyllous deciduous woodlands in temperate zone,normal-period assigned map on the same common-valid cells
49,mf_var,2011-2040SSP245,2011-2040,SSP245,152314.528027568,125212.920032867,-27101.6079947012,-17.7931864712183,loss,,18,28,Broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
18,mf_var,2011-2040SSP245,2011-2040,SSP245,115838.608673576,141515.626893012,25677.0182194359,22.1662004693027,gain,11,,29,Subalpine broadleaf deciduous scrubs,normal-period assigned map on the same common-valid cells
45,mf_var,2011-2040SSP245,2011-2040,SSP245,46253.2545285081,71659.0238485347,25405.7693200267,54.9275279739892,gain,12,,30,Subalpine needleleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
46,mf_var,2011-2040SSP245,2011-2040,SSP245,130331.83851748,154120.488907057,23788.6503895772,18.2523707638688,gain,13,,31,Subalpine sclerophyllous broadleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
4,mf_var,2011-2040SSP245,2011-2040,SSP245,59865.7633857223,38177.1187926118,-21688.6445931105,-36.2287948344833,loss,,19,32,"Grass, Carex and forb swamp meadows",normal-period assigned map on the same common-valid cells
41,mf_var,2011-2040SSP245,2011-2040,SSP245,100305.136265782,79610.931641628,-20694.2046241538,-20.6312511946743,loss,,20,33,Temperate grasslands,normal-period assigned map on the same common-valid cells
40,mf_var,2011-2040SSP245,2011-2040,SSP245,258095.741330646,238752.230355506,-19343.51097514,-7.49470366128942,loss,,21,34,Subtropical and tropical grasslands,normal-period assigned map on the same common-valid cells
54,mf_var,2011-2040SSP245,2011-2040,SSP245,19375.4010813885,1519.08766136308,-17856.3134200254,-92.1597098559045,loss,,22,35,Tropical mangroves,normal-period assigned map on the same common-valid cells
6,mf_var,2011-2040SSP245,2011-2040,SSP245,60927.1604043915,43620.0248936938,-17307.1355106977,-28.406272991922,loss,,23,36,Cold-temperate and temperate marshes,normal-period assigned map on the same common-valid cells
25,mf_var,2011-2040SSP245,2011-2040,SSP245,198513.317492661,182297.656047511,-16215.6614451496,-8.16855093147546,loss,,24,37,Temperate tufted low grass and nano-semi-shrub desert steppes,normal-period assigned map on the same common-valid cells
10,mf_var,2011-2040SSP245,2011-2040,SSP245,118380.956323064,134140.912724752,15759.9564016881,13.3129152620451,gain,14,,38,Needleleaf forests on mountains in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
28,mf_var,2011-2040SSP245,2011-2040,SSP245,77051.2998985893,61804.6799389903,-15246.619959599,-19.7876219864763,loss,,25,39,Broadleaf deciduous forests in subtropical zone,normal-period assigned map on the same common-valid cells
43,mf_var,2011-2040SSP245,2011-2040,SSP245,17170.5106824452,3025.94255047231,-14144.5681319729,-82.3770963692653,loss,,26,40,High-cold marshes,normal-period assigned map on the same common-valid cells
5,mf_var,2011-2040SSP245,2011-2040,SSP245,106859.249572887,119921.266773662,13062.0172007749,12.2235718975974,gain,15,,41,Grass and forb meadows,normal-period assigned map on the same common-valid cells
7,mf_var,2011-2040SSP245,2011-2040,SSP245,167184.881658758,154347.65893978,-12837.2227189773,-7.67845907573117,loss,,27,42,Deciduous scrubs in temperate zone,normal-period assigned map on the same common-valid cells
16,mf_var,2011-2040SSP245,2011-2040,SSP245,502190.587346759,514769.775705551,12579.1883587925,2.50486342749922,gain,16,,43,Kobresia spp. and forb high-cold meadows,normal-period assigned map on the same common-valid cells
32,mf_var,2011-2040SSP245,2011-2040,SSP245,73044.9499715953,64495.8168519799,-8549.13311961536,-11.7039345265345,loss,,28,44,Succulent halophytic dwarf semi-shrub deserts,normal-period assigned map on the same common-valid cells
