Species,method,scenario,period,ssp,populations_projected,future_area_km2,species_raster,method_label
chamFor,mf_var,2011-2040SSP245,2011-2040,SSP245,7,1357122.22772112,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,mf_var,2041-2070SSP245,2041-2070,SSP245,7,1592336.00386678,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,mf_var,2071-2100SSP245,2071-2100,SSP245,7,1765422.27479774,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,mf_var,2011-2040SSP585,2011-2040,SSP585,7,1364454.35376397,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,mf_var,2041-2070SSP585,2041-2070,SSP585,7,1737417.64705962,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,mf_var,2071-2100SSP585,2071-2100,SSP585,7,1967682.59379792,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/chamFor_species_niche.tif,Plain MF RF
chamFor,rf_var,2011-2040SSP245,2011-2040,SSP245,7,1352203.00015432,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/chamFor_species_niche.tif,Plain RF
chamFor,rf_var,2041-2070SSP245,2041-2070,SSP245,7,1606706.32301596,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/chamFor_species_niche.tif,Plain RF
chamFor,rf_var,2071-2100SSP245,2071-2100,SSP245,7,1767791.03257948,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/chamFor_species_niche.tif,Plain RF
chamFor,rf_var,2011-2040SSP585,2011-2040,SSP585,7,1363316.28485032,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/chamFor_species_niche.tif,Plain RF
chamFor,rf_var,2041-2070SSP585,2041-2070,SSP585,7,1742044.67328624,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/chamFor_species_niche.tif,Plain RF
chamFor,rf_var,2071-2100SSP585,2071-2100,SSP585,7,2005793.19121557,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/chamFor_species_niche.tif,Plain RF
cyclLon,mf_var,2011-2040SSP245,2011-2040,SSP245,6,1108386.07198885,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,mf_var,2041-2070SSP245,2041-2070,SSP245,6,1430912.98018324,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,mf_var,2071-2100SSP245,2071-2100,SSP245,6,1650582.91336438,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,mf_var,2011-2040SSP585,2011-2040,SSP585,6,1133813.53086397,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,mf_var,2041-2070SSP585,2041-2070,SSP585,6,1613711.07351009,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,mf_var,2071-2100SSP585,2071-2100,SSP585,6,1918420.40252498,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/cyclLon_species_niche.tif,Plain MF RF
cyclLon,rf_var,2011-2040SSP245,2011-2040,SSP245,6,1100600.78486018,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/cyclLon_species_niche.tif,Plain RF
cyclLon,rf_var,2041-2070SSP245,2041-2070,SSP245,6,1441860.9268462,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/cyclLon_species_niche.tif,Plain RF
cyclLon,rf_var,2071-2100SSP245,2071-2100,SSP245,6,1648501.57383671,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/cyclLon_species_niche.tif,Plain RF
cyclLon,rf_var,2011-2040SSP585,2011-2040,SSP585,6,1129307.78210139,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/cyclLon_species_niche.tif,Plain RF
cyclLon,rf_var,2041-2070SSP585,2041-2070,SSP585,6,1614768.60602067,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/cyclLon_species_niche.tif,Plain RF
cyclLon,rf_var,2071-2100SSP585,2071-2100,SSP585,6,1953125.01489248,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/cyclLon_species_niche.tif,Plain RF
lariGme,mf_var,2011-2040SSP245,2011-2040,SSP245,8,948138.374224574,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,mf_var,2041-2070SSP245,2041-2070,SSP245,8,880404.814081345,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,mf_var,2071-2100SSP245,2071-2100,SSP245,8,862075.141438232,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,mf_var,2011-2040SSP585,2011-2040,SSP585,8,945051.696497593,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,mf_var,2041-2070SSP585,2041-2070,SSP585,8,856567.437459719,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,mf_var,2071-2100SSP585,2071-2100,SSP585,8,747301.416484094,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/lariGme_species_niche.tif,Plain MF RF
lariGme,rf_var,2011-2040SSP245,2011-2040,SSP245,8,951392.935335682,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/lariGme_species_niche.tif,Plain RF
lariGme,rf_var,2041-2070SSP245,2041-2070,SSP245,8,891645.293115186,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/lariGme_species_niche.tif,Plain RF
lariGme,rf_var,2071-2100SSP245,2071-2100,SSP245,8,867986.689606718,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/lariGme_species_niche.tif,Plain RF
lariGme,rf_var,2011-2040SSP585,2011-2040,SSP585,8,947662.811399102,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/lariGme_species_niche.tif,Plain RF
lariGme,rf_var,2041-2070SSP585,2041-2070,SSP585,8,864476.153028991,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/lariGme_species_niche.tif,Plain RF
lariGme,rf_var,2071-2100SSP585,2071-2100,SSP585,8,734812.722413953,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/lariGme_species_niche.tif,Plain RF
lariOlg,mf_var,2011-2040SSP245,2011-2040,SSP245,7,1418391.84185224,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,mf_var,2041-2070SSP245,2041-2070,SSP245,7,1409292.37973568,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,mf_var,2071-2100SSP245,2071-2100,SSP245,7,1450951.14319922,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,mf_var,2011-2040SSP585,2011-2040,SSP585,7,1412822.4648047,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,mf_var,2041-2070SSP585,2041-2070,SSP585,7,1427393.0927865,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,mf_var,2071-2100SSP585,2071-2100,SSP585,7,1542512.4935085,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/lariOlg_species_niche.tif,Plain MF RF
lariOlg,rf_var,2011-2040SSP245,2011-2040,SSP245,7,1437146.84332882,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/lariOlg_species_niche.tif,Plain RF
lariOlg,rf_var,2041-2070SSP245,2041-2070,SSP245,7,1437315.56920988,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/lariOlg_species_niche.tif,Plain RF
lariOlg,rf_var,2071-2100SSP245,2071-2100,SSP245,7,1465046.56471221,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/lariOlg_species_niche.tif,Plain RF
lariOlg,rf_var,2011-2040SSP585,2011-2040,SSP585,7,1433090.83000323,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/lariOlg_species_niche.tif,Plain RF
lariOlg,rf_var,2041-2070SSP585,2041-2070,SSP585,7,1448450.01084747,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/lariOlg_species_niche.tif,Plain RF
lariOlg,rf_var,2071-2100SSP585,2071-2100,SSP585,7,1529981.29035628,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/lariOlg_species_niche.tif,Plain RF
phylPub,mf_var,2011-2040SSP245,2011-2040,SSP245,8,1911170.38906197,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2041-2070SSP245,2041-2070,SSP245,8,1944121.69241558,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2071-2100SSP245,2071-2100,SSP245,8,1965172.78277803,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2011-2040SSP585,2011-2040,SSP585,8,1924281.4295681,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2041-2070SSP585,2041-2070,SSP585,8,1958541.34733089,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,mf_var,2071-2100SSP585,2071-2100,SSP585,8,2004346.41654793,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/phylPub_species_niche.tif,Plain MF RF
phylPub,rf_var,2011-2040SSP245,2011-2040,SSP245,8,1909409.61631062,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2041-2070SSP245,2041-2070,SSP245,8,1939468.98633389,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2071-2100SSP245,2071-2100,SSP245,8,1961630.11532715,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2011-2040SSP585,2011-2040,SSP585,8,1922154.15846677,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2041-2070SSP585,2041-2070,SSP585,8,1954611.48167634,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/phylPub_species_niche.tif,Plain RF
phylPub,rf_var,2071-2100SSP585,2071-2100,SSP585,8,2002110.71297668,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/phylPub_species_niche.tif,Plain RF
pinuSyl,mf_var,2011-2040SSP245,2011-2040,SSP245,4,1093366.05237188,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2041-2070SSP245,2041-2070,SSP245,4,1095231.70557526,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2071-2100SSP245,2071-2100,SSP245,4,1093623.5186677,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2011-2040SSP585,2011-2040,SSP585,4,1088563.21333163,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2041-2070SSP585,2041-2070,SSP585,4,1083128.87014946,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,mf_var,2071-2100SSP585,2071-2100,SSP585,4,1101625.70114896,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/pinuSyl_species_niche.tif,Plain MF RF
pinuSyl,rf_var,2011-2040SSP245,2011-2040,SSP245,4,1094797.97117589,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2041-2070SSP245,2041-2070,SSP245,4,1102169.84269635,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2071-2100SSP245,2071-2100,SSP245,4,1095842.9502169,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP245/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2011-2040SSP585,2011-2040,SSP585,4,1094082.15374661,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2041-2070SSP585,2041-2070,SSP585,4,1088840.27663766,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuSyl,rf_var,2071-2100SSP585,2071-2100,SSP585,4,1111611.68519456,H:/Jing/ecoChina2/future tree niche var/rf_var/2071-2100SSP585/species niche/pinuSyl_species_niche.tif,Plain RF
pinuYun,mf_var,2011-2040SSP245,2011-2040,SSP245,15,2732634.51079976,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2041-2070SSP245,2041-2070,SSP245,15,2906726.53556219,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2071-2100SSP245,2071-2100,SSP245,15,2980603.67344836,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP245/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2011-2040SSP585,2011-2040,SSP585,15,2760059.04941662,H:/Jing/ecoChina2/future tree niche var/mf_var/2011-2040SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2041-2070SSP585,2041-2070,SSP585,15,2995798.20283301,H:/Jing/ecoChina2/future tree niche var/mf_var/2041-2070SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,mf_var,2071-2100SSP585,2071-2100,SSP585,15,3183094.71154216,H:/Jing/ecoChina2/future tree niche var/mf_var/2071-2100SSP585/species niche/pinuYun_species_niche.tif,Plain MF RF
pinuYun,rf_var,2011-2040SSP245,2011-2040,SSP245,15,2721054.53766084,H:/Jing/ecoChina2/future tree niche var/rf_var/2011-2040SSP245/species niche/pinuYun_species_niche.tif,Plain RF
pinuYun,rf_var,2041-2070SSP245,2041-2070,SSP245,15,2896728.73566185,H:/Jing/ecoChina2/future tree niche var/rf_var/2041-2070SSP245/species niche/pinuYun_species_niche.tif,Plain RF
