Species,PopulationID,source_zone,zone_name,reference_abundance,method,scenario,dual_threshold,rank_min_suitability,suitable_area_km2,suitability_weighted_area_km2,mean_dual_suitability,max_dual_suitability,population_niche_definition,source_dual_raster,population_stack_file,layer,layer_name,COLOR,period,ssp,method_label
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2011-2040SSP245,0.4,0,450367.913421521,415807.106209249,0.0417823776554996,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2011-2040SSP585,0.4,0,448317.796062005,413127.198861254,0.0415219852591457,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2041-2070SSP245,0.4,0,450681.696874298,422502.458907184,0.0425979404395043,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2041-2070SSP585,0.4,0,452199.263423622,429569.899071774,0.0433225218901501,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2041-2070,SSP585,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2071-2100SSP245,0.4,0,454654.037266167,432326.807470186,0.0436141522517113,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2071-2100,SSP245,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,mf_var,2071-2100SSP585,0.4,0,437210.105469489,426043.058256222,0.0430045770692589,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2071-2100,SSP585,Plain MF RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2011-2040SSP245,0.4,0,449973.316552287,415369.522489333,0.0417432238871689,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2011-2040,SSP245,Plain RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2011-2040SSP585,0.4,0,447749.922452866,412851.956740509,0.0415012834673699,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2011-2040,SSP585,Plain RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2041-2070SSP245,0.4,0,449617.149124752,421466.058875481,0.0425055620306445,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2041-2070,SSP245,Plain RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2041-2070SSP585,0.4,0,450470.924407072,427960.47307937,0.0431665870369082,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2041-2070,SSP585,Plain RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2071-2100SSP245,0.4,0,452791.24635084,430523.804846467,0.0434303931521971,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP245/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2071-2100,SSP245,Plain RF
chamFor,chamFor-Zone10,10,Needleleaf forests on mountains in subtropical and tropical zones,27,rf_var,2071-2100SSP585,0.4,0,433133.443279137,424395.940853799,0.0428221719620255,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP585/dual_suitability_zone10.tif,,1,pop_zone10,#006D77,2071-2100,SSP585,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2011-2040SSP245,0.4,0,1530533.46254914,1199875.25433149,0.116895770268274,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2011-2040SSP585,0.4,0,1551059.6807626,1201537.26610723,0.117092041448097,0.999445676803589,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2041-2070SSP245,0.4,0,1731499.18957856,1250850.03087577,0.122170502121106,0.996771037578583,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2041-2070SSP585,0.4,0,1831966.33894772,1284644.79448191,0.125630449452895,0.98999559879303,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2041-2070,SSP585,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2071-2100SSP245,0.4,0,1829385.60026031,1276863.99086277,0.124965561116142,0.986386716365814,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2071-2100,SSP245,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,mf_var,2071-2100SSP585,0.4,0,1865238.78048863,1269536.75920169,0.12469948064926,0.979230105876923,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2071-2100,SSP585,Plain MF RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2011-2040SSP245,0.4,0,1538441.37702342,1201072.91162484,0.11702210819736,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2011-2040,SSP245,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2011-2040SSP585,0.4,0,1560595.49867235,1203105.24246789,0.11725418651389,0.999948859214783,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2011-2040,SSP585,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2041-2070SSP245,0.4,0,1741467.93477746,1254326.63292747,0.122519497317467,0.994000017642975,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2041-2070,SSP245,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2041-2070SSP585,0.4,0,1840318.62484336,1285522.66452437,0.125721479504703,0.993647694587708,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2041-2070,SSP585,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2071-2100SSP245,0.4,0,1834085.30396971,1275836.44913597,0.12487127008775,0.994349718093872,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP245/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2071-2100,SSP245,Plain RF
chamFor,chamFor-Zone21,21,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,rf_var,2071-2100SSP585,0.4,0,1876779.92352405,1269755.83754408,0.124735690133307,0.986698865890503,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP585/dual_suitability_zone21.tif,,2,pop_zone21,#F3722C,2071-2100,SSP585,Plain RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2011-2040SSP245,0.4,0,355928.647581211,437521.104961676,0.0427368293353721,0.998894512653351,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2011-2040SSP585,0.4,0,323176.569208065,429231.634427959,0.0419370686600809,0.998861074447632,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2041-2070SSP245,0.4,0,223398.802232172,420910.396807211,0.0411787708554562,0.998852729797363,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2041-2070SSP585,0.4,0,159840.947808166,410503.258102314,0.0401787332398967,0.999449968338013,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2041-2070,SSP585,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2071-2100SSP245,0.4,0,144464.066505584,406886.314364577,0.0398403777934649,0.998792171478271,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP245/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2071-2100,SSP245,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,mf_var,2071-2100SSP585,0.4,0,55835.4501804734,386336.353645155,0.0378611602225249,0.996465742588043,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2071-2100SSP585/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2071-2100,SSP585,Plain MF RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,rf_var,2011-2040SSP245,0.4,0,365235.026474446,436497.265255926,0.0426261899708837,0.999963879585266,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP245/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2011-2040,SSP245,Plain RF
chamFor,chamFor-Zone26,26,Bamboo forests and scrubs in subtropical and tropical zones,10,rf_var,2011-2040SSP585,0.4,0,333240.029583155,428204.560194555,0.0418282313324302,0.999933302402496,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP585/dual_suitability_zone26.tif,,3,pop_zone26,#00A878,2011-2040,SSP585,Plain RF
